Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_65_u,ci_65_l
Germany,2020-03-03,4.104417293233084,0.0,7,4.104417293233084,4.104417293233084,4.104417293233084,4.104417293233084
Germany,2020-03-04,3.133396498154548,3.942515011192341e-06,7,3.1334042253419785,3.1333887709671178,3.1334001827868576,3.1333928135222386
Germany,2020-03-05,2.3211726005740005,0.0,7,2.3211726005740005,2.3211726005740005,2.3211726005740005,2.3211726005740005
Germany,2020-03-06,2.4726248330845673,3.942515011192341e-06,7,2.4726325602719976,2.472617105897137,2.4726285177168768,2.4726211484522578
Germany,2020-03-07,2.2905315024093236,3.942515011192341e-06,7,2.290539229596754,2.290523775221893,2.290535187041633,2.290527817777014
Germany,2020-03-08,2.262405872401927,3.942515011192341e-06,7,2.2624135995893573,2.2623981452144966,2.2624095570342364,2.2624021877696174
Germany,2020-03-09,2.442698383088293,3.942515011192341e-06,7,2.4427061102757235,2.4426906559008628,2.4427020677206026,2.4426946984559836
Germany,2020-03-10,2.237998666532649,3.942515011192341e-06,7,2.238006393720079,2.2379909393452184,2.2380023511649583,2.2379949819003393
Germany,2020-03-11,2.103989306919253,3.942515011192341e-06,7,2.1039970341066834,2.1039815797318226,2.1039929915515625,2.1039856222869435
Germany,2020-03-12,1.8492761187107383,3.942515011192341e-06,7,1.8492838458981686,1.849268391523308,1.8492798033430475,1.849272434078429
Germany,2020-03-13,1.8064176431783443,3.942515011192341e-06,7,1.8064253703657747,1.806409915990914,1.8064213278106536,1.806413958546035
Germany,2020-03-14,1.5771632916697849,3.942515011192341e-06,7,1.5771710188572152,1.5771555644823545,1.5771669763020941,1.5771596070374756
Germany,2020-03-15,1.4731369366253715,3.942515011192341e-06,7,1.4731446638128018,1.4731292094379411,1.4731406212576807,1.4731332519930622
Germany,2020-03-16,1.5967533016263373,3.942515011192341e-06,7,1.5967610288137677,1.596745574438907,1.5967569862586466,1.596749616994028
Germany,2020-03-17,1.31558606809846,3.942515011192341e-06,7,1.3155937952858903,1.3155783409110295,1.3155897527307692,1.3155823834661506
Germany,2020-03-18,1.2549504812679082,3.942515011192341e-06,7,1.2549582084553386,1.2549427540804778,1.2549541659002175,1.254946796635599
Germany,2020-03-19,1.1299294606746664,3.942515011192341e-06,7,1.1299371878620967,1.129921733487236,1.1299331453069756,1.129925776042357
Germany,2020-03-20,1.1830703225756736,3.942515011192341e-06,7,1.183078049763104,1.1830625953882432,1.1830740072079828,1.1830666379433643
Germany,2020-03-21,1.0432699002011738,3.942515011192341e-06,7,1.0432776273886042,1.0432621730137435,1.043273584833483,1.0432662155688646
