Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_65_u,ci_65_l
Germany,2020-03-03,5.382706766917294,0.0,7,5.382706766917294,5.382706766917294,5.382706766917294,5.382706766917294
Germany,2020-03-04,4.011853890835987,3.0109266021963527e-05,7,4.01191290391299,4.011794877758983,4.011882030633573,4.0118257510384
Germany,2020-03-05,2.86518485844471,0.0,7,2.86518485844471,2.86518485844471,2.86518485844471,2.86518485844471
Germany,2020-03-06,3.0789997410640315,3.0109266021963527e-05,7,3.0790587541410357,3.0789407279870273,3.079027880861618,3.078971601266445
Germany,2020-03-07,2.821926837681988,3.0109266021963527e-05,7,2.8219858507589923,2.821867824604984,2.8219549774795745,2.821898697884402
Germany,2020-03-08,2.782220069708978,3.0109266021963527e-05,7,2.782279082785982,2.7821610566319737,2.782248209506564,2.7821919299113915
Germany,2020-03-09,3.0367506315945474,3.0109266021963527e-05,7,3.0368096446715516,3.036691618517543,3.0367787713921337,3.036722491796961
Germany,2020-03-10,2.747762828276339,3.0109266021963527e-05,7,2.747821841353343,2.7477038151993347,2.747790968073925,2.7477346884787526
Germany,2020-03-11,2.5585731307516766,3.0109266021963527e-05,7,2.5586321438286808,2.5585141176746724,2.558601270549263,2.5585449909540903
Germany,2020-03-12,2.1989780647378554,3.0109266021963527e-05,7,2.1990370778148596,2.198919051660851,2.1990062045354417,2.198949924940269
Germany,2020-03-13,2.138471953824459,3.0109266021963527e-05,7,2.138530966901463,2.138412940747455,2.1385000936220453,2.1384438140268727
Germany,2020-03-14,1.8148187734546424,3.0109266021963527e-05,7,1.8148777865316463,1.8147597603776384,1.8148469132522287,1.814790633657056
Germany,2020-03-15,1.6679580440727158,3.0109266021963527e-05,7,1.6680170571497197,1.6678990309957118,1.667986183870302,1.6679299042751294
Germany,2020-03-16,1.842475221089805,3.0109266021963527e-05,7,1.842534234166809,1.842416208012801,1.8425033608873913,1.8424470812922187
Germany,2020-03-17,1.4455332880087617,3.0109266021963527e-05,7,1.4455923010857656,1.4454742749317577,1.445561427806348,1.4455051482111754
