Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_65_u,ci_65_l
Germany,2020-03-03,5.291400375939851,0.0,7,5.291400375939851,5.291400375939851,5.291400375939851,5.291400375939851
Germany,2020-03-04,3.9491069347769043,2.9481989646505957e-05,7,3.949164718414804,3.9490491511390045,3.9491344883287076,3.949079381225101
Germany,2020-03-05,2.826326840560445,0.0,7,2.826326840560445,2.826326840560445,2.826326840560445,2.826326840560445
Germany,2020-03-06,3.035687246458531,2.9481989646505957e-05,7,3.035745030096431,3.0356294628206313,3.0357148000103344,3.035659692906728
Germany,2020-03-07,2.7839700285636133,2.9481989646505957e-05,7,2.784027812201513,2.7839122449257134,2.7839975821154166,2.78394247501181
Germany,2020-03-08,2.745090484923374,2.9481989646505957e-05,7,2.745148268561274,2.7450327012854743,2.7451180384751774,2.745062931371571
Germany,2020-03-09,2.994318326769661,2.9481989646505957e-05,7,2.994376110407561,2.994260543131761,2.994345880321464,2.9942907732178576
Germany,2020-03-10,2.7113511026872485,2.9481989646505957e-05,7,2.7114088863251484,2.7112933190493487,2.711378656239052,2.7113235491354453
Germany,2020-03-11,2.52610285719435,2.9481989646505957e-05,7,2.52616064083225,2.52604507355645,2.5261304107461533,2.5260753036425467
Germany,2020-03-12,2.173999355055817,2.9481989646505957e-05,7,2.174057138693717,2.173941571417917,2.1740269086076203,2.1739718015040137
Germany,2020-03-13,2.114753788119783,2.9481989646505957e-05,7,2.114811571757683,2.114696004481883,2.1147813416715864,2.11472623456798
Germany,2020-03-14,1.797843382341004,2.9481989646505957e-05,7,1.7979011659789037,1.7977855987031044,1.797870935892807,1.797815828789201
Germany,2020-03-15,1.6540422514878674,2.9481989646505957e-05,7,1.654100035125767,1.6539844678499678,1.6540698050396705,1.6540146979360644
Germany,2020-03-16,1.8249236539837674,2.9481989646505957e-05,7,1.824981437621667,1.8248658703458678,1.8249512075355705,1.8248961004319644
Germany,2020-03-17,1.4362513445085792,2.9481989646505957e-05,7,1.4363091281464788,1.4361935608706795,1.4362788980603822,1.436223790956776
Germany,2020-03-18,1.3524315432328415,2.9481989646505957e-05,7,1.3524893268707412,1.3523737595949419,1.3524590967846446,1.3524039896810385
Germany,2020-03-19,1.1796083842905163,2.9481989646505957e-05,7,1.179666167928416,1.1795506006526166,1.1796359378423193,1.1795808307387132
Germany,2020-03-20,1.2530677856626806,2.9481989646505957e-05,7,1.2531255693005803,1.253010002024781,1.2530953392144837,1.2530402321108776
Germany,2020-03-21,1.0598142778945898,2.9481989646505957e-05,7,1.0598720615324895,1.0597564942566902,1.0598418314463929,1.0597867243427868
Germany,2020-03-22,0.9491929942003758,2.9481989646505957e-05,7,0.9492507778382756,0.9491352105624761,0.949220547752179,0.9491654406485727
Germany,2020-03-23,1.176010203442019,2.9481989646505957e-05,7,1.1760679870799187,1.1759524198041194,1.176037756993822,1.175982649890216
Germany,2020-03-24,0.9741939116379499,2.9481989646505957e-05,7,0.9742516952758496,0.9741361280000501,0.974221465189753,0.9741663580861467
Germany,2020-03-25,1.0322288989854882,2.9481989646505957e-05,7,1.0322866826233879,1.0321711153475885,1.0322564525372913,1.0322013454336851
Germany,2020-03-26,0.9609985735342229,2.9481989646505957e-05,7,0.9610563571721227,0.9609407898963231,0.9610261270860261,0.9609710199824197
Germany,2020-03-27,0.9860696509491382,2.9481989646505957e-05,7,0.986127434587038,0.9860118673112385,0.9860972045009414,0.9860420973973351
Germany,2020-03-28,0.9505880213393522,2.9481989646505957e-05,7,0.9506458049772519,0.9505302377014524,0.9506155748911553,0.950560467787549
Germany,2020-03-29,0.8558213410620992,2.9481989646505957e-05,7,0.8558791246999989,0.8557635574241994,0.8558488946139023,0.855793787510296
Germany,2020-03-30,1.0614920169240833,2.9481989646505957e-05,7,1.061549800561983,1.0614342332861837,1.0615195704758864,1.0614644633722803
Germany,2020-03-31,0.9170169100326926,2.9481989646505957e-05,7,0.9170746936705924,0.9169591263947928,0.9170444635844958,0.9169893564808894
Germany,2020-04-01,1.005697334568455,2.9481989646505957e-05,7,1.0057551182063547,1.0056395509305553,1.005724888120258,1.005669781016652
Germany,2020-04-02,0.9519783368860285,2.9481989646505957e-05,7,0.9520361205239283,0.9519205532481287,0.9520058904378317,0.9519507833342253
Germany,2020-04-03,0.9594284456033494,2.9481989646505957e-05,7,0.9594862292412492,0.9593706619654496,0.9594559991551526,0.9594008920515462
Germany,2020-04-04,0.8414048271756884,2.9481989646505957e-05,7,0.8414626108135882,0.8413470435377887,0.8414323807274916,0.8413772736238853
Germany,2020-04-05,0.8052863378865383,2.9481989646505957e-05,7,0.805344121524438,0.8052285542486385,0.8053138914383414,0.8052587843347351
Germany,2020-04-06,0.9441406003811388,2.9481989646505957e-05,7,0.9441983840190386,0.944082816743239,0.944168153932942,0.9441130468293356
Germany,2020-04-07,0.8978593300892239,2.9481989646505957e-05,7,0.8979171137271237,0.8978015464513242,0.8978868836410271,0.8978317765374207
Germany,2020-04-08,0.8758261716965524,2.9481989646505957e-05,7,0.8758839553344522,0.8757683880586526,0.8758537252483556,0.8757986181447492
Germany,2020-04-09,0.8570132747022468,2.9481989646505957e-05,7,0.8570710583401465,0.856955491064347,0.8570408282540499,0.8569857211504436
Germany,2020-04-10,0.798098582617737,2.9481989646505957e-05,7,0.7981563662556368,0.7980407989798373,0.7981261361695402,0.7980710290659339
Germany,2020-04-11,0.7537882354310734,2.9481989646505957e-05,7,0.7538460190689732,0.7537304517931737,0.7538157889828766,0.7537606818792703
Germany,2020-04-12,0.7630496369996735,2.9481989646505957e-05,7,0.7631074206375733,0.7629918533617738,0.7630771905514767,0.7630220834478704
Germany,2020-04-13,0.7708808889026524,2.9481989646505957e-05,7,0.7709386725405522,0.7708231052647526,0.7709084424544556,0.7708533353508492
Germany,2020-04-14,0.8095645850606132,2.9481989646505957e-05,7,0.809622368698513,0.8095068014227135,0.8095921386124164,0.8095370315088101
Germany,2020-04-15,0.8267947577467304,2.9481989646505957e-05,7,0.8268525413846302,0.8267369741088306,0.8268223112985336,0.8267672041949272
Germany,2020-04-16,0.7954624606487268,2.9481989646505957e-05,7,0.7955202442866266,0.7954046770108271,0.79549001420053,0.7954349070969237
Germany,2020-04-17,0.7863189685288134,2.9481989646505957e-05,7,0.7863767521667132,0.7862611848909137,0.7863465220806166,0.7862914149770103
Germany,2020-04-18,0.747082324508343,2.9481989646505957e-05,7,0.7471401081462428,0.7470245408704432,0.7471098780601462,0.7470547709565398
Germany,2020-04-19,0.7329187486713642,2.9481989646505957e-05,7,0.732976532309264,0.7328609650334644,0.7329463022231674,0.732891195119561
Germany,2020-04-20,0.844985830344156,2.9481989646505957e-05,7,0.8450436139820557,0.8449280467062562,0.8450133838959591,0.8449582767923528
Germany,2020-04-21,0.7854391220880765,2.9481989646505957e-05,7,0.7854969057259763,0.7853813384501768,0.7854666756398797,0.7854115685362734
Germany,2020-04-22,0.7870806709765167,2.9481989646505957e-05,7,0.7871384546144164,0.7870228873386169,0.7871082245283199,0.7870531174247135
Germany,2020-04-23,0.799551792695757,2.9481989646505957e-05,7,0.7996095763336568,0.7994940090578573,0.7995793462475602,0.7995242391439539
Germany,2020-04-24,0.7731993883641879,2.9481989646505957e-05,7,0.7732571720020877,0.7731416047262881,0.7732269419159911,0.7731718348123847
Germany,2020-04-25,0.7390790497516324,2.9481989646505957e-05,7,0.7391368333895322,0.7390212661137326,0.7391066033034356,0.7390514961998292
Germany,2020-04-26,0.7187515776503213,2.9481989646505957e-05,7,0.718809361288221,0.7186937940124215,0.7187791312021244,0.7187240240985181
Germany,2020-04-27,0.8335671309205233,2.9481989646505957e-05,7,0.833624914558423,0.8335093472826235,0.8335946844723264,0.8335395773687201
Germany,2020-04-28,0.776907534663955,2.9481989646505957e-05,7,0.7769653183018548,0.7768497510260552,0.7769350882157582,0.7768799811121518
Germany,2020-04-29,0.7612749605065229,2.9481989646505957e-05,7,0.7613327441444226,0.7612171768686231,0.761302514058326,0.7612474069547197
Germany,2020-04-30,0.8212767531813964,2.9481989646505957e-05,7,0.8213345368192961,0.8212189695434966,0.8213043067331995,0.8212491996295932
Germany,2020-05-01,0.7750887775166329,2.9481989646505957e-05,7,0.7751465611545326,0.7750309938787331,0.775116331068436,0.7750612239648297
Germany,2020-05-02,0.7544272525592336,2.9481989646505957e-05,7,0.7544850361971334,0.7543694689213338,0.7544548061110368,0.7543996990074304
Germany,2020-05-03,0.7863941294693673,2.9481989646505957e-05,7,0.786451913107267,0.7863363458314675,0.7864216830211704,0.7863665759175641
Germany,2020-05-04,0.8939518998164996,2.9481989646505957e-05,7,0.8940096834543994,0.8938941161785998,0.8939794533683028,0.8939243462646964
Germany,2020-05-05,0.8582590514574989,2.9481989646505957e-05,7,0.8583168350953987,0.8582012678195992,0.8582866050093021,0.8582314979056958
Germany,2020-05-06,0.8271504576624809,2.9481989646505957e-05,7,0.8272082413003806,0.8270926740245811,0.827178011214284,0.8271229041106777
Germany,2020-05-07,0.8190534783727873,2.9481989646505957e-05,7,0.8191112620106871,0.8189956947348875,0.8190810319245905,0.8190259248209841
Germany,2020-05-08,0.8198797835881461,2.9481989646505957e-05,7,0.8199375672260458,0.8198219999502463,0.8199073371399492,0.8198522300363429
