Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_65_u,ci_65_l
Germany,2020-03-03,4.104417293233084,0.0,7,4.104417293233084,4.104417293233084,4.104417293233084,4.104417293233084
Germany,2020-03-04,3.133396500187523,1.1388137480720625e-05,7,3.133418820526836,3.1333741798482095,3.1334071434188577,3.133385856956188
Germany,2020-03-05,2.3211726025129464,9.947656775277555e-10,7,2.3211726044626513,2.3211726005632416,2.3211726034426436,2.3211726015832492
Germany,2020-03-06,2.4726248288143973,1.1388137480720625e-05,7,2.4726471491537105,2.472602508475084,2.472635472045732,2.4726141855830623
Germany,2020-03-07,2.290531504380473,1.1388137480720625e-05,7,2.2905538247197863,2.2905091840411598,2.290542147611808,2.290520861149138
Germany,2020-03-08,2.2624058750701703,1.1388137480720625e-05,7,2.2624281954094836,2.262383554730857,2.2624165183015053,2.2623952318388354
Germany,2020-03-09,2.4426983781594847,1.1388137480720625e-05,7,2.442720698498798,2.4426760578201714,2.4427090213908196,2.4426877349281497
Germany,2020-03-10,2.237998667437652,1.1388137480720625e-05,7,2.2380209877769652,2.2379763470983387,2.238009310668987,2.237988024206317
Germany,2020-03-11,2.1039893053739593,1.1388137480720625e-05,7,2.1040116257132726,2.103966985034646,2.1039999486052943,2.1039786621426244
Germany,2020-03-12,1.849276121422978,1.1388137480720625e-05,7,1.8492984417622913,1.8492538010836648,1.8492867646543127,1.8492654781916433
Germany,2020-03-13,1.8064176407920378,1.1388137480720625e-05,7,1.806439961131351,1.8063953204527246,1.8064282840233725,1.806406997560703
Germany,2020-03-14,1.5771632932729984,1.1388137480720625e-05,7,1.5771856136123117,1.5771409729336852,1.5771739365043331,1.5771526500416637
Germany,2020-03-15,1.4731369395397351,1.1388137480720625e-05,7,1.4731592598790484,1.4731146192004219,1.4731475827710698,1.4731262963084004
Germany,2020-03-16,1.5967532964441529,1.1388137480720625e-05,7,1.5967756167834661,1.5967309761048396,1.5967639396754876,1.5967426532128182
Germany,2020-03-17,1.3155860709217848,1.1388137480720625e-05,7,1.315608391261098,1.3155637505824715,1.3155967141531195,1.31557542769045
Germany,2020-03-18,1.2549504804436231,1.1388137480720625e-05,7,1.2549728007829364,1.2549281601043099,1.2549611236749578,1.2549398372122884
Germany,2020-03-19,1.1299294629555585,1.1388137480720625e-05,7,1.1299517832948718,1.1299071426162453,1.1299401061868932,1.1299188197242238
Germany,2020-03-20,1.1830703201055703,1.1388137480720625e-05,7,1.1830926404448836,1.183047999766257,1.183080963336905,1.1830596768742356
Germany,2020-03-21,1.0432699009664541,1.1388137480720625e-05,7,1.0432922213057674,1.0432475806271408,1.0432805441977888,1.0432592577351194
Germany,2020-03-22,0.9632459868559539,1.1388137480720625e-05,7,0.963268307195267,0.9632236665166407,0.9632566300872886,0.9632353436246192
Germany,2020-03-23,1.1273265415165308,1.1388137480720625e-05,7,1.127348861855844,1.1273042211772175,1.1273371847478655,1.127315898285196
Germany,2020-03-24,0.9813317589747228,1.1388137480720625e-05,7,0.981354079314036,0.9813094386354096,0.9813424022060575,0.9813211157433881
Germany,2020-03-25,1.023314526098356,1.1388137480720625e-05,7,1.0233368464376693,1.0232922057590428,1.0233251693296908,1.0233038828670213
Germany,2020-03-26,0.9717861995773112,1.1388137480720625e-05,7,0.9718085199166243,0.971763879237998,0.9717968428086459,0.9717755563459765
Germany,2020-03-27,0.9899227278243303,1.1388137480720625e-05,7,0.9899450481636435,0.9899004074850172,0.989933371055665,0.9899120845929956
Germany,2020-03-28,0.9642551659453359,1.1388137480720625e-05,7,0.964277486284649,0.9642328456060227,0.9642658091766706,0.9642445227140012
Germany,2020-03-29,0.8957005366307788,1.1388137480720625e-05,7,0.8957228569700919,0.8956782162914656,0.8957111798621135,0.895689893399444
Germany,2020-03-30,1.0444835959965986,1.1388137480720625e-05,7,1.0445059163359118,1.0444612756572853,1.0444942392279333,1.0444729527652639
Germany,2020-03-31,0.9399696734150376,1.1388137480720625e-05,7,0.9399919937543507,0.9399473530757244,0.9399803166463723,0.9399590301837029
Germany,2020-04-01,1.0041214798471052,1.1388137480720625e-05,7,1.0041438001864185,1.004099159507792,1.00413212307844,1.0041108366157705
Germany,2020-04-02,0.9652609229336994,1.1388137480720625e-05,7,0.9652832432730125,0.9652386025943862,0.9652715661650341,0.9652502797023647
Germany,2020-04-03,0.970650368232004,1.1388137480720625e-05,7,0.9706726885713172,0.9706280478926909,0.9706610114633387,0.9706397250006693
Germany,2020-04-04,0.8852715749337647,1.1388137480720625e-05,7,0.8852938952730779,0.8852492545944516,0.8852822181650994,0.88526093170243
Germany,2020-04-05,0.8591433036182227,1.1388137480720625e-05,7,0.8591656239575358,0.8591209832789095,0.8591539468495574,0.859132660386888
Germany,2020-04-06,0.9595910775257751,1.1388137480720625e-05,7,0.9596133978650883,0.959568757186462,0.9596017207571098,0.9595804342944404
Germany,2020-04-07,0.9261110041023575,1.1388137480720625e-05,7,0.9261333244416706,0.9260886837630443,0.9261216473336922,0.9261003608710228
Germany,2020-04-08,0.9101721241206182,1.1388137480720625e-05,7,0.9101944444599314,0.9101498037813051,0.9101827673519529,0.9101614808892835
Germany,2020-04-09,0.8965627955289196,1.1388137480720625e-05,7,0.8965851158682328,0.8965404751896064,0.8965734387602543,0.8965521522975849
