Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_65_u,ci_65_l
Germany,2020-02-29,2.1198056861923478,0.1528570290099329,4.8,2.4193999578356102,1.820211414549085,2.2626642285703396,1.9769471438143562
Germany,2020-03-01,2.146925943732728,0.14283279484947536,4.8,2.4268730774488976,1.866978810016558,2.280415944213143,2.013435943252313
Germany,2020-03-02,2.1883725979050133,0.13511125475070324,4.8,2.453185791122408,1.9235594046876185,2.3146461296985215,2.062099066111505
Germany,2020-03-03,2.2435360455032205,0.12923276656155377,4.8,2.496827613586338,1.990244477420103,2.3643156051874477,2.1227564858189933
Germany,2020-03-04,2.279935629505778,0.12480369271112776,4.8,2.5245463723571926,2.035324886654364,2.3965758242000237,2.1632954348115327
Germany,2020-03-05,2.273583747637331,0.1214960480415201,4.8,2.5117116260626586,2.0354558692120035,2.387132653044685,2.1600348422299773
Germany,2020-03-06,2.250952853163338,0.11904377030756484,4.8,2.4842743555500237,2.0176313507766523,2.362209886061799,2.139695820264877
Germany,2020-03-07,2.232587409986979,0.11723616494631918,4.8,2.462366070967362,2.0028087490065962,2.342155074272333,2.123019745701625
Germany,2020-03-08,2.2382030973351528,0.11590975897849547,4.8,2.465382050389722,2.0110241442805834,2.3465311168073626,2.129875077862943
Germany,2020-03-09,2.278794097607568,0.1149398096261296,4.8,2.504071984864672,2.0535162103504634,2.386215612802173,2.1713725824129626
Germany,2020-03-10,2.3003280673184907,0.11423236889328914,4.8,2.524219396218031,2.0764367384189506,2.4070884159801142,2.193567718656867
Germany,2020-03-11,2.2864700806706555,0.11371739330551578,4.8,2.509352075965243,2.063588085376068,2.3927491386627815,2.1801910226785295
Germany,2020-03-12,2.2542714903608463,0.11334306030568697,4.8,2.4764198064575442,2.0321231742641483,2.360200700740037,2.1483422799816556
Germany,2020-03-13,2.2084304495575564,0.11307124771004846,4.8,2.4300460227562586,1.9868148763588545,2.3141056267956843,2.1027552723194285
Germany,2020-03-14,2.142368758223169,0.11287403086566947,4.8,2.3635977935097436,1.9211397229365943,2.247859618710521,2.036877897735817
Germany,2020-03-15,2.082639292400153,0.11273101892846855,4.8,2.3035880294404545,1.8616905553598513,2.1879964954625013,1.9772820893378045
Germany,2020-03-16,2.04548595169295,0.11262735653504216,4.8,2.2662315141755847,1.8247403892103156,2.150746272992515,1.940225630393385
Germany,2020-03-17,1.9995879612192047,0.11255223927674597,4.8,2.220186296580961,1.778989625857448,2.1047780787335912,1.894397843704818
Germany,2020-03-18,1.9343714131564678,0.11249781865981205,4.8,2.1548630860690174,1.713879740243918,2.0395106697450545,1.829232156567881
Germany,2020-03-19,1.8570128560458996,0.11245839849712348,4.8,2.077427266859315,1.6365984452324842,1.962115270972585,1.7519104411192141
Germany,2020-03-20,1.7733469246735964,0.1124298473559437,4.8,1.993705376278582,1.552988473068611,1.8784226560094874,1.6682711933377055
Germany,2020-03-21,1.6913309086755954,0.11240917012624553,4.8,1.9116488336550725,1.4710129836961183,1.7963873152940415,1.5862745020571494
Germany,2020-03-22,1.620943238344828,0.1123941962238452,4.8,1.8412318150148923,1.4006546616747635,1.725985650514445,1.5159008261752107
Germany,2020-03-23,1.5716271766882448,0.11238335299544112,4.8,1.791894501021161,1.3513598523553285,1.6766594548927147,1.466594898483775
Germany,2020-03-24,1.5276584959579622,0.11237550121104545,4.8,1.7479104310762485,1.3074065608396759,1.6326834359688203,1.4226335559471042
Germany,2020-03-25,1.4804057364761443,0.11236981571991325,4.8,1.700646528236577,1.2601649447157115,1.5854253628878756,1.375386110064413
Germany,2020-03-26,1.4276587273601637,0.11236569891718089,4.8,1.6478914503355095,1.207426004384818,1.5326745062521479,1.3226429484681796
Germany,2020-03-27,1.3719496633596258,0.11236271802502107,4.8,1.5921765438936966,1.151722782825555,1.4769626563417195,1.266936670377532
Germany,2020-03-28,1.315347557743225,0.11236055964718353,4.8,1.5355702079344693,1.0951249075519807,1.4203585335285056,1.2103365819579444
Germany,2020-03-29,1.266064560900927,0.11235899684639025,4.8,1.4862841480589013,1.0458449737429525,1.371074076109322,1.1610550456925317
Germany,2020-03-30,1.2320006487428825,0.11235786529738408,4.8,1.4522180181055582,1.0117832793802068,1.3370091064176943,1.1269921910680707
Germany,2020-03-31,1.204990226314465,0.11235704601570784,4.8,1.425205989914562,0.984774462714368,1.3099979182973958,1.0999825343315341
Germany,2020-04-01,1.1726735468151224,0.11235645285006561,4.8,1.3928881478319237,0.952458945798321,1.277680684431796,1.0676664091984487
Germany,2020-04-02,1.1359473344446447,0.11235602342510152,4.8,1.3561610938039823,0.9157335750853071,1.2409540707253457,1.0309405981639437
Germany,2020-04-03,1.0946339474827893,0.11235571258325497,4.8,1.3148470976033029,0.8744207973622758,1.1996403932540292,0.9896275017115493
Germany,2020-04-04,1.0513746653449307,0.11235548763661933,4.8,1.2715873745781399,0.8311619561117215,1.156380900883454,0.9463684298064076
Germany,2020-04-05,1.0145611218604622,0.1123553249297919,4.8,1.2347735121941497,0.7943487315267748,1.1195672053349268,0.9095550383859975
Germany,2020-04-06,0.9910427727155603,0.11235520735242058,4.8,1.2112549326018345,0.7708306128292861,1.096048746303473,0.8860367991276477
Germany,2020-04-07,0.9727925243852711,0.11235512253994728,4.8,1.1930045180421522,0.7525805307283899,1.0777984187083545,0.8677866300621878
Germany,2020-04-08,0.9498831402799471,0.11235506157337963,4.8,1.1700950144445514,0.7296712661153428,1.054888977624329,0.8448773029355651
Germany,2020-04-09,0.9221306061787568,0.11235501804137936,4.8,1.1423423950222082,0.7019188173353053,1.0271364028385976,0.817124809518916
Germany,2020-04-10,0.8915456890373123,0.11235498736604767,4.8,1.1117574177582186,0.6713339603164061,0.9965514570283166,0.7865399210463081
Germany,2020-04-11,0.865621250835156,0.11235496632151142,4.8,1.085832938309529,0.6454095633607828,0.970626999158162,0.7606155025121499
Germany,2020-04-12,0.8451765645403427,0.11235495269468772,4.8,1.0653882253066322,0.6249649037740533,0.9501823001278653,0.7401708289528202
Germany,2020-04-13,0.8345773839273045,0.11235494505255351,4.8,1.0547890297152862,0.6143657381393229,0.9395831123725703,0.7295716554820387
Germany,2020-04-14,0.8339426126690538,0.11235494259144709,4.8,1.0541542536333555,0.6137309717047521,0.9389483388141958,0.7289368865239118
Germany,2020-04-15,0.8352612914081843,0.11235494505255351,4.8,1.055472937196166,0.6150496456202027,0.9402670198534501,0.7302555629629185
Germany,2020-04-16,0.8306918312807611,0.11235494259144709,4.8,1.0509034722450628,0.6104801903164594,0.9356975574259031,0.725686105135619
Germany,2020-04-17,0.819687163509075,0.11235494259144709,4.8,1.0398988044733766,0.5994755225447733,0.924692889654217,0.714681437363933
Germany,2020-04-18,0.8052963738989022,0.11235494259144709,4.8,1.0255080148632039,0.5850847329346005,0.9103021000440442,0.7002906477537602
