Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_50_u,ci_50_l
Germany,2020-02-25,6.113157894736843,0.0,7,6.113157894736843,6.113157894736843,6.113157894736843,6.113157894736843
Germany,2020-02-26,4.513829526139061,4.545620266781763e-06,7,4.5138384353910705,4.513820616887051,4.513832592113339,4.513826460164783
Germany,2020-02-27,3.176048988958354,0.0,7,3.176048988958354,3.176048988958354,3.176048988958354,3.176048988958354
Germany,2020-02-28,3.4254997255701545,4.545620266781763e-06,7,3.425508634822165,3.425490816318144,3.4255027915444325,3.4254966595958765
Germany,2020-02-29,3.125581297859898,4.545620266781763e-06,7,3.1255902071119084,3.1255723886078877,3.125584363834176,3.12557823188562
Germany,2020-03-01,3.0792567307089516,4.545620266781763e-06,7,3.079265639960962,3.079247821456941,3.0792597966832296,3.0792536647346735
Germany,2020-03-02,3.3762091021224103,4.545620266781763e-06,7,3.3762180113744207,3.3762001928704,3.3762121680966883,3.3762060361481323
Germany,2020-03-03,3.039056627126462,4.545620266781763e-06,7,3.039065536378472,3.0390477178744515,3.03905969310074,3.039053561152184
Germany,2020-03-04,2.8183353292206856,4.545620266781763e-06,7,2.818344238472696,2.8183264199686753,2.8183383951949637,2.8183322632464076
Germany,2020-03-05,2.3988077246243016,4.545620266781763e-06,7,2.398816633876312,2.3987988153722912,2.3988107905985796,2.3988046586500236
Germany,2020-03-06,2.3282172949203397,4.545620266781763e-06,7,2.32822620417235,2.3282083856683293,2.3282203608946177,2.3282142289460617
Germany,2020-03-07,1.9506218919781464,4.545620266781763e-06,7,1.9506308012301568,1.950612982726136,1.9506249579524246,1.9506188260038682
Germany,2020-03-08,1.7792843658722832,4.545620266781763e-06,7,1.7792932751242936,1.7792754566202729,1.7792874318465615,1.779281299898005
Germany,2020-03-09,1.982887791508246,4.545620266781763e-06,7,1.9828967007602563,1.9828788822562355,1.9828908574825241,1.9828847255339677
Germany,2020-03-10,1.5197888177207508,4.545620266781763e-06,7,1.5197977269727612,1.5197799084687404,1.519791883695029,1.5197857517464726
Germany,2020-03-11,1.4199184398299052,4.545620266781763e-06,7,1.4199273490819155,1.4199095305778948,1.4199215058041834,1.419915373855627
Germany,2020-03-12,1.2140014643790606,4.545620266781763e-06,7,1.214010373631071,1.2139925551270503,1.2140045303533389,1.2139983984047824
Germany,2020-03-13,1.3015275904079036,4.545620266781763e-06,7,1.301536499659914,1.3015186811558932,1.3015306563821818,1.3015245244336253
Germany,2020-03-14,1.0712680708318203,4.545620266781763e-06,7,1.0712769800838307,1.07125916157981,1.0712711368060985,1.071265004857542
Germany,2020-03-15,0.9394639728453589,4.545620266781763e-06,7,0.9394728820973691,0.9394550635933486,0.9394670388196371,0.9394609068710806
Germany,2020-03-16,1.2097143106678414,4.545620266781763e-06,7,1.2097232199198518,1.209705401415831,1.2097173766421196,1.2097112446935632
Germany,2020-03-17,0.969252304659827,4.545620266781763e-06,7,0.9692612139118373,0.9692433954078168,0.9692553706341053,0.9692492386855488
Germany,2020-03-18,1.0384003980357885,4.545620266781763e-06,7,1.038409307287799,1.0383914887837782,1.0384034640100668,1.0383973320615103
Germany,2020-03-19,0.9535302094972651,4.545620266781763e-06,7,0.9535391187492753,0.9535213002452548,0.9535332754715433,0.9535271435229868
Germany,2020-03-20,0.9834021409339297,4.545620266781763e-06,7,0.98341105018594,0.9833932316819195,0.983405206908208,0.9833990749596515
Germany,2020-03-21,0.941126156641962,4.545620266781763e-06,7,0.9411350658939722,0.9411172473899517,0.9411292226162402,0.9411230906676837
Germany,2020-03-22,0.8282126436664256,4.545620266781763e-06,7,0.8282215529184358,0.8282037344144153,0.8282157096407038,0.8282095776921473
Germany,2020-03-23,1.0732671050014706,4.545620266781763e-06,7,1.073276014253481,1.0732581957494602,1.0732701709757488,1.0732640390271924
Germany,2020-03-24,0.9011265171147352,4.545620266781763e-06,7,0.9011354263667455,0.901117607862725,0.9011295830890135,0.901123451140457
Germany,2020-03-25,1.0067883220715528,4.545620266781763e-06,7,1.0067972313235631,1.0067794128195424,1.006791388045831,1.0067852560972745
Germany,2020-03-26,0.9427826955986501,4.545620266781763e-06,7,0.9427916048506604,0.9427737863466399,0.9427857615729284,0.9427796296243719
Germany,2020-03-27,0.951659432076404,4.545620266781763e-06,7,0.9516683413284143,0.9516505228243938,0.9516624980506823,0.9516563661021258
Germany,2020-03-28,0.8110355338486658,4.545620266781763e-06,7,0.811044443100676,0.8110266245966555,0.811038599822944,0.8110324678743875
Germany,2020-03-29,0.7680007325163465,4.545620266781763e-06,7,0.7680096417683567,0.7679918232643362,0.7680037984906247,0.7679976665420682
Germany,2020-03-30,0.933444130710171,4.545620266781763e-06,7,0.9334530399621812,0.9334352214581607,0.9334471966844492,0.9334410647358927
Germany,2020-03-31,0.8783004769494287,4.545620266781763e-06,7,0.878309386201439,0.8782915676974185,0.8783035429237069,0.8782974109751505
Germany,2020-04-01,0.8520482043814177,4.545620266781763e-06,7,0.852057113633428,0.8520392951294075,0.8520512703556959,0.8520451384071395
Germany,2020-04-02,0.8296328403489892,4.545620266781763e-06,7,0.8296417496009995,0.829623931096979,0.8296359063232674,0.829629774374711
Germany,2020-04-03,0.7594366082002724,4.545620266781763e-06,7,0.7594455174522826,0.7594276989482621,0.7594396741745506,0.7594335422259941
Germany,2020-04-04,0.7066412985762054,4.545620266781763e-06,7,0.7066502078282156,0.7066323893241951,0.7066443645504836,0.7066382326019272
Germany,2020-04-05,0.7176761633194546,4.545620266781763e-06,7,0.7176850725714649,0.7176672540674444,0.7176792292937328,0.7176730973451764
Germany,2020-04-06,0.7270070147138858,4.545620266781763e-06,7,0.7270159239658961,0.7269981054618756,0.7270100806881641,0.7270039487396076
Germany,2020-04-07,0.7730982302954834,4.545620266781763e-06,7,0.7731071395474937,0.7730893210434732,0.7731012962697617,0.7730951643212052
Germany,2020-04-08,0.7936277993776701,4.545620266781763e-06,7,0.7936367086296804,0.7936188901256599,0.7936308653519484,0.7936247334033919
Germany,2020-04-09,0.7562956964630217,4.545620266781763e-06,7,0.756304605715032,0.7562867872110115,0.7562987624373,0.7562926304887435
Germany,2020-04-10,0.745401326009967,4.545620266781763e-06,7,0.7454102352619772,0.7453924167579568,0.7454043919842452,0.7453982600356888
Germany,2020-04-11,0.6986512787610137,4.545620266781763e-06,7,0.698660188013024,0.6986423695090035,0.698654344735292,0.6986482127867355
Germany,2020-04-12,0.6817755227586942,4.545620266781763e-06,7,0.6817844320107045,0.681766613506684,0.6817785887329725,0.681772456784416
Germany,2020-04-13,0.8153022762378551,4.545620266781763e-06,7,0.8153111854898654,0.8152933669858449,0.8153053422121334,0.8152992102635769
Germany,2020-04-14,0.7443529928595158,4.545620266781763e-06,7,0.7443619021115261,0.7443440836075056,0.7443560588337941,0.7443499268852376
Germany,2020-04-15,0.7463088839180498,4.545620266781763e-06,7,0.7463177931700601,0.7462999746660396,0.7463119498923281,0.7463058179437716
Germany,2020-04-16,0.7611680957539295,4.545620266781763e-06,7,0.7611770050059398,0.7611591865019193,0.7611711617282078,0.7611650297796513
Germany,2020-04-17,0.7297694844744274,4.545620266781763e-06,7,0.7297783937264376,0.7297605752224171,0.7297725504487056,0.7297664185001491
Germany,2020-04-18,0.689115462706364,4.545620266781763e-06,7,0.6891243719583743,0.6891065534543538,0.6891185286806423,0.6891123967320858
Germany,2020-04-19,0.6648954886670138,4.545620266781763e-06,7,0.664904397919024,0.6648865794150035,0.664898554641292,0.6648924226927355
Germany,2020-04-20,0.8016970173418049,4.545620266781763e-06,7,0.8017059265938151,0.8016881080897946,0.8017000833160831,0.8016939513675266
Germany,2020-04-21,0.7341876984148064,4.545620266781763e-06,7,0.7341966076668166,0.7341787891627961,0.7341907643890846,0.7341846324405281
Germany,2020-04-22,0.7155616505339564,4.545620266781763e-06,7,0.7155705597859666,0.7155527412819461,0.7155647165082346,0.7155585845596781
Germany,2020-04-23,0.7870531590975712,4.545620266781763e-06,7,0.7870620683495815,0.787044249845561,0.7870562250718495,0.787050093123293
Germany,2020-04-24,0.7320206695522014,4.545620266781763e-06,7,0.7320295788042116,0.7320117603001911,0.7320237355264796,0.7320176035779231
Germany,2020-04-25,0.7074026807429493,4.545620266781763e-06,7,0.7074115899949596,0.7073937714909391,0.7074057467172276,0.7073996147686711
Germany,2020-04-26,0.7454908731305918,4.545620266781763e-06,7,0.7454997823826021,0.7454819638785816,0.74549393910487,0.7454878071563136
Germany,2020-04-27,0.8736448253968858,4.545620266781763e-06,7,0.8736537346488961,0.8736359161448756,0.873647891371164,0.8736417594226076
Germany,2020-04-28,0.8311171674190113,4.545620266781763e-06,7,0.8311260766710216,0.8311082581670011,0.8311202333932896,0.8311141014447331
Germany,2020-04-29,0.7940516077491944,4.545620266781763e-06,7,0.7940605170012046,0.7940426984971841,0.7940546737234726,0.7940485417749161
Germany,2020-04-30,0.7844041439088242,4.545620266781763e-06,7,0.7844130531608344,0.7843952346568139,0.7844072098831024,0.7844010779345459
Germany,2020-05-01,0.7853886816616477,4.545620266781763e-06,7,0.7853975909136579,0.7853797724096374,0.7853917476359259,0.7853856156873694
Germany,2020-05-02,0.7199642852701359,4.545620266781763e-06,7,0.7199731945221461,0.7199553760181256,0.7199673512444141,0.7199612192958577
Germany,2020-05-03,0.7246861768961051,4.545620266781763e-06,7,0.7246950861481154,0.7246772676440949,0.7246892428703834,0.7246831109218269
Germany,2020-05-04,0.8609872318497631,4.545620266781763e-06,7,0.8609961411017734,0.8609783225977529,0.8609902978240414,0.8609841658754849
Germany,2020-05-05,0.8320148858859655,4.545620266781763e-06,7,0.8320237951379758,0.8320059766339553,0.8320179518602437,0.8320118199116873
Germany,2020-05-06,0.8179852044956841,4.545620266781763e-06,7,0.8179941137476944,0.8179762952436739,0.8179882704699624,0.8179821385214059
Germany,2020-05-07,0.7725941646059118,4.545620266781763e-06,7,0.772603073857922,0.7725852553539015,0.77259723058019,0.7725910986316336
Germany,2020-05-08,0.966384441986535,4.545620266781763e-06,7,0.9663933512385452,0.9663755327345247,0.9663875079608132,0.9663813760122567
Germany,2020-05-09,0.8368246161256518,4.545620266781763e-06,7,0.8368335253776621,0.8368157068736416,0.8368276820999301,0.8368215501513736
Germany,2020-05-10,0.7177222006699261,4.545620266781763e-06,7,0.7177311099219363,0.7177132914179158,0.7177252666442043,0.7177191346956479
Germany,2020-05-11,0.9585985628823216,4.545620266781763e-06,7,0.9586074721343318,0.9585896536303113,0.9586016288565998,0.9585954969080434
Germany,2020-05-12,0.7790892902737773,4.545620266781763e-06,7,0.7790981995257875,0.779080381021767,0.7790923562480555,0.779086224299499
Germany,2020-05-13,0.9270682921257742,4.545620266781763e-06,7,0.9270772013777845,0.927059382873764,0.9270713581000525,0.927065226151496
Germany,2020-05-14,0.7098960969031163,4.545620266781763e-06,7,0.7099050061551265,0.709887187651106,0.7098991628773945,0.709893030928838
Germany,2020-05-15,0.7349892496134537,4.545620266781763e-06,7,0.7349981588654639,0.7349803403614434,0.7349923155877319,0.7349861836391754
Germany,2020-05-16,0.7310918708425359,4.545620266781763e-06,7,0.7311007800945462,0.7310829615905257,0.7310949368168141,0.7310888048682577
Germany,2020-05-17,0.7655022515912147,4.545620266781763e-06,7,0.7655111608432249,0.7654933423392044,0.7655053175654929,0.7654991856169364
Germany,2020-05-18,0.9445329579483019,4.545620266781763e-06,7,0.9445418672003122,0.9445240486962917,0.9445360239225802,0.9445298919740237
Germany,2020-05-19,0.8989568877574943,4.545620266781763e-06,7,0.8989657970095045,0.898947978505484,0.8989599537317725,0.898953821783216
Germany,2020-05-20,0.9428903156762168,4.545620266781763e-06,7,0.9428992249282271,0.9428814064242066,0.9428933816504951,0.9428872497019386
Germany,2020-05-21,0.824902678674003,4.545620266781763e-06,7,0.8249115879260133,0.8248937694219928,0.8249057446482813,0.8248996126997248
Germany,2020-05-22,0.7921696386095253,4.545620266781763e-06,7,0.7921785478615355,0.792160729357515,0.7921727045838035,0.792166572635247
Germany,2020-05-23,0.7157439371028751,4.545620266781763e-06,7,0.7157528463548853,0.7157350278508648,0.7157470030771533,0.7157408711285969
Germany,2020-05-24,0.7022470526468451,4.545620266781763e-06,7,0.7022559618988553,0.7022381433948348,0.7022501186211233,0.7022439866725668
Germany,2020-05-25,0.8448236195945598,4.545620266781763e-06,7,0.84483252884657,0.8448147103425495,0.844826685568838,0.8448205536202815
Germany,2020-05-26,1.0903523632307444,4.545620266781763e-06,7,1.0903612724827547,1.090343453978734,1.0903554292050226,1.0903492972564661
Germany,2020-05-27,0.9983737587523916,4.545620266781763e-06,7,0.9983826680044019,0.9983648495003814,0.9983768247266699,0.9983706927781134
Germany,2020-05-28,0.8828078513715686,4.545620266781763e-06,7,0.8828167606235788,0.8827989421195583,0.8828109173458468,0.8828047853972903
Germany,2020-05-29,0.850501173307532,4.545620266781763e-06,7,0.8505100825595423,0.8504922640555218,0.8505042392818103,0.8504981073332538
