Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_50_u,ci_50_l
Germany,2020-03-04,5.1450549450549445,0.0,7,5.1450549450549445,5.1450549450549445,5.1450549450549445,5.1450549450549445
Germany,2020-03-05,3.385342225958814,8.609666801641287e-06,7,3.385359100595664,3.385325351321964,3.3853480330908243,3.3853364188268036
Germany,2020-03-06,2.365833265646467,0.0,7,2.365833265646467,2.365833265646467,2.365833265646467,2.365833265646467
Germany,2020-03-07,1.5335741334326753,8.609666801641287e-06,7,1.5335910080695254,1.5335572587958253,1.5335799405646857,1.533568326300665
Germany,2020-03-08,1.1024943316506357,8.609666801641287e-06,7,1.1025112062874858,1.1024774570137856,1.102500138782646,1.1024885245186253
Germany,2020-03-09,2.833756788123061,8.609666801641287e-06,7,2.8337736627599113,2.833739913486211,2.8337625952550716,2.833750980991051
Germany,2020-03-10,3.5114111999770405,8.609666801641287e-06,7,3.5114280746138906,3.5113943253401905,3.511417007109051,3.51140539284503
Germany,2020-03-11,2.9523351095960537,8.609666801641287e-06,7,2.952351984232904,2.9523182349592036,2.952340916728064,2.9523293024640433
Germany,2020-03-12,2.795094794654662,8.609666801641287e-06,7,2.795111669291512,2.7950779200178117,2.795100601786672,2.7950889875226514
Germany,2020-03-13,2.9807972030976906,8.609666801641287e-06,7,2.9808140777345407,2.9807803284608405,2.980803010229701,2.98079139596568
Germany,2020-03-14,2.009679755996621,8.609666801641287e-06,7,2.009696630633471,2.009662881359771,2.0096855631286314,2.0096739488646107
Germany,2020-03-15,1.35940827165668,8.609666801641287e-06,7,1.35942514629353,1.35939139701983,1.3594140787886904,1.3594024645246696
Germany,2020-03-16,2.3489710054151978,8.609666801641287e-06,7,2.348987880052048,2.3489541307783477,2.348976812547208,2.3489651982831874
Germany,2020-03-17,2.6766147075231497,8.609666801641287e-06,7,2.6766315821599997,2.6765978328862996,2.67662051465516,2.6766089003911393
Germany,2020-03-18,2.3911147836729585,8.609666801641287e-06,7,2.3911316583098086,2.3910979090361084,2.391120590804969,2.391108976540948
Germany,2020-03-19,2.117790865195404,8.609666801641287e-06,7,2.117807739832254,2.117773990558554,2.1177966723274144,2.1177850580633937
Germany,2020-03-20,1.7819184296335226,8.609666801641287e-06,7,1.7819353042703727,1.7819015549966726,1.781924236765533,1.7819126225015123
Germany,2020-03-21,1.357285739942191,8.609666801641287e-06,7,1.357302614579041,1.3572688653053409,1.3572915470742013,1.3572799328101806
Germany,2020-03-22,0.9665544466225853,8.609666801641287e-06,7,0.9665713212594353,0.9665375719857352,0.9665602537545955,0.966548639490575
Germany,2020-03-23,1.3998312159299844,8.609666801641287e-06,7,1.3998480905668345,1.3998143412931343,1.3998370230619948,1.399825408797974
Germany,2020-03-24,1.6373308199105367,8.609666801641287e-06,7,1.6373476945473868,1.6373139452736867,1.6373366270425471,1.6373250127785264
Germany,2020-03-25,1.6715533750996723,8.609666801641287e-06,7,1.6715702497365224,1.6715365004628222,1.6715591822316826,1.671547567967662
Germany,2020-03-26,1.5450538982524238,8.609666801641287e-06,7,1.5450707728892739,1.5450370236155737,1.5450597053844342,1.5450480911204134
Germany,2020-03-27,1.43745176184623,8.609666801641287e-06,7,1.43746863648308,1.4374348872093798,1.4374575689782403,1.4374459547142195
Germany,2020-03-28,1.1226531707362006,8.609666801641287e-06,7,1.1226700453730507,1.1226362960993506,1.122658977868211,1.1226473636041903
Germany,2020-03-29,0.824564681842219,8.609666801641287e-06,7,0.824581556479069,0.8245478072053689,0.8245704889742292,0.8245588747102087
Germany,2020-03-30,1.0287122311124044,8.609666801641287e-06,7,1.0287291057492545,1.0286953564755543,1.0287180382444148,1.028706423980394
Germany,2020-03-31,1.3525089803960202,8.609666801641287e-06,7,1.3525258550328703,1.3524921057591701,1.3525147875280306,1.3525031732640098
Germany,2020-04-01,1.317306949837492,8.609666801641287e-06,7,1.3173238244743422,1.317290075200642,1.3173127569695025,1.3173011427054817
Germany,2020-04-02,1.2911747053981175,8.609666801641287e-06,7,1.2911915800349676,1.2911578307612674,1.2911805125301279,1.2911688982661071
Germany,2020-04-03,1.1955180358622077,8.609666801641287e-06,7,1.1955349104990578,1.1955011612253577,1.195523842994218,1.1955122287301974
Germany,2020-04-04,0.8966207029067755,8.609666801641287e-06,7,0.8966375775436256,0.8966038282699255,0.8966265100387858,0.8966148957747653
Germany,2020-04-05,0.661801651838763,8.609666801641287e-06,7,0.6618185264756131,0.661784777201913,0.6618074589707733,0.6617958447067528
Germany,2020-04-06,0.8613154687617465,8.609666801641287e-06,7,0.8613323433985965,0.8612985941248964,0.8613212758937567,0.8613096616297362
Germany,2020-04-07,1.1136784639870392,8.609666801641287e-06,7,1.1136953386238893,1.113661589350189,1.1136842711190496,1.1136726568550288
Germany,2020-04-08,1.100873197400468,8.609666801641287e-06,7,1.100890072037318,1.100856322763618,1.1008790045324783,1.1008673902684576
Germany,2020-04-09,1.0301710134565705,8.609666801641287e-06,7,1.0301878880934205,1.0301541388197204,1.0301768205885808,1.03016520632456
Germany,2020-04-10,0.8012314260919976,8.609666801641287e-06,7,0.8012483007288477,0.8012145514551475,0.8012372332240079,0.8012256189599873
Germany,2020-04-11,0.7595108531848545,8.609666801641287e-06,7,0.7595277278217045,0.7594939785480044,0.7595166603168647,0.7595050460528442
Germany,2020-04-12,0.6161851470132365,8.609666801641287e-06,7,0.6162020216500865,0.6161682723763864,0.6161909541452467,0.6161793398812262
Germany,2020-04-13,0.5938369699533794,8.609666801641287e-06,7,0.5938538445902295,0.5938200953165294,0.5938427770853897,0.5938311628213692
Germany,2020-04-14,0.788473843237749,8.609666801641287e-06,7,0.7884907178745991,0.788456968600899,0.7884796503697593,0.7884680361057388
Germany,2020-04-15,0.9797656727951949,8.609666801641287e-06,7,0.979782547432045,0.9797487981583448,0.9797714799272051,0.9797598656631846
Germany,2020-04-16,0.9957028135256837,8.609666801641287e-06,7,0.9957196881625338,0.9956859388888336,0.9957086206576939,0.9956970063936734
Germany,2020-04-17,0.9300393470553678,8.609666801641287e-06,7,0.9300562216922179,0.9300224724185178,0.9300451541873781,0.9300335399233576
Germany,2020-04-18,0.743630440109216,8.609666801641287e-06,7,0.743647314746066,0.7436135654723659,0.7436362472412262,0.7436246329772057
Germany,2020-04-19,0.6136595444536863,8.609666801641287e-06,7,0.6136764190905364,0.6136426698168362,0.6136653515856966,0.613653737321676
Germany,2020-04-20,0.7173719986194056,8.609666801641287e-06,7,0.7173888732562557,0.7173551239825555,0.7173778057514159,0.7173661914873953
Germany,2020-04-21,0.8559584132642835,8.609666801641287e-06,7,0.8559752879011335,0.8559415386274334,0.8559642203962937,0.8559526061322732
Germany,2020-04-22,0.9261745468678142,8.609666801641287e-06,7,0.9261914215046643,0.9261576722309641,0.9261803539998245,0.9261687397358039
Germany,2020-04-23,0.8601476149655096,8.609666801641287e-06,7,0.8601644896023597,0.8601307403286595,0.8601534220975199,0.8601418078334994
Germany,2020-04-24,0.8252665289309629,8.609666801641287e-06,7,0.8252834035678129,0.8252496542941128,0.8252723360629731,0.8252607217989526
Germany,2020-04-25,0.6679036532953078,8.609666801641287e-06,7,0.6679205279321578,0.6678867786584577,0.667909460427318,0.6678978461632975
Germany,2020-04-26,0.5193656245526491,8.609666801641287e-06,7,0.5193824991894992,0.519348749915799,0.5193714316846594,0.5193598174206389
Germany,2020-04-27,0.6889112527403143,8.609666801641287e-06,7,0.6889281273771644,0.6888943781034642,0.6889170598723245,0.688905445608304
Germany,2020-04-28,0.8260065244632072,8.609666801641287e-06,7,0.8260233991000573,0.8259896498263571,0.8260123315952175,0.826000717331197
Germany,2020-04-29,0.8271650571531622,8.609666801641287e-06,7,0.8271819317900123,0.8271481825163122,0.8271708642851725,0.827159250021152
Germany,2020-04-30,0.8662589557168654,8.609666801641287e-06,7,0.8662758303537155,0.8662420810800153,0.8662647628488757,0.8662531485848551
Germany,2020-05-01,0.6737810398600386,8.609666801641287e-06,7,0.6737979144968886,0.6737641652231885,0.6737868469920488,0.6737752327280283
Germany,2020-05-02,0.5778966677148907,8.609666801641287e-06,7,0.5779135423517407,0.5778797930780406,0.5779024748469009,0.5778908605828804
Germany,2020-05-03,0.5049208811908867,8.609666801641287e-06,7,0.5049377558277368,0.5049040065540367,0.504926688322897,0.5049150740588765
Germany,2020-05-04,0.6871866297153206,8.609666801641287e-06,7,0.6872035043521707,0.6871697550784706,0.6871924368473309,0.6871808225833104
Germany,2020-05-05,0.9191193366328938,8.609666801641287e-06,7,0.9191362112697439,0.9191024619960437,0.9191251437649041,0.9191135295008835
Germany,2020-05-06,0.9782653756107658,8.609666801641287e-06,7,0.9782822502476158,0.9782485009739157,0.978271182742776,0.9782595684787555
Germany,2020-05-07,0.9818620729410171,8.609666801641287e-06,7,0.9818789475778672,0.981845198304167,0.9818678800730274,0.9818562658090069
Germany,2020-05-08,0.8617146097611319,8.609666801641287e-06,7,0.861731484397982,0.8616977351242818,0.8617204168931422,0.8617088026291216
Germany,2020-05-09,0.7069465174274719,8.609666801641287e-06,7,0.706963392064322,0.7069296427906219,0.7069523245594822,0.7069407102954617
Germany,2020-05-10,0.5230647405046464,8.609666801641287e-06,7,0.5230816151414964,0.5230478658677963,0.5230705476366566,0.5230589333726361
Germany,2020-05-11,0.7934113180158983,8.609666801641287e-06,7,0.7934281926527483,0.7933944433790482,0.7934171251479085,0.793405510883888
Germany,2020-05-12,0.9231939913944713,8.609666801641287e-06,7,0.9232108660313214,0.9231771167576213,0.9231997985264816,0.9231881842624611
Germany,2020-05-13,0.966767371328286,8.609666801641287e-06,7,0.9667842459651361,0.966750496691436,0.9667731784602963,0.9667615641962758
Germany,2020-05-14,0.8989826568544212,8.609666801641287e-06,7,0.8989995314912713,0.8989657822175712,0.8989884639864315,0.898976849722411
Germany,2020-05-15,0.855366138422212,8.609666801641287e-06,7,0.8553830130590621,0.8553492637853619,0.8553719455542222,0.8553603312902017
Germany,2020-05-16,0.6618762969329121,8.609666801641287e-06,7,0.6618931715697621,0.661859422296062,0.6618821040649223,0.6618704898009018
Germany,2020-05-17,0.5755253260358163,8.609666801641287e-06,7,0.5755422006726664,0.5755084513989662,0.5755311331678266,0.575519518903806
Germany,2020-05-18,0.8087814612617727,8.609666801641287e-06,7,0.8087983358986228,0.8087645866249227,0.808787268393783,0.8087756541297625
Germany,2020-05-19,1.0019443119000808,8.609666801641287e-06,7,1.001961186536931,1.0019274372632307,1.0019501190320912,1.0019385047680704
Germany,2020-05-20,1.1020916323769518,8.609666801641287e-06,7,1.102108507013802,1.1020747577401018,1.1020974395089622,1.1020858252449415
Germany,2020-05-21,0.696166390183675,8.609666801641287e-06,7,0.6961832648205251,0.6961495155468249,0.6961721973156852,0.6961605830516647
Germany,2020-05-22,0.8422399916734293,8.609666801641287e-06,7,0.8422568663102794,0.8422231170365793,0.8422457988054396,0.8422341845414191
