Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_50_u,ci_50_l
Germany,2020-02-23,7.044871794871795,0.0,7,7.044871794871795,7.044871794871795,7.044871794871795,7.044871794871795
Germany,2020-02-24,4.478624080252597,1.6897137054562233e-05,7,4.478657198032666,4.478590962472529,4.478635477198348,4.478612683306847
Germany,2020-02-25,2.9918401782477337,0.0,7,2.9918401782477337,2.9918401782477337,2.9918401782477337,2.9918401782477337
Germany,2020-02-26,1.7781289449846023,1.6897137054562233e-05,7,1.778162062764671,1.7780958272045335,1.7781403419303532,1.7781175480388514
Germany,2020-02-27,1.149470902454412,1.6897137054562233e-05,7,1.1495040202344808,1.1494377846743433,1.149482299400163,1.1494595055086612
Germany,2020-02-28,3.674228648308005,1.6897137054562233e-05,7,3.674261766088074,3.674195530527936,3.674240045253756,3.6742172513622537
Germany,2020-02-29,4.662474665414626,1.6897137054562233e-05,7,4.662507783194695,4.6624415476345575,4.662486062360377,4.662463268468875
Germany,2020-03-01,3.8471553685568427,1.6897137054562233e-05,7,3.8471884863369117,3.8471222507767737,3.847166765502594,3.8471439716110916
Germany,2020-03-02,3.6178465758759524,1.6897137054562233e-05,7,3.6178796936560214,3.6178134580958834,3.6178579728217035,3.6178351789302012
Germany,2020-03-03,3.8886625867109776,1.6897137054562233e-05,7,3.8886957044910466,3.8886294689309087,3.888673983656729,3.8886511897652265
Germany,2020-03-04,2.4724496444778703,1.6897137054562233e-05,7,2.4724827622579393,2.4724165266978013,2.4724610414236214,2.472438247532119
Germany,2020-03-05,1.5241370644483963,1.6897137054562233e-05,7,1.524170182228465,1.5241039466683275,1.5241484613941472,1.5241256675026453
Germany,2020-03-06,2.9672493822449706,1.6897137054562233e-05,7,2.9672825000250396,2.9672162644649016,2.9672607791907217,2.9672379852992194
Germany,2020-03-07,3.445063114533793,1.6897137054562233e-05,7,3.445096232313862,3.445029996753724,3.445074511479544,3.4450517175880417
Germany,2020-03-08,3.0287090595350605,1.6897137054562233e-05,7,3.0287421773151295,3.0286759417549916,3.0287204564808117,3.0286976625893094
Germany,2020-03-09,2.630111678348335,1.6897137054562233e-05,7,2.630144796128404,2.630078560568266,2.6301230752940863,2.630100281402584
Germany,2020-03-10,2.1402977097947646,1.6897137054562233e-05,7,2.1403308275748336,2.1402645920146957,2.1403091067405158,2.1402863128490135
Germany,2020-03-11,1.5210417041157651,1.6897137054562233e-05,7,1.5210748218958339,1.5210085863356964,1.521053101061516,1.5210303071700142
Germany,2020-03-12,0.9512252354698373,1.6897137054562233e-05,7,0.951258353249906,0.9511921176897685,0.9512366324155882,0.9512138385240864
Germany,2020-03-13,1.5830871897049932,1.6897137054562233e-05,7,1.583120307485062,1.5830540719249244,1.583098586650744,1.5830757927592423
Germany,2020-03-14,1.9294407788359091,1.6897137054562233e-05,7,1.929473896615978,1.9294076610558404,1.92945217578166,1.9294293818901582
Germany,2020-03-15,1.9793486718619946,1.6897137054562233e-05,7,1.9793817896420633,1.9793155540819258,1.9793600688077455,1.9793372749162437
Germany,2020-03-16,1.794870268303404,1.6897137054562233e-05,7,1.7949033860834727,1.7948371505233351,1.7948816652491548,1.794858871357653
Germany,2020-03-17,1.6379504858215999,1.6897137054562233e-05,7,1.6379836036016686,1.637917368041531,1.6379618827673508,1.637939088875849
Germany,2020-03-18,1.1788692073400902,1.6897137054562233e-05,7,1.178902325120159,1.1788360895600214,1.178880604285841,1.1788578103943392
