Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_50_u,ci_50_l
Germany,2020-03-04,5.3177655677655675,0.0,7,5.3177655677655675,5.3177655677655675,5.3177655677655675,5.3177655677655675
Germany,2020-03-05,3.4847314858947125,1.2069383610401595e-05,7,3.4847551414519047,3.4847078303375203,3.484739626570249,3.484723345219176
Germany,2020-03-06,2.4227429844626673,0.0,7,2.4227429844626673,2.4227429844626673,2.4227429844626673,2.4227429844626673
Germany,2020-03-07,1.555806389274716,1.2069383610401595e-05,7,1.555830044831908,1.555782733717524,1.5558145299502524,1.5557982485991797
Germany,2020-03-08,1.1067649303245801,1.2069383610401595e-05,7,1.106788585881772,1.1067412747673882,1.1067730710001165,1.1067567896490438
Germany,2020-03-09,2.9101633202200037,1.2069383610401595e-05,7,2.910186975777196,2.9101396646628115,2.91017146089554,2.9101551795444673
Germany,2020-03-10,3.616053332439019,1.2069383610401595e-05,7,3.616076987996211,3.6160296768818267,3.6160614731145553,3.6160451917634826
Germany,2020-03-11,3.0336824061120304,1.2069383610401595e-05,7,3.0337060616692226,3.0336587505548382,3.0336905467875668,3.033674265436494
Germany,2020-03-12,2.869890411339966,1.2069383610401595e-05,7,2.869914066897158,2.8698667557827737,2.8698985520155023,2.8698822706644296
Germany,2020-03-13,3.0633304190792696,1.2069383610401595e-05,7,3.063354074636462,3.0633067635220774,3.063338559754806,3.0633222784037333
Germany,2020-03-14,2.0517497460556218,1.2069383610401595e-05,7,2.051773401612814,2.0517260904984296,2.051757886731158,2.0517416053800854
Germany,2020-03-15,1.37438361746314,1.2069383610401595e-05,7,1.374407273020332,1.3743599619059481,1.3743917581386764,1.3743754767876037
Germany,2020-03-16,2.4051781301749786,1.2069383610401595e-05,7,2.405201785732171,2.4051544746177864,2.405186270850515,2.4051699894994423
Germany,2020-03-17,2.7464736532384233,1.2069383610401595e-05,7,2.7464973087956155,2.746449997681231,2.7464817939139596,2.746465512562887
Germany,2020-03-18,2.4490778996679006,1.2069383610401595e-05,7,2.4491015552250928,2.4490542441107084,2.449086040343437,2.4490697589923642
Germany,2020-03-19,2.1643654845345255,1.2069383610401595e-05,7,2.1643891400917177,2.1643418289773333,2.164373625210062,2.164357343858989
Germany,2020-03-20,1.8144983641391177,1.2069383610401595e-05,7,1.8145220196963097,1.8144747085819257,1.814506504814654,1.8144902234635814
Germany,2020-03-21,1.372172645796975,1.2069383610401595e-05,7,1.372196301354167,1.372148990239783,1.3721807864725113,1.3721645051214386
Germany,2020-03-22,0.9651608824784552,1.2069383610401595e-05,7,0.9651845380356472,0.9651372269212632,0.9651690231539917,0.9651527418029188
Germany,2020-03-23,1.4164908497892807,1.2069383610401595e-05,7,1.4165145053464727,1.4164671942320888,1.416498990464817,1.4164827091137444
Germany,2020-03-24,1.6638862705970778,1.2069383610401595e-05,7,1.6639099261542698,1.6638626150398859,1.6638944112726142,1.6638781299215415
Germany,2020-03-25,1.6995347656157103,1.2069383610401595e-05,7,1.6995584211729022,1.6995111100585183,1.6995429062912466,1.699526624940174
Germany,2020-03-26,1.567764477359574,1.2069383610401595e-05,7,1.567788132916766,1.567740821802382,1.5677726180351104,1.5677563366840377
Germany,2020-03-27,1.455678918444,1.2069383610401595e-05,7,1.455702574001192,1.455655262886808,1.4556870591195363,1.4556707777684637
Germany,2020-03-28,1.1277637195286359,1.2069383610401595e-05,7,1.1277873750858278,1.1277400639714439,1.1277718602041722,1.1277555788530995
Germany,2020-03-29,0.8172548772724472,1.2069383610401595e-05,7,0.8172785328296391,0.8172312217152552,0.8172630179479836,0.8172467365969107
Germany,2020-03-30,1.0299085741596288,1.2069383610401595e-05,7,1.0299322297168207,1.0298849186024368,1.0299167148351651,1.0299004334840924
Germany,2020-03-31,1.3671968543265278,1.2069383610401595e-05,7,1.3672205098837198,1.3671731987693359,1.3672049950020642,1.3671887136509915
Germany,2020-04-01,1.3305280727537707,1.2069383610401595e-05,7,1.3305517283109627,1.3305044171965787,1.330536213429307,1.3305199320782344
Germany,2020-04-02,1.3033069847407752,1.2069383610401595e-05,7,1.3033306402979672,1.3032833291835833,1.3033151254163116,1.3032988440652389
Germany,2020-04-03,1.203664620546761,1.2069383610401595e-05,7,1.203688276103953,1.203640964989569,1.2036727612222973,1.2036564798712246
Germany,2020-04-04,0.8923132322396559,1.2069383610401595e-05,7,0.8923368877968478,0.8922895766824639,0.8923213729151923,0.8923050915641194
Germany,2020-04-05,0.6477100543043904,1.2069383610401595e-05,7,0.6477337098615824,0.6476863987471985,0.6477181949799269,0.647701913628854
Germany,2020-04-06,0.8555369466640143,1.2069383610401595e-05,7,0.8555606022212062,0.8555132911068223,0.8555450873395507,0.8555288059884778
Germany,2020-04-07,1.1184150664665424,1.2069383610401595e-05,7,1.1184387220237344,1.1183914109093505,1.1184232071420788,1.118406925791006
Germany,2020-04-08,1.1050762472514066,1.2069383610401595e-05,7,1.1050999028085986,1.1050525916942147,1.105084387926943,1.1050681065758703
Germany,2020-04-09,1.031428138905895,1.2069383610401595e-05,7,1.031451794463087,1.031404483348703,1.0314362795814314,1.0314199982303587
Germany,2020-04-10,0.792949402310927,1.2069383610401595e-05,7,0.792973057868119,0.7929257467537351,0.7929575429864635,0.7929412616353906
Germany,2020-04-11,0.7494904719960485,1.2069383610401595e-05,7,0.7495141275532404,0.7494668164388565,0.7494986126715849,0.749482331320512
Germany,2020-04-12,0.6001928615572641,1.2069383610401595e-05,7,0.6002165171144561,0.6001692060000722,0.6002010022328006,0.6001847208817277
Germany,2020-04-13,0.5769135105208157,1.2069383610401595e-05,7,0.5769371660780077,0.5768898549636238,0.5769216511963522,0.5769053698452793
Germany,2020-04-14,0.7796602533703012,1.2069383610401595e-05,7,0.7796839089274932,0.7796365978131092,0.7796683940458377,0.7796521126947648
Germany,2020-04-15,0.9789225757049153,1.2069383610401595e-05,7,0.9789462312621072,0.9788989201477233,0.9789307163804517,0.9789144350293788
Germany,2020-04-16,0.9955237640318244,1.2069383610401595e-05,7,0.9955474195890164,0.9955001084746324,0.9955319047073609,0.995515623356288
Germany,2020-04-17,0.9271243197643625,1.2069383610401595e-05,7,0.9271479753215545,0.9271006642071705,0.9271324604398989,0.927116179088826
Germany,2020-04-18,0.7329483751534872,1.2069383610401595e-05,7,0.7329720307106792,0.7329247195962952,0.7329565158290237,0.7329402344779508
Germany,2020-04-19,0.5975620256370541,1.2069383610401595e-05,7,0.597585681194246,0.5975383700798621,0.5975701663125905,0.5975538849615176
Germany,2020-04-20,0.7055958319197583,1.2069383610401595e-05,7,0.7056194874769502,0.7055721763625663,0.7056039725952947,0.7055876912442218
Germany,2020-04-21,0.8499566804355103,1.2069383610401595e-05,7,0.8499803359927023,0.8499330248783183,0.8499648211110468,0.8499485397599739
Germany,2020-04-22,0.9230984862247535,1.2069383610401595e-05,7,0.9231221417819455,0.9230748306675616,0.92310662690029,0.9230903455492171
Germany,2020-04-23,0.8543204322776596,1.2069383610401595e-05,7,0.8543440878348516,0.8542967767204677,0.8543285729531961,0.8543122916021232
Germany,2020-04-24,0.8179859675502184,1.2069383610401595e-05,7,0.8180096231074103,0.8179623119930264,0.8179941082257548,0.8179778268746819
Germany,2020-04-25,0.6540663055221567,1.2069383610401595e-05,7,0.6540899610793487,0.6540426499649648,0.6540744461976932,0.6540581648466203
Germany,2020-04-26,0.4993391924662067,1.2069383610401595e-05,7,0.4993628480233987,0.49931553690901476,0.4993473331417431,0.49933105179067033
Germany,2020-04-27,0.6759492215816558,1.2069383610401595e-05,7,0.6759728771388478,0.6759255660244639,0.6759573622571923,0.6759410809061194
Germany,2020-04-28,0.8187567962201705,1.2069383610401595e-05,7,0.8187804517773625,0.8187331406629785,0.818764936895707,0.818748655544634
Germany,2020-04-29,0.8199636012279092,1.2069383610401595e-05,7,0.8199872567851012,0.8199399456707173,0.8199717419034457,0.8199554605523728
Germany,2020-04-30,0.8606864120420907,1.2069383610401595e-05,7,0.8607100675992827,0.8606627564848988,0.8606945527176272,0.8606782713665543
Germany,2020-05-01,0.6601885832555219,1.2069383610401595e-05,7,0.6602122388127138,0.6601649276983299,0.6601967239310583,0.6601804425799854
Germany,2020-05-02,0.5603090288858008,1.2069383610401595e-05,7,0.5603326844429928,0.5602853733286088,0.5603171695613373,0.5603008882102644
Germany,2020-05-03,0.48429258475347714,1.2069383610401595e-05,7,0.4843162403106691,0.48426892919628517,0.48430072542901353,0.48428444407794075
Germany,2020-05-04,0.6741527393217475,1.2069383610401595e-05,7,0.6741763948789394,0.6741290837645555,0.6741608799972839,0.674144598646211
Germany,2020-05-05,0.9157493088709924,1.2069383610401595e-05,7,0.9157729644281843,0.9157256533138004,0.9157574495465288,0.9157411681954559
Germany,2020-05-06,0.9773597662221194,1.2069383610401595e-05,7,0.9773834217793114,0.9773361106649274,0.9773679068976558,0.977351625546583
Germany,2020-05-07,0.9811063258931365,1.2069383610401595e-05,7,0.9811299814503285,0.9810826703359445,0.981114466568673,0.9810981852176001
Germany,2020-05-08,0.8559527184768139,1.2069383610401595e-05,7,0.8559763740340058,0.8559290629196219,0.8559608591523503,0.8559445778012774
Germany,2020-05-09,0.694735955633127,1.2069383610401595e-05,7,0.6947596111903189,0.694712300075935,0.6947440963086634,0.6947278149575905
