Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_65_u,ci_65_l
Germany,2020-02-20,5.291400375939851,0.0,7,5.291400375939851,5.291400375939851,5.291400375939851,5.291400375939851
Germany,2020-02-21,3.9491069236110006,2.411493855946685e-06,7,3.949111650052107,3.949102197169894,3.9491091773673337,3.9491046698546675
Germany,2020-02-22,2.8263268299109843,0.0,7,2.8263268299109843,2.8263268299109843,2.8263268299109843,2.8263268299109843
Germany,2020-02-23,3.035687269911996,2.411493855946685e-06,7,3.0356919963531026,3.0356825434708896,3.0356895236683292,3.035685016155663
Germany,2020-02-24,2.7839700177372784,2.411493855946685e-06,7,2.783974744178385,2.783965291296172,2.7839722714936115,2.7839677639809453
Germany,2020-02-25,2.7450904702683223,2.411493855946685e-06,7,2.745095196709429,2.745085743827216,2.7450927240246554,2.745088216511989
Germany,2020-02-26,2.9943183538406304,2.411493855946685e-06,7,2.994323080281737,2.994313627399524,2.9943206075969635,2.9943161000842973
Germany,2020-02-27,2.711351097716614,2.411493855946685e-06,7,2.7113558241577205,2.7113463712755075,2.711353351472947,2.711348843960281
Germany,2020-02-28,2.5261028656817146,2.411493855946685e-06,7,2.526107592122821,2.526098139240608,2.5261051194380477,2.5261006119253815
Germany,2020-02-29,2.1739993401591207,2.411493855946685e-06,7,2.174004066600227,2.173994613718014,2.174001593915454,2.1739970864027875
Germany,2020-03-01,2.114753801226325,2.411493855946685e-06,7,2.1147585276674317,2.1147490747852187,2.1147560549826583,2.114751547469992
Germany,2020-03-02,1.7978433735355188,2.411493855946685e-06,7,1.7978480999766253,1.7978386470944123,1.7978456272918522,1.7978411197791855
Germany,2020-03-03,1.654042235481028,2.411493855946685e-06,7,1.6540469619221345,1.6540375090399215,1.6540444892373614,1.6540399817246947
Germany,2020-03-04,1.824923682446379,2.411493855946685e-06,7,1.8249284088874855,1.8249189560052725,1.8249259362027124,1.8249214286900457
Germany,2020-03-05,1.4362513290017596,2.411493855946685e-06,7,1.436256055442866,1.436246602560653,1.436253582758093,1.4362490752454262
Germany,2020-03-06,1.3524315477601423,2.411493855946685e-06,7,1.3524362742012488,1.3524268213190358,1.3524338015164756,1.352429294003809
Germany,2020-03-07,1.1796083717629529,2.411493855946685e-06,7,1.1796130982040594,1.1796036453218464,1.1796106255192862,1.1796061180066195
Germany,2020-03-08,1.2530677992294676,2.411493855946685e-06,7,1.2530725256705741,1.2530630727883612,1.253070052985801,1.2530655454731343
Germany,2020-03-09,1.0598142736913674,2.411493855946685e-06,7,1.0598190001324739,1.0598095472502609,1.0598165274477007,1.059812019935034
Germany,2020-03-10,0.9491929770360167,2.411493855946685e-06,7,0.9491977034771233,0.9491882505949101,0.9491952307923499,0.9491907232796835
Germany,2020-03-11,1.1760102252451605,2.411493855946685e-06,7,1.176014951686267,1.176005498804054,1.1760124790014939,1.1760079714888272
Germany,2020-03-12,0.974193898420191,2.411493855946685e-06,7,0.9741986248612976,0.9741891719790844,0.9741961521765242,0.9741916446638578
Germany,2020-03-13,1.0322289055607794,2.411493855946685e-06,7,1.032233632001886,1.032224179119673,1.0322311593171127,1.032226651804446
Germany,2020-03-14,0.9609985686356947,2.411493855946685e-06,7,0.9610032950768013,0.960993842194588,0.9610008223920279,0.9609963148793614
Germany,2020-03-15,0.9860696540292501,2.411493855946685e-06,7,0.9860743804703567,0.9860649275881435,0.9860719077855833,0.9860674002729168
Germany,2020-03-16,0.9505880243549828,2.411493855946685e-06,7,0.9505927507960894,0.9505832979138762,0.950590278111316,0.9505857705986496
Germany,2020-03-17,0.8558213257798635,2.411493855946685e-06,7,0.8558260522209701,0.8558165993387569,0.8558235795361967,0.8558190720235302
Germany,2020-03-18,1.0614920347348193,2.411493855946685e-06,7,1.0614967611759258,1.0614873082937129,1.0614942884911527,1.061489780978486
Germany,2020-03-19,0.9170168981728566,2.411493855946685e-06,7,0.9170216246139632,0.91701217173175,0.9170191519291898,0.9170146444165234
Germany,2020-03-20,1.005697341811834,2.411493855946685e-06,7,1.0057020682529405,1.0056926153707275,1.0056995955681673,1.0056950880555007
Germany,2020-03-21,0.951978333774562,2.411493855946685e-06,7,0.9519830602156686,0.9519736073334554,0.9519805875308952,0.9519760800182288
Germany,2020-03-22,0.9594284519857745,2.411493855946685e-06,7,0.9594331784268811,0.9594237255446679,0.9594307057421078,0.9594261982294413
Germany,2020-03-23,0.8414048230094503,2.411493855946685e-06,7,0.8414095494505569,0.8414000965683437,0.8414070767657835,0.8414025692531171
Germany,2020-03-24,0.805286328986264,2.411493855946685e-06,7,0.8052910554273706,0.8052816025451573,0.8052885827425972,0.8052840752299307
Germany,2020-03-25,0.9441406097983592,2.411493855946685e-06,7,0.9441453362394658,0.9441358833572526,0.9441428635546925,0.944138356042026
Germany,2020-03-26,0.8978593288558039,2.411493855946685e-06,7,0.8978640552969105,0.8978546024146973,0.8978615826121371,0.8978570750994707
Germany,2020-03-27,0.8758261715327481,2.411493855946685e-06,7,0.8758308979738547,0.8758214450916415,0.8758284252890813,0.8758239177764149
Germany,2020-03-28,0.8570132767420895,2.411493855946685e-06,7,0.8570180031831961,0.8570085503009829,0.8570155304984227,0.8570110229857563
Germany,2020-03-29,0.7980985818748629,2.411493855946685e-06,7,0.7981033083159695,0.7980938554337563,0.7981008356311962,0.7980963281185297
Germany,2020-03-30,0.7537882327060589,2.411493855946685e-06,7,0.7537929591471655,0.7537835062649523,0.7537904864623921,0.7537859789497257
Germany,2020-03-31,0.7630496370724204,2.411493855946685e-06,7,0.763054363513527,0.7630449106313137,0.7630518908287536,0.7630473833160871
Germany,2020-04-01,0.7708808873332925,2.411493855946685e-06,7,0.7708856137743991,0.7708761608921859,0.7708831410896257,0.7708786335769593
Germany,2020-04-02,0.8095645861518814,2.411493855946685e-06,7,0.809569312592988,0.8095598597107748,0.8095668399082147,0.8095623323955482
Germany,2020-04-03,0.8267947602169395,2.411493855946685e-06,7,0.8267994866580461,0.8267900337758329,0.8267970139732728,0.8267925064606063
Germany,2020-04-04,0.7954624595200568,2.411493855946685e-06,7,0.7954671859611634,0.7954577330789502,0.79546471327639,0.7954602057637236
Germany,2020-04-05,0.7863189700595504,2.411493855946685e-06,7,0.786323696500657,0.7863142436184438,0.7863212238158837,0.7863167163032172
Germany,2020-04-06,0.7470823232329602,2.411493855946685e-06,7,0.7470870496740668,0.7470775967918536,0.7470845769892934,0.747080069476627
Germany,2020-04-07,0.7329187422504357,2.411493855946685e-06,7,0.7329234686915423,0.7329140158093291,0.732920996006769,0.7329164884941025
Germany,2020-04-08,0.8449858390735707,2.411493855946685e-06,7,0.8449905655146773,0.8449811126324641,0.844988092829904,0.8449835853172375
Germany,2020-04-09,0.785439118975636,2.411493855946685e-06,7,0.7854438454167426,0.7854343925345294,0.7854413727319692,0.7854368652193028
Germany,2020-04-10,0.7870806704256524,2.411493855946685e-06,7,0.787085396866759,0.7870759439845458,0.7870829241819857,0.7870784166693192
Germany,2020-04-11,0.7995517946705789,2.411493855946685e-06,7,0.7995565211116855,0.7995470682294723,0.7995540484269121,0.7995495409142457
Germany,2020-04-12,0.7731993887593162,2.411493855946685e-06,7,0.7732041152004228,0.7731946623182095,0.7732016425156494,0.7731971350029829
Germany,2020-04-13,0.7390790490500357,2.411493855946685e-06,7,0.7390837754911423,0.7390743226089291,0.739081302806369,0.7390767952937025
Germany,2020-04-14,0.7187515707760509,2.411493855946685e-06,7,0.7187562972171575,0.7187468443349443,0.7187538245323841,0.7187493170197177
Germany,2020-04-15,0.8335671396428859,2.411493855946685e-06,7,0.8335718660839925,0.8335624132017793,0.8335693933992191,0.8335648858865526
Germany,2020-04-16,0.7769075325770485,2.411493855946685e-06,7,0.7769122590181551,0.7769028061359419,0.7769097863333817,0.7769052788207153
Germany,2020-04-17,0.7612749566592576,2.411493855946685e-06,7,0.7612796831003642,0.761270230218151,0.7612772104155908,0.7612727029029244
Germany,2020-04-18,0.8212767585829117,2.411493855946685e-06,7,0.8212814850240183,0.8212720321418051,0.8212790123392449,0.8212745048265785
Germany,2020-04-19,0.7750887762181881,2.411493855946685e-06,7,0.7750935026592947,0.7750840497770815,0.7750910299745213,0.7750865224618548
Germany,2020-04-20,0.7544272498822042,2.411493855946685e-06,7,0.7544319763233108,0.7544225234410976,0.7544295036385374,0.754424996125871
Germany,2020-04-21,0.7863941256243129,2.411493855946685e-06,7,0.7863988520654195,0.7863893991832063,0.7863963793806461,0.7863918718679797
Germany,2020-04-22,0.8939519071031753,2.411493855946685e-06,7,0.8939566335442819,0.8939471806620687,0.8939541608595085,0.8939496533468421
Germany,2020-04-23,0.8582590512243133,2.411493855946685e-06,7,0.85826377766542,0.8582543247832067,0.8582613049806466,0.8582567974679801
Germany,2020-04-24,0.8271504564919574,2.411493855946685e-06,7,0.827155182933064,0.8271457300508508,0.8271527102482906,0.8271482027356242
Germany,2020-04-25,0.8190534779188897,2.411493855946685e-06,7,0.8190582043599963,0.8190487514777831,0.8190557316752229,0.8190512241625565
Germany,2020-04-26,0.8198797864232515,2.411493855946685e-06,7,0.8198845128643582,0.8198750599821449,0.8198820401795848,0.8198775326669183
Germany,2020-04-27,0.7649700251071684,2.411493855946685e-06,7,0.764974751548275,0.7649652986660618,0.7649722788635016,0.7649677713508352
Germany,2020-04-28,0.768933041266742,2.411493855946685e-06,7,0.7689377677078486,0.7689283148256354,0.7689352950230752,0.7689307875104088
Germany,2020-04-29,0.8833285696595068,2.411493855946685e-06,7,0.8833332961006134,0.8833238432184002,0.88333082341584,0.8833263159031736
Germany,2020-04-30,0.8590124935049877,2.411493855946685e-06,7,0.8590172199460943,0.859007767063881,0.8590147472613209,0.8590102397486544
Germany,2020-05-01,0.8472375823581236,2.411493855946685e-06,7,0.8472423087992302,0.847232855917017,0.8472398361144569,0.8472353286017904
Germany,2020-05-02,0.8091415309053295,2.411493855946685e-06,7,0.8091462573464361,0.8091368044642229,0.8091437846616627,0.8091392771489962
Germany,2020-05-03,0.9717869425210768,2.411493855946685e-06,7,0.9717916689621834,0.9717822160799702,0.97178919627741,0.9717846887647436
Germany,2020-05-04,0.8630492313866596,2.411493855946685e-06,7,0.8630539578277662,0.863044504945553,0.8630514851429928,0.8630469776303263
Germany,2020-05-05,0.7630882754069337,2.411493855946685e-06,7,0.7630930018480403,0.7630835489658271,0.7630905291632669,0.7630860216506005
Germany,2020-05-06,0.9652523654576244,2.411493855946685e-06,7,0.965257091898731,0.9652476390165178,0.9652546192139576,0.9652501117012912
Germany,2020-05-07,0.8145927970527562,2.411493855946685e-06,7,0.8145975234938628,0.8145880706116496,0.8145950508090894,0.814590543296423
