Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_50_u,ci_50_l
Germany,2020-02-21,4.108791208791208,0.0,7,4.108791208791208,4.108791208791208,4.108791208791208,4.108791208791208
Germany,2020-02-22,2.789006669844193,8.689956199489147e-06,7,2.7890237018453714,2.788989637843015,2.789012531130579,2.789000808557807
Germany,2020-02-23,2.0243749488131204,0.0,7,2.0243749488131204,2.0243749488131204,2.0243749488131204,2.0243749488131204
Germany,2020-02-24,1.4001806002777955,8.689956199489147e-06,7,1.4001976322789738,1.4001635682766171,1.4001864615641817,1.4001747389914092
Germany,2020-02-25,1.0768707498336976,8.689956199489147e-06,7,1.0768877818348759,1.0768537178325193,1.0768766111200838,1.0768648885473113
Germany,2020-02-26,2.3753175905584025,8.689956199489147e-06,7,2.375334622559581,2.375300558557224,2.3753234518447885,2.3753117292720165
Germany,2020-02-27,2.8835583993560934,8.689956199489147e-06,7,2.8835754313572717,2.883541367354915,2.8835642606424794,2.8835525380697073
Germany,2020-02-28,2.4642513324006616,8.689956199489147e-06,7,2.46426836440184,2.4642343003994833,2.4642571936870477,2.4642454711142756
Germany,2020-02-29,2.3463210961647754,8.689956199489147e-06,7,2.3463381281659537,2.346304064163597,2.3463269574511614,2.3463152348783893
Germany,2020-03-01,2.485597901737074,8.689956199489147e-06,7,2.4856149337382525,2.485580869735896,2.48560376302346,2.485592040450688
Germany,2020-03-02,1.7572598171600475,8.689956199489147e-06,7,1.7572768491612258,1.7572427851588692,1.7572656784464338,1.7572539558736613
Germany,2020-03-03,1.269556204573461,8.689956199489147e-06,7,1.2695732365746393,1.2695391725722827,1.2695620658598472,1.2695503432870747
Germany,2020-03-04,2.011728253725985,8.689956199489147e-06,7,2.011745285727163,2.0117112217248065,2.011734115012371,2.011722392439599
Germany,2020-03-05,2.2574610303316645,8.689956199489147e-06,7,2.2574780623328428,2.257443998330486,2.2574668916180505,2.2574551690452784
Germany,2020-03-06,2.0433360877608884,8.689956199489147e-06,7,2.0433531197620667,2.04331905575971,2.0433419490472744,2.0433302264745024
Germany,2020-03-07,1.838343148864858,8.689956199489147e-06,7,1.8383601808660364,1.8383261168636797,1.8383490101512443,1.8383372875784718
Germany,2020-03-08,1.5864388221801646,8.689956199489147e-06,7,1.586455854181343,1.5864217901789863,1.5864446834665509,1.5864329608937784
Germany,2020-03-09,1.2679643049738218,8.689956199489147e-06,7,1.2679813369750002,1.2679472729726435,1.267970166260208,1.2679584436874356
Germany,2020-03-10,0.9749158353844878,8.689956199489147e-06,7,0.974932867385666,0.9748988033833096,0.974921696670874,0.9749099740981015
Germany,2020-03-11,1.2998734118482822,8.689956199489147e-06,7,1.2998904438494605,1.299856379847104,1.2998792731346684,1.299867550561896
Germany,2020-03-12,1.477998114829896,8.689956199489147e-06,7,1.4780151468310743,1.4779810828287177,1.4780039761162822,1.4779922535435097
Germany,2020-03-13,1.5036650312433113,8.689956199489147e-06,7,1.5036820632444896,1.503647999242133,1.5036708925296975,1.503659169956925
Germany,2020-03-14,1.4087904236988933,8.689956199489147e-06,7,1.4088074557000716,1.408773391697715,1.4087962849852795,1.408784562412507
Germany,2020-03-15,1.32808882127968,8.689956199489147e-06,7,1.3281058532808583,1.3280717892785017,1.3280946825660662,1.3280829599932937
Germany,2020-03-16,1.0919898780606179,8.689956199489147e-06,7,1.0920069100617962,1.0919728460594396,1.0919957393470041,1.0919840167742316
Germany,2020-03-17,0.868423511636162,8.689956199489147e-06,7,0.8684405436373402,0.8684064796349839,0.8684293729225483,0.8684176503497758
Germany,2020-03-18,1.0215341733949328,8.689956199489147e-06,7,1.021551205396111,1.0215171413937545,1.021540034681319,1.0215283121085466
Germany,2020-03-19,1.2643817351151,8.689956199489147e-06,7,1.2643987671162784,1.2643647031139218,1.2643875964014863,1.2643758738287139
Germany,2020-03-20,1.2379802123827148,8.689956199489147e-06,7,1.2379972443838931,1.2379631803815365,1.237986073669101,1.2379743510963286
Germany,2020-03-21,1.218381029013358,8.689956199489147e-06,7,1.2183980610145364,1.2183639970121798,1.2183868902997443,1.2183751677269719
Germany,2020-03-22,1.146638526793668,8.689956199489147e-06,7,1.1466555587948464,1.1466214947924898,1.1466443880800543,1.1466326655072818
Germany,2020-03-23,0.9224655272125523,8.689956199489147e-06,7,0.9224825592137305,0.9224484952113741,0.9224713884989385,0.922459665926166
Germany,2020-03-24,0.7463512390991611,8.689956199489147e-06,7,0.7463682711003393,0.7463342070979829,0.7463571003855474,0.7463453778127749
Germany,2020-03-25,0.8959866015980903,8.689956199489147e-06,7,0.8960036335992685,0.8959695695969121,0.8959924628844765,0.895980740311704
Germany,2020-03-26,1.0852588478559106,8.689956199489147e-06,7,1.085275879857089,1.0852418158547323,1.085264709142297,1.0852529865695244
Germany,2020-03-27,1.0756548980210128,8.689956199489147e-06,7,1.075671930022191,1.0756378660198345,1.075660759307399,1.0756490367346265
Germany,2020-03-28,1.0226282600122445,8.689956199489147e-06,7,1.0226452920134228,1.0226112280110662,1.0226341212986307,1.0226223987258583
Germany,2020-03-29,0.8509235696638675,8.689956199489147e-06,7,0.8509406016650457,0.8509065376626893,0.8509294309502538,0.8509177083774813
Germany,2020-03-30,0.8196331398371548,8.689956199489147e-06,7,0.819650171838333,0.8196161078359766,0.819639001123541,0.8196272785507686
Germany,2020-03-31,0.7121388603212302,8.689956199489147e-06,7,0.7121558923224084,0.712121828320052,0.7121447216076164,0.712132999034844
Germany,2020-04-01,0.6953777275749873,8.689956199489147e-06,7,0.6953947595761655,0.6953606955738091,0.6953835888613735,0.695371866288601
Germany,2020-04-02,0.8413553824266169,8.689956199489147e-06,7,0.8413724144277951,0.8413383504254387,0.8413612437130031,0.8413495211402306
Germany,2020-04-03,0.984824254507539,8.689956199489147e-06,7,0.9848412865087172,0.9848072225063608,0.9848301157939252,0.9848183932211527
Germany,2020-04-04,0.9967771101029136,8.689956199489147e-06,7,0.9967941421040918,0.9967600781017354,0.9967829713892998,0.9967712488165273
Germany,2020-04-05,0.9475295102303409,8.689956199489147e-06,7,0.9475465422315191,0.9475124782291627,0.9475353715167272,0.9475236489439547
Germany,2020-04-06,0.8077228301105108,8.689956199489147e-06,7,0.807739862111689,0.8077057981093326,0.8077286913968971,0.8077169688241246
Germany,2020-04-07,0.710244658458679,8.689956199489147e-06,7,0.7102616904598572,0.7102276264575008,0.7102505197450653,0.7102387971722928
