Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_50_u,ci_50_l
Germany,2020-03-04,4.108791208791208,0.0,7,4.108791208791208,4.108791208791208,4.108791208791208,4.108791208791208
Germany,2020-03-05,2.7890066694691105,6.457250101230965e-06,7,2.789019325446748,2.788994013491473,2.789011024818118,2.789002314120103
Germany,2020-03-06,2.02437494923485,0.0,7,2.02437494923485,2.02437494923485,2.02437494923485,2.02437494923485
Germany,2020-03-07,1.4001806000745065,6.457250101230965e-06,7,1.4001932560521442,1.4001679440968688,1.4001849554235142,1.4001762447254988
Germany,2020-03-08,1.076870748737977,6.457250101230965e-06,7,1.0768834047156146,1.0768580927603393,1.0768751040869846,1.0768663933889693
Germany,2020-03-09,2.375317591092296,6.457250101230965e-06,7,2.3753302470699333,2.3753049351146585,2.3753219464413036,2.3753132357432882
Germany,2020-03-10,2.88355839998278,6.457250101230965e-06,7,2.8835710559604175,2.8835457440051426,2.8835627553317877,2.8835540446337724
Germany,2020-03-11,2.46425133219704,6.457250101230965e-06,7,2.4642639881746775,2.4642386762194026,2.4642556875460477,2.4642469768480324
Germany,2020-03-12,2.3463210959909966,6.457250101230965e-06,7,2.346333751968634,2.346308440013359,2.3463254513400043,2.346316740641989
Germany,2020-03-13,2.485597902323268,6.457250101230965e-06,7,2.4856105583009054,2.4855852463456305,2.4856022576722756,2.4855935469742603
Germany,2020-03-14,1.7572598169974656,6.457250101230965e-06,7,1.7572724729751033,1.757247161019828,1.7572641723464733,1.757255461648458
Germany,2020-03-15,1.26955620374251,6.457250101230965e-06,7,1.2695688597201478,1.2695435477648724,1.2695605590915178,1.2695518483935024
Germany,2020-03-16,2.0117282540613983,6.457250101230965e-06,7,2.0117409100390358,2.011715598083761,2.011732609410406,2.0117238987123907
Germany,2020-03-17,2.257461030642362,6.457250101230965e-06,7,2.2574736866199996,2.2574483746647247,2.25746538599137,2.2574566752933545
Germany,2020-03-18,2.043336087754719,6.457250101230965e-06,7,2.0433487437323565,2.0433234317770816,2.0433404431037268,2.0433317324057114
Germany,2020-03-19,1.838343148896553,6.457250101230965e-06,7,1.8383558048741906,1.8383304929189153,1.8383475042455606,1.8383387935475453
Germany,2020-03-20,1.586438822225142,6.457250101230965e-06,7,1.5864514782027797,1.5864261662475043,1.5864431775741497,1.5864344668761343
Germany,2020-03-21,1.2679643049566431,6.457250101230965e-06,7,1.2679769609342808,1.2679516489790055,1.2679686603056508,1.2679599496076355
Germany,2020-03-22,0.9749158349669389,6.457250101230965e-06,7,0.9749284909445765,0.9749031789893013,0.9749201903159467,0.9749114796179311
Germany,2020-03-23,1.2998734119474884,6.457250101230965e-06,7,1.299886067925126,1.2998607559698507,1.299877767296496,1.2998690565984807
Germany,2020-03-24,1.4779981149329025,6.457250101230965e-06,7,1.4780107709105401,1.4779854589552648,1.4780024702819101,1.4779937595838948
Germany,2020-03-25,1.5036650313247542,6.457250101230965e-06,7,1.5036776873023918,1.5036523753471165,1.5036693866737618,1.5036606759757465
Germany,2020-03-26,1.4087904236893176,6.457250101230965e-06,7,1.4088030796669553,1.40877776771168,1.4087947790383253,1.40878606834031
Germany,2020-03-27,1.3280888213846724,6.457250101230965e-06,7,1.32810147736231,1.3280761654070348,1.32809317673368,1.3280844660356648
Germany,2020-03-28,1.0919898780521504,6.457250101230965e-06,7,1.092002534029788,1.0919772220745128,1.091994233401158,1.0919855227031428
Germany,2020-03-29,0.8684235113816643,6.457250101230965e-06,7,0.8684361673593018,0.8684108554040267,0.8684278667306721,0.8684191560326565
Germany,2020-03-30,1.0215341733343033,6.457250101230965e-06,7,1.021546829311941,1.0215215173566656,1.021538528683311,1.0215298179852956
Germany,2020-03-31,1.264381735297015,6.457250101230965e-06,7,1.2643943912746527,1.2643690793193774,1.2643860906460227,1.2643773799480074
