Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_50_u,ci_50_l
Germany,2020-03-03,7.391447368421054,0.0,7,7.391447368421054,7.391447368421054,7.391447368421054,7.391447368421054
Germany,2020-03-04,5.392286907673826,5.682025333477204e-06,7,5.3922980442388395,5.392275771108813,5.392290740141674,5.392283075205978
Germany,2020-03-05,3.720061236197943,0.0,7,3.720061236197943,3.720061236197943,3.720061236197943,3.720061236197943
Germany,2020-03-06,4.031874656962693,5.682025333477204e-06,7,4.031885793527707,4.03186352039768,4.031878489430541,4.031870824494845
Germany,2020-03-07,3.6569766223248727,5.682025333477204e-06,7,3.6569877588898856,3.65696548575986,3.6569804547927207,3.656972789857025
Germany,2020-03-08,3.5990709133861896,5.682025333477204e-06,7,3.5990820499512024,3.5990597768211767,3.5990747458540375,3.5990670809183416
Germany,2020-03-09,3.970261377653013,5.682025333477204e-06,7,3.970272514218026,3.9702502410880003,3.970265210120861,3.970257545185165
Germany,2020-03-10,3.5488207839080776,5.682025333477204e-06,7,3.5488319204730905,3.548809647343065,3.5488246163759256,3.5488169514402297
Germany,2020-03-11,3.272919161525857,5.682025333477204e-06,7,3.27293029809087,3.272908024960844,3.272922993993705,3.272915329058009
Germany,2020-03-12,2.748509655780377,5.682025333477204e-06,7,2.74852079234539,2.748498519215364,2.748513488248225,2.748505823312529
Germany,2020-03-13,2.660271618650425,5.682025333477204e-06,7,2.6602827552154378,2.660260482085412,2.660275451118273,2.660267786182577
Germany,2020-03-14,2.1882773649726834,5.682025333477204e-06,7,2.1882885015376963,2.1882662284076706,2.1882811974405314,2.1882735325048355
Germany,2020-03-15,1.974105457340354,5.682025333477204e-06,7,1.9741165939053669,1.9740943207753412,1.9741092898082018,1.9741016248725063
Germany,2020-03-16,2.2286097393853077,5.682025333477204e-06,7,2.2286208759503205,2.228598602820295,2.2286135718531557,2.2286059069174597
Germany,2020-03-17,1.6497360221509387,5.682025333477204e-06,7,1.6497471587159516,1.649724885585926,1.6497398546187865,1.649732189683091
Germany,2020-03-18,1.5248980497873814,5.682025333477204e-06,7,1.5249091863523943,1.5248869132223686,1.5249018822552292,1.5248942173195337
Germany,2020-03-19,1.267501830473826,5.682025333477204e-06,7,1.2675129670388388,1.267490693908813,1.2675056629416737,1.2674979980059782
Germany,2020-03-20,1.3769094880098793,5.682025333477204e-06,7,1.3769206245748922,1.3768983514448665,1.376913320477727,1.3769056555420316
Germany,2020-03-21,1.0890850885397754,5.682025333477204e-06,7,1.0890962251047882,1.0890739519747625,1.0890889210076231,1.0890812560719276
Germany,2020-03-22,0.9243299660566986,5.682025333477204e-06,7,0.9243411026217114,0.9243188294916858,0.9243337985245463,0.9243261335888509
Germany,2020-03-23,1.2621428883348018,5.682025333477204e-06,7,1.2621540248998147,1.262131751769789,1.2621467208026496,1.262139055866954
Germany,2020-03-24,0.9615653808247838,5.682025333477204e-06,7,0.9615765173897967,0.961554244259771,0.9615692132926316,0.9615615483569361
Germany,2020-03-25,1.0480004975447357,5.682025333477204e-06,7,1.0480116341097485,1.0479893609797228,1.0480043300125834,1.047996665076888
Germany,2020-03-26,0.9419127618715813,5.682025333477204e-06,7,0.9419238984365942,0.9419016253065685,0.9419165943394291,0.9419089294037336
Germany,2020-03-27,0.9792526761674122,5.682025333477204e-06,7,0.979263812732425,0.9792415396023993,0.9792565086352599,0.9792488436995644
Germany,2020-03-28,0.9264076958024524,5.682025333477204e-06,7,0.9264188323674653,0.9263965592374396,0.9264115282703002,0.9264038633346047
Germany,2020-03-29,0.785265804583032,5.682025333477204e-06,7,0.7852769411480448,0.7852546680180191,0.7852696370508797,0.7852619721151842
Germany,2020-03-30,1.0915838812518381,5.682025333477204e-06,7,1.091595017816851,1.0915727446868253,1.0915877137196859,1.0915800487839904
Germany,2020-03-31,0.876408146393419,5.682025333477204e-06,7,0.8764192829584319,0.8763970098284062,0.8764119788612668,0.8764043139255713
Germany,2020-04-01,1.008485402589441,5.682025333477204e-06,7,1.0084965391544538,1.0084742660244281,1.0084892350572887,1.0084815701215932
Germany,2020-04-02,0.9284783694983126,5.682025333477204e-06,7,0.9284895060633255,0.9284672329332998,0.9284822019661604,0.9284745370304649
Germany,2020-04-03,0.9395742900955051,5.682025333477204e-06,7,0.9395854266605179,0.9395631535304922,0.9395781225633528,0.9395704576276573
Germany,2020-04-04,0.7637944173108322,5.682025333477204e-06,7,0.763805553875845,0.7637832807458194,0.7637982497786799,0.7637905848429845
Germany,2020-04-05,0.7100009156454331,5.682025333477204e-06,7,0.7100120522104459,0.7099897790804203,0.7100047481132808,0.7099970831775854
Germany,2020-04-06,0.9168051633877138,5.682025333477204e-06,7,0.9168162999527266,0.916794026822701,0.9168089958555615,0.916801330919866
Germany,2020-04-07,0.8478755961867858,5.682025333477204e-06,7,0.8478867327517986,0.8478644596217729,0.8478794286546335,0.847871763718938
