Country/Region,Date,R,se_R,days_infectious,ci_95_u,ci_95_l,ci_50_u,ci_50_l
Germany,2020-03-11,3.051461318964379,0.0,4,3.051461318964379,3.051461318964379,3.051461318964379,3.051461318964379
Germany,2020-03-12,2.9015928549642593,2.4982504638440592e-05,4,2.9016418197735945,2.901543890154924,2.901609705407572,2.9015760045209467
Germany,2020-03-13,2.9668787123837546,4.965039470317129e-10,4,2.9668787133568846,2.9668787114106245,2.9668787127186413,2.9668787120488678
Germany,2020-03-14,2.6739882606814884,2.4982504638440592e-05,4,2.6740372254908236,2.6739392958721533,2.674005111124801,2.6739714102381757
Germany,2020-03-15,2.286107546023362,2.4982504638440592e-05,4,2.286156510832697,2.286058581214027,2.2861243964666746,2.2860906955800493
Germany,2020-03-16,2.3040940979805304,2.4982504638440592e-05,4,2.3041430627898656,2.3040451331711953,2.304110948423843,2.3040772475372178
Germany,2020-03-17,2.3865354970556605,2.4982504638440592e-05,4,2.3865844618649956,2.3864865322463253,2.386552347498973,2.386518646612348
Germany,2020-03-18,2.3731810337055803,2.4982504638440592e-05,4,2.3732299985149155,2.373132068896245,2.373197884148893,2.3731641832622676
Germany,2020-03-19,2.27603362238098,2.4982504638440592e-05,4,2.276082587190315,2.275984657571645,2.2760504728242927,2.2760167719376674
Germany,2020-03-20,2.0794536513960296,2.4982504638440592e-05,4,2.0795026162053647,2.0794046865866944,2.0794705018393422,2.079436800952717
Germany,2020-03-21,1.870803618633957,2.4982504638440592e-05,4,1.8708525834432919,1.870754653824622,1.8708204690772698,1.870786768190644
Germany,2020-03-22,1.6652102849194552,2.4982504638440592e-05,4,1.6652592497287901,1.6651613201101203,1.6652271353627681,1.6651934344761423
Germany,2020-03-23,1.5668316164191656,2.4982504638440592e-05,4,1.5668805812285005,1.5667826516098307,1.5668484668624785,1.5668147659758527
Germany,2020-03-24,1.508698712672296,2.4982504638440592e-05,4,1.5087476774816309,1.508649747862961,1.5087155631156088,1.508681862228983
Germany,2020-03-25,1.475582750524575,2.4982504638440592e-05,4,1.47563171533391,1.4755337857152402,1.475599600967888,1.4755659000812622
Germany,2020-03-26,1.4302245370154343,2.4982504638440592e-05,4,1.4302735018247692,1.4301755722060994,1.4302413874587472,1.4302076865721214
Germany,2020-03-27,1.3976029876902145,2.4982504638440592e-05,4,1.3976519524995494,1.3975540228808796,1.3976198381335274,1.3975861372469016
Germany,2020-03-28,1.3413541607782011,2.4982504638440592e-05,4,1.341403125587536,1.3413051959688662,1.341371011221514,1.3413373103348882
Germany,2020-03-29,1.2754252767444334,2.4982504638440592e-05,4,1.2754742415537683,1.2753763119350985,1.2754421271877463,1.2754084263011205
Germany,2020-03-30,1.2124332150501713,2.4982504638440592e-05,4,1.2124821798595062,1.2123842502408364,1.2124500654934842,1.2124163646068584
Germany,2020-03-31,1.1976734229773562,2.4982504638440592e-05,4,1.1977223877866912,1.1976244581680213,1.1976902734206691,1.1976565725340433
Germany,2020-04-01,1.1632472384144719,2.4982504638440592e-05,4,1.1632962032238068,1.163198273605137,1.1632640888577848,1.163230387971159
Germany,2020-04-02,1.1403201159467664,2.4982504638440592e-05,4,1.1403690807561013,1.1402711511374315,1.1403369663900793,1.1403032655034535
Germany,2020-04-03,1.1096592579979851,2.4982504638440592e-05,4,1.10970822280732,1.1096102931886502,1.109676108441298,1.1096424075546722
Germany,2020-04-04,1.0642221817596793,2.4982504638440592e-05,4,1.0642711465690142,1.0641732169503444,1.0642390322029922,1.0642053313163664
Germany,2020-04-05,1.0275101694093174,2.4982504638440592e-05,4,1.0275591342186523,1.0274612045999825,1.0275270198526303,1.0274933189660045
Germany,2020-04-06,1.003725848719751,2.4982504638440592e-05,4,1.0037748135290858,1.003676883910416,1.0037426991630638,1.003708998276438
Germany,2020-04-07,0.9727302002840401,2.4982504638440592e-05,4,0.972779165093375,0.9726812354747052,0.972747050727353,0.9727133498407272
Germany,2020-04-08,0.9426043132191946,2.4982504638440592e-05,4,0.9426532780285295,0.9425553484098597,0.9426211636625075,0.9425874627758817
Germany,2020-04-09,0.8972796501399771,2.4982504638440592e-05,4,0.897328614949312,0.8972306853306422,0.89729650058329,0.8972627996966642
Germany,2020-04-10,0.8150181792803932,2.4982504638440592e-05,4,0.8150671440897281,0.8149692144710583,0.8150350297237061,0.8150013288370803
Germany,2020-04-11,0.8039002899207013,2.4982504638440592e-05,4,0.8039492547300362,0.8038513251113664,0.8039171403640142,0.8038834394773884
Germany,2020-04-12,0.8222528811859172,2.4982504638440592e-05,4,0.8223018459952521,0.8222039163765823,0.8222697316292301,0.8222360307426043
Germany,2020-04-13,0.7771883456754337,2.4982504638440592e-05,4,0.7772373104847686,0.7771393808660988,0.7772051961187466,0.7771714952321208
Germany,2020-04-14,0.7086506827042744,2.4982504638440592e-05,4,0.7086996475136094,0.7086017178949395,0.7086675331475873,0.7086338322609615
Germany,2020-04-15,0.6813319742321431,2.4982504638440592e-05,4,0.681380939041478,0.6812830094228082,0.681348824675456,0.6813151237888302
Germany,2020-04-16,0.673435416706882,2.4982504638440592e-05,4,0.6734843815162169,0.6733864518975471,0.6734522671501949,0.6734185662635691
Germany,2020-04-17,0.7244670770916953,2.4982504638440592e-05,4,0.7245160419010302,0.7244181122823604,0.7244839275350082,0.7244502266483824
Germany,2020-04-18,0.7367023452007619,2.4982504638440592e-05,4,0.7367513100100969,0.736653380391427,0.7367191956440748,0.736685494757449
Germany,2020-04-19,0.7631856849750928,2.4982504638440592e-05,4,0.7632346497844277,0.7631367201657578,0.7632025354184057,0.7631688345317799
Germany,2020-04-20,0.8210650103613764,2.4982504638440592e-05,4,0.8211139751707113,0.8210160455520414,0.8210818608046893,0.8210481599180635
Germany,2020-04-21,0.84142085881836,2.4982504638440592e-05,4,0.841469823627695,0.8413718940090251,0.8414377092616729,0.8414040083750471
Germany,2020-04-22,0.8151970823412151,2.4982504638440592e-05,4,0.81524604715055,0.8151481175318802,0.815213932784528,0.8151802318979022
