Country/Region,Date,R,ci_65_l,ci_65_u
Germany,2020-03-02,2.871412214056181,2.433529002741982,3.309535126163722
Germany,2020-03-03,2.9305022291722005,2.524675835783784,3.3347373455230898
Germany,2020-03-04,3.041936676653384,2.659504735919376,3.4273225376953405
Germany,2020-03-05,3.1605591120080594,2.775887928527476,3.543970357265983
Germany,2020-03-06,3.0661698780300446,2.7053465951992206,3.428181619966556
Germany,2020-03-07,2.9634207426399795,2.61895405053121,3.309503010370593
Germany,2020-03-08,2.9186802143953097,2.5779163171129715,3.261439829907804
Germany,2020-03-09,2.874920132587968,2.540014865945298,3.2132340067124847
Germany,2020-03-10,2.907649559323412,2.56769070883142,3.247142323003479
Germany,2020-03-11,2.95901504029691,2.6155367484697143,3.299207271029244
Germany,2020-03-12,2.9919658919234253,2.641315436392503,3.342890849756304
Germany,2020-03-13,3.127297220230927,2.738956361914229,3.506927634314928
Germany,2020-03-14,2.986741274931306,2.6289274454306684,3.3439834142424605
Germany,2020-03-15,2.87887566607468,2.527447564202253,3.230565907268422
Germany,2020-03-16,2.786594544048663,2.4379134951695063,3.1315326953252267
Germany,2020-03-17,2.70574718231136,2.363010127534789,3.045194272154834
Germany,2020-03-18,2.619632397030408,2.2789839389704136,2.956039212158225
Germany,2020-03-19,2.494609766534645,2.164489489977101,2.827995128707709
Germany,2020-03-20,2.371042782544316,2.0430724923124,2.6971593336997146
Germany,2020-03-21,2.2157150415638247,1.8917868507017133,2.539937399845241
Germany,2020-03-22,2.103844817015471,1.7769157361228012,2.430247856790546
Germany,2020-03-23,2.027585522888704,1.7024856342058785,2.3520769720015924
Germany,2020-03-24,1.9481279988839464,1.6217851539140629,2.27793098916094
Germany,2020-03-25,1.881781072406532,1.5581676716966282,2.204622268602609
Germany,2020-03-26,1.8226927898969167,1.4987381881164945,2.145544399128533
Germany,2020-03-27,1.7409191940084183,1.415997369795201,2.0628897460442315
Germany,2020-03-28,1.6429842405845838,1.3200467752314275,1.964861307873142
Germany,2020-03-29,1.5378247774312883,1.2146247655879507,1.8629756719099413
Germany,2020-03-30,1.4576104200487885,1.132062084663897,1.785929722615487
Germany,2020-03-31,1.3928889377504363,1.0680706825540385,1.7221387623445406
Germany,2020-04-01,1.3403168870994138,1.0121444462360794,1.6716527159119667
Germany,2020-04-02,1.2834943988691012,0.9535756204202084,1.6145721457218407
Germany,2020-04-03,1.2180565801347625,0.886170926068494,1.5505077318470826
Germany,2020-04-04,1.150172780797443,0.821317454880682,1.4824013897798705
Germany,2020-04-05,1.0879874625119936,0.7556311801192854,1.423844271006829
Germany,2020-04-06,1.0404876218083134,0.7096657238750455,1.376549430844734
Germany,2020-04-07,1.007633174601357,0.678615237753837,1.3431388814155214
Germany,2020-04-08,0.9798392162526348,0.651906030773288,1.3104809446145245
Germany,2020-04-09,0.9404250525213632,0.6116296887886653,1.2694045204916709
Germany,2020-04-10,0.8915453322310243,0.5600867056160908,1.2218735429616527
Germany,2020-04-11,0.8473534001276855,0.5185711947722906,1.1791492880494845
Germany,2020-04-12,0.816107299027513,0.4862858997615362,1.1437279425317737
Germany,2020-04-13,0.7892079900849743,0.4592488169338707,1.1153810029514024
Germany,2020-04-14,0.7711476570789164,0.4421565437915749,1.1005890757839945
Germany,2020-04-15,0.7753166898786283,0.4429606712592651,1.1028999774344324
Germany,2020-04-16,0.7680027919183352,0.4383508404015035,1.095508935175273
Germany,2020-04-17,0.7598258485104731,0.4301768881995328,1.0900328646785955
Germany,2020-04-18,0.7375943959379303,0.4100886932338849,1.067266760484386
Germany,2020-04-19,0.720978419490355,0.3893239723621308,1.0505834679792665
Germany,2020-04-20,0.7110677827846956,0.3810662038986311,1.0413460004397843
Germany,2020-04-21,0.7061898820496266,0.3727110682668286,1.0388967981089017
Germany,2020-04-22,0.7148457506492494,0.3861095843728825,1.0429997223999574
Germany,2020-04-23,0.7114152741744435,0.3826905349419278,1.0437488339098466
Germany,2020-04-24,0.6945888784271879,0.3629146803285409,1.0208582669886912
Germany,2020-04-25,0.6783851109442842,0.3464910557108833,1.0039386090076083
Germany,2020-04-26,0.6628927418806503,0.3263906752309816,0.994406539249834
Germany,2020-04-27,0.6534803940199585,0.3192819513038585,0.9896035926337308
Germany,2020-04-28,0.6545710633757078,0.3228180974838581,0.9913527578247556
Germany,2020-04-29,0.6573289898164931,0.3221589875152155,0.9965074644457808
Germany,2020-04-30,0.6510524561635993,0.3096199027289555,0.992337859119856
Germany,2020-05-01,0.6391806755784794,0.2897263050882834,0.9864252114097952
Germany,2020-05-02,0.626232399558335,0.2755919637066251,0.9802874925890968
Germany,2020-05-03,0.6180251451086334,0.2557996966843858,0.9796409552695248
Germany,2020-05-04,0.6186292194012459,0.2428991213094503,0.9971976337856936
Germany,2020-05-05,0.6347199564196303,0.230441973539176,1.034925418576962
Germany,2020-05-06,0.6479853063138721,0.2139951178259269,1.0820272792466386
Austria,2020-03-09,2.7414963773639736,2.435385853089152,3.0479269181192223
Austria,2020-03-10,2.8383899926024525,2.566202304425304,3.11106038878464
Austria,2020-03-11,2.9071429255490138,2.645980232108296,3.1671501874478176
Austria,2020-03-12,2.972266112312461,2.717195207357995,3.2261258748913955
Austria,2020-03-13,3.1417315431912844,2.86057978674906,3.418702899977454
Austria,2020-03-14,2.969962289261514,2.7203201550913367,3.220709444507532
Austria,2020-03-15,2.8301485245793527,2.59263823800384,3.0690981043055308
Austria,2020-03-16,2.6815406021506734,2.4484938653753217,2.9126848110610384
Austria,2020-03-17,2.6315382781042747,2.397661168550733,2.8651856008315586
Austria,2020-03-18,2.524126324795242,2.293632956869097,2.7560112730449844
Austria,2020-03-19,2.429685210063927,2.1922390948264265,2.662585867142246
Austria,2020-03-20,2.3437823460559963,2.109942258897549,2.574957435667517
Austria,2020-03-21,2.2939248254605085,2.058887714827077,2.5254512289647097
Austria,2020-03-22,2.2772867909752064,2.0376776115813264,2.5177035513294106
Austria,2020-03-23,2.166021627197897,1.927967520730225,2.4032661262531665
Austria,2020-03-24,1.991263460950387,1.756584263114871,2.2254025807282183
Austria,2020-03-25,1.812300738478744,1.5781391709968018,2.046952951905088
Austria,2020-03-26,1.7579748845203875,1.5242980166890885,1.992688527442004
Austria,2020-03-27,1.567880519515637,1.3334246397533456,1.80212933226568
Austria,2020-03-28,1.4004913224300952,1.163449004520892,1.6374583303404058
Austria,2020-03-29,1.276405739644234,1.037163937467567,1.516851792504003
Austria,2020-03-30,1.1882236034126052,0.9465184048970198,1.4298129692860369
Austria,2020-03-31,1.0743398767665562,0.835354610180687,1.3121539947730034
Austria,2020-04-01,0.97572934969665,0.738566980067811,1.2159092556190718
Austria,2020-04-02,0.8856305915592158,0.6488523996720893,1.126076991768673
Austria,2020-04-03,0.810147837730641,0.5685707108312636,1.0512465800431623
Austria,2020-04-04,0.747820394645045,0.506673448008444,0.9909878497026102
Austria,2020-04-05,0.7121590910327896,0.4761189462817805,0.9518675552356816
Austria,2020-04-06,0.6943783972481579,0.4569995257573858,0.9292284038522268
Austria,2020-04-07,0.6924291040665338,0.4554720362948403,0.9290724818465644
Austria,2020-04-08,0.6802105329725807,0.4449346201287092,0.9152132300031964
Austria,2020-04-09,0.6654412070497302,0.4305321488000974,0.8991072831866379
Austria,2020-04-10,0.6415168555390003,0.4066551265902218,0.8783316608635229
Austria,2020-04-11,0.5977021422867884,0.3641436475028082,0.8317713752263365
Austria,2020-04-12,0.5508719801942799,0.3172604278792961,0.7854463485455934
Austria,2020-04-13,0.5200060287300674,0.2861140916138279,0.7539637054861524
Austria,2020-04-14,0.5164024866670833,0.2805605931274084,0.7502597204762627
Austria,2020-04-15,0.4973806279274907,0.2632425837406579,0.7329002058669996
Austria,2020-04-16,0.4877677711979293,0.2543717714990658,0.7252028361758323
Austria,2020-04-17,0.4719897589879905,0.2381437216538016,0.7059095295381448
Austria,2020-04-18,0.4538197413685703,0.2203395181394328,0.6854432857127585
Austria,2020-04-19,0.4450151241500332,0.2119862278996177,0.6773632648073926
Austria,2020-04-20,0.4432352422268238,0.2080535842499585,0.6766074366348083
Austria,2020-04-21,0.4602996461455486,0.2261747162798546,0.6949870645004174
Austria,2020-04-22,0.4754674412462858,0.2387194387521763,0.7117221475713824
Austria,2020-04-23,0.503923363127827,0.2689693973603471,0.7392222549560181
Austria,2020-04-24,0.5280505271681477,0.2948062002182608,0.7629875007822599
Austria,2020-04-25,0.5485667852559363,0.3134268172204936,0.7832717100987817
Austria,2020-04-26,0.5596994533296238,0.3258978445822613,0.7935202966681556
Austria,2020-04-27,0.5626344952348463,0.327889269778489,0.796266099022766
Austria,2020-04-28,0.5763513394386661,0.3383194375023441,0.8114544923318737
Austria,2020-04-29,0.5642619632492165,0.3296318191256413,0.7967624327412706
Austria,2020-04-30,0.5629753572388065,0.3264806373034381,0.7993950564663311
Austria,2020-05-01,0.5663941778783097,0.3249758567262275,0.8057176982845594
Austria,2020-05-02,0.5284140562965214,0.2917236471533599,0.7677837386096389
Austria,2020-05-03,0.5138493141270188,0.2631053262923413,0.7620309039816668
Austria,2020-05-04,0.4992223573142952,0.2380476395674234,0.7591970556209566
Austria,2020-05-05,0.5025402068919701,0.2260176967795457,0.7800680106475537
Austria,2020-05-06,0.5079255085915299,0.1980708927360908,0.8158954294160373
Switzerland,2020-03-06,3.103849917906226,2.5999574876859946,3.601013601751967
Switzerland,2020-03-07,2.974604048329692,2.5207308917296736,3.423330409788133
Switzerland,2020-03-08,2.88970112556482,2.464415627708244,3.313865039571527
Switzerland,2020-03-09,2.842057018904512,2.441229717164343,3.248280232138655
Switzerland,2020-03-10,2.874885835488501,2.4800906225651094,3.274489121048988
Switzerland,2020-03-11,2.895347983283968,2.5004985098723544,3.290110600080246
Switzerland,2020-03-12,2.9016737470960248,2.5088757313224,3.2956150371987074
Switzerland,2020-03-13,3.041103139575648,2.618452661261287,3.4606363442746506
