Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-03-08,0.0,12054,6265.0,10606.75,10896.2,11089.166666666668,11227.0,11330.375,11410.777777777777,,0.8322249093107619,0.8822249093107619,0.9155582426440954,0.9393677664536189,0.9572249093107619,0.9711137981996507,
Germany,2020-03-09,0.0,20370,8316.0,16271.0625,17032.96,17556.972222222226,17939.14285714286,18230.078125,18458.91358024691,18643.59,0.5340290381125228,0.5632018501863032,0.5832544274943015,0.5978572064792784,0.6089562900610086,0.6176735661433361,0.624699566888306
Germany,2020-03-10,0.0,32193,11823.0,24026.296875,25449.368000000002,26453.81018518519,27199.40816326531,27774.318359375,28230.923182441697,28602.231,0.4766274098572236,0.4941248027354026,0.5067410172069446,0.5162044463253312,0.5235435728213589,0.5293924563714261,0.5341589790378356
Germany,2020-03-11,0.0,48055,15862.0,33881.72265625,36221.4944,37906.841820987655,39175.77842565598,40164.528564453125,40956.15393994817,41604.0079,0.4101932908148169,0.4232767744959325,0.4329445004567416,0.44031731096875815,0.4461031246477345,0.45075503465720757,0.454572124111577
Germany,2020-03-12,0.0,69412,21357.0,46768.2919921875,50334.19552000001,52946.034850823045,54936.23865056227,56500.962493896484,57762.47016884282,58800.60711,0.38033985068230813,0.389622276876572,0.3967408601554543,0.40230113754637875,0.4067378483785222,0.4103489857357421,0.4133399659795758
Germany,2020-03-13,0.0,99505,30093.0,65169.218994140625,70360.35641600001,74214.6957090192,77181.2045576248,79531.34218215942,81437.41792786028,83013.546399,0.3934487709114316,0.39786393105344686,0.40170450758250764,0.40492335211658803,0.4076103958538899,0.4098673012046459,0.411780430152773
Germany,2020-03-14,0.0,137620,38115.0,86991.91424560547,94403.28513280001,99960.57975751601,104270.31819224983,107704.9244093895,110503.8159358758,112827.1917591,0.3348620036926777,0.3417112979736501,0.3469108618250112,0.3509807055991181,0.35424502409001235,0.35691698911381753,0.3591419310867936
Germany,2020-03-15,0.0,181748,44128.0,109371.9356842041,119650.62810624001,127428.48313126335,133502.55845049987,138369.8088582158,142353.6141652229,145672.47258319,0.2572655359142093,0.2674413600959309,0.2747873555793581,0.28035054236961954,0.2847120000963763,0.2882235148135448,0.291111391784161
Germany,2020-03-16,0.0,237615,55867.0,137895.95176315308,151587.50248499203,162057.40260938613,170297.76438614275,176940.58275093883,182403.5459246426,186972.22532487102,0.2607983108327534,0.26691773277106967,0.2717517985555218,0.2756142381292701,0.2787513707722582,0.281341165760187,0.2835110299792276
Germany,2020-03-17,0.0,310338,72723.0,176144.9638223648,193993.00198799363,207770.8355078218,218692.51233097952,227546.00990707148,234859.48526634896,240998.00279238392,0.277375887907916,0.2797427149853595,0.28208173253659186,0.28417723579214926,0.28600237644387505,0.28758179604347056,0.2889508180888427
Germany,2020-03-18,0.0,402759,92421.0,224529.7228667736,247615.4015903949,265563.3629231848,279871.7248551253,291523.75866868754,301184.9869034213,309319.2025131455,0.27468715536597976,0.2764140925337091,0.2781551475889761,0.2797499186051431,0.28116401068840635,0.2824050370452531,0.28349280462551896
Germany,2020-03-19,0.0,516194,113435.0,281832.2921500802,311527.3212723159,334737.8024359874,353325.0498758217,368518.2888351016,381154.9883585967,391822.282261831,0.25521150853291474,0.2581096299803032,0.2604818629775054,0.26245354030929446,0.2641106526549597,0.2655178874530648,0.2667247266848207
Germany,2020-03-20,0.0,647507,131313.0,342687.21911256015,380534.8570178527,410261.1686966562,434163.04275070434,453766.50273071387,470117.43409653037,483953.0540356479,0.21592602642593461,0.2215135913720232,0.22561947204965382,0.2287921360325107,0.23132695575322648,0.23340228635348836,0.23513407977204204
Germany,2020-03-21,0.0,792876,145369.0,402384.4143344201,449796.88561428216,487253.3072472135,517508.7509291752,542414.6898893747,563251.1636413604,580926.7486320832,0.1742031563839901,0.18201231061778933,0.18766616103383815,0.19196868450714222,0.19536080037901948,0.19810737230754683,0.20037830898633446
Germany,2020-03-22,0.0,947023,154147.0,455935.3107508151,513984.5084914258,560191.4227060112,597725.9293678645,628759.8536532028,654814.7010145425,676981.0737688749,0.133083923006742,0.14270357339065032,0.14969239689899472,0.15500641930143444,0.15918662487079427,0.162562535656799,0.16534670741702318
Germany,2020-03-23,0.0,1112706,165683.0,507634.4830631113,576870.6067931406,632509.1855883427,678019.5108867411,715847.8719465524,747740.5120129266,774965.9663919874,0.11339146386174881,0.12235018227745664,0.12909473431956475,0.13433176908318578,0.13850759998010886,0.14191161385718543,0.144738008815539
Germany,2020-03-24,0.0,1291255,178549.0,559274.8622973335,640045.4854345126,705639.9879902856,759708.5807600638,804915.8879532333,843207.2329003792,876018.3697527887,0.1017274849466876,0.10951308299891549,0.1156201428662551,0.12048188667386062,0.12442310649675448,0.12767359712857473,0.13039592413492862
Germany,2020-03-25,0.0,1484280,193025.0,612481.1467230001,705061.3883476101,781058.3233252381,844203.7835086262,897326.4019590792,942542.5403558926,981441.5327775099,0.09513441066725425,0.10158012890124479,0.10687933878258438,0.1112205454676154,0.11480766548270083,0.11780651728262548,0.12034355290343002
Germany,2020-03-26,0.0,1690108,205828.0,665188.86004225,769877.1106780882,856709.936104365,929431.2430073939,990988.6017141943,1043643.5914274601,1089125.379499759,0.08605605838033648,0.09192918999915856,0.0968578280518817,0.10095602645199109,0.10437918638148624,0.10726417826551682,0.10972008329166649
Germany,2020-03-27,0.0,1909299,219191.0,718082.6450316876,835092.6885424706,933115.9467536375,1015846.3511491949,1086306.02649992,1146874.1923799645,1199403.841549783,0.07951694348290483,0.08470907494176849,0.0891853910282705,0.09297633234512803,0.09618417872904628,0.09891365385697348,0.10125414770949082
Germany,2020-03-28,0.0,2137835,228536.0,767097.9837737656,896610.1508339765,1006132.6222946979,1099261.443842167,1179053.77318743,1247979.7265599684,1307999.4573948048,0.06825863162298695,0.0736654303594435,0.07825037798902645,0.08211388720214163,0.08537902250836571,0.08815747607869029,0.0905413273520137
Germany,2020-03-29,0.0,2371852,234017.0,809340.4878303242,951305.1206671812,1072460.8519122484,1176241.0947218575,1265689.0515390013,1343332.3124977497,1411216.5116553244,0.05506793779947783,0.061001952501129386,0.06592394297510706,0.0700285189760037,0.07347864899949652,0.07640555684395522,0.0789121537298656
Germany,2020-03-30,0.0,2608550,236698.0,843703.3658727432,997742.0965337451,1130415.3765935404,1244904.652618735,1344175.920096626,1430771.1666646663,1506792.860489792,0.04245787596088113,0.04881396605328492,0.054038825359411735,0.05837541147388192,0.06201117759704844,0.06509100790134026,0.06772621213335905
Germany,2020-03-31,0.0,2852822,244272.0,877049.5244045574,1042465.677226996,1186284.8138279505,1311333.1308160587,1420425.9300845477,1516068.5925908145,1600385.5744408127,0.039523557544801635,0.044824790743645204,0.04942381215900493,0.053360293945072135,0.05672621332365524,0.05961639982233402,0.06211385546424597
Germany,2020-04-01,0.0,3100706,247884.0,905671.1433034181,1081856.5417815968,1236454.678189959,1371883.8264137646,1490756.6888239793,1595500.5267473906,1688231.0169967315,0.03263398257731498,0.03778624602719027,0.04229158442998049,0.046174914805991785,0.049513851620017535,0.05239336435354458,0.05489017394237172
Germany,2020-04-02,0.0,3352531,251825.0,931078.3574775635,1117310.2334252775,1282203.8984916324,1427725.4226403697,1556237.102720982,1670047.6904421248,1771232.9152970584,0.02805346550125587,0.032771157981164256,0.037000321248042534,0.040704318508208104,0.04392427978884905,0.046723371409163494,0.0491650120538496
Germany,2020-04-03,0.0,3605714,253183.0,951491.7681081727,1147031.186740222,1321686.248743027,1476947.64797746,1614890.4648808592,1737669.8359485553,1847292.6237673527,0.02192448193717267,0.02660044849301202,0.030792567623481037,0.03447597455122775,0.03768921975791839,0.04049114638668083,0.0429416751537377
Germany,2020-04-04,0.0,3855810,250096.0,963714.8260811295,1167720.9493921776,1351501.207285856,1516051.1268378228,1663125.1567707518,1794691.409732049,1912659.3613906174,0.012846204646898451,0.018037663571079054,0.022558272488031106,0.02647587334182866,0.029868708088168106,0.03281496438727505,0.03538515597488634
Germany,2020-04-05,0.0,4102042,246232.0,969018.1195608471,1180408.7595137423,1372483.0060715466,1545704.3944324197,1701466.512174408,1841513.2530951547,1967625.4252515556,0.005502969692064319,0.010865447030105058,0.015524809502632353,0.019559543256596923,0.023053800399545743,0.026089077547931216,0.0287380309167935
Germany,2020-04-06,0.0,4345047,243005.0,969768.5896706353,1187332.007610994,1386740.8383929555,1567894.4809420742,1731788.1981526068,1879905.6694179152,2013867.8827264002,0.000774464475574943,0.005865127686873084,0.010388348896369193,0.01435597038449421,0.017820912584079585,0.020848297593423215,0.023501656809975735
Germany,2020-04-07,0.0,4582221,237174.0,964500.4422529765,1187039.6060887952,1392791.365327463,1581083.5550932065,1752488.673383531,1908201.2617048135,2049655.0944537602,-0.005432375799517386,-0.00024626769961921813,0.004363127389771959,0.008411965416963207,0.011953237268279349,0.015051602187922342,0.017770387041929903
Germany,2020-04-08,0.0,4812276,230055.0,953430.3316897324,1179686.684871036,1390714.4711062193,1585269.475794177,1763482.5892105896,1926233.8992931675,2074744.5850083842,-0.011477558825567225,-0.006194335201658907,-0.0014911739639880128,0.0026475012579103563,0.006273316338092361,0.00945007109587781,0.012240835359331736
Germany,2020-04-09,0.0,5031061,218785.0,933857.7487672993,1162534.3478968288,1377713.7259218495,1577587.4078235803,1761832.2655592659,1930992.9104828155,2086055.1265075458,-0.02052859267414453,-0.014539739402146812,-0.009348249014787813,-0.004845906697817592,-0.000935832120725677,0.002470629964198112,0.005451534410977121
Germany,2020-04-10,0.0,5229987,198926.0,899319.3115754745,1128953.478317463,1347020.7716015412,1551143.7781344976,1740529.2323643577,1915364.1426513914,2076375.6138567913,-0.036984687697260044,-0.028885916050667815,-0.022278179960623645,-0.01676206944727332,-0.012091408252275282,-0.008093643299558417,-0.004640103958786446
Germany,2020-04-11,0.0,5419540,189553.0,864042.4836816059,1092715.7826539706,1312070.309667951,1519104.8098295694,1712516.078318813,1892098.9045790145,2058291.0524711122,-0.03922614297258753,-0.03209848444552321,-0.025946490707812853,-0.020655060321655205,-0.01609461853593308,-0.01214663966726004,-0.008709677220725798
Germany,2020-04-12,0.0,5604837,185297.0,833328.8627612044,1059469.6261231764,1278688.9247232925,1487386.836996774,1683748.5685289614,1867162.692959124,2037758.947224001,-0.035546424510903174,-0.030425255183965993,-0.02544176535257958,-0.02087938411330159,-0.016798388145991994,-0.013179126925946139,-0.009975316767014686
Germany,2020-04-13,0.0,5776029,171192.0,796188.6470709033,1018767.7008985411,1236766.103936077,1446095.0031400921,1644471.9974628412,1830892.1715192213,2005175.052501601,-0.04456849792438278,-0.03841726484748054,-0.03278578548436828,-0.027761328008022,-0.023326862335767196,-0.019425474585945346,-0.01599006338153408
Germany,2020-04-14,0.0,5928678,152649.0,749790.4853031775,967663.160718833,1183287.419946731,1392159.0026915076,1591561.9977799861,1780108.7080170854,1957306.5472514408,-0.05827533705538246,-0.05016309423103471,-0.043240741979544195,-0.037297688140451646,-0.03217446071717045,-0.027737004009360744,-0.02387248195135916
