Country/Region,Date,Province/State,total_cases,new_cases,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-03-03,0.0,625,321.0,564.2,574.3333333333334,581.5714285714287,587.0,591.2222222222222,,0.855921052631579,0.8892543859649125,0.9130639097744364,0.930921052631579,0.9448099415204676,
Germany,2020-03-04,0.0,1073,448.0,899.3600000000001,926.6111111111111,946.4897959183675,961.625,973.5308641975308,983.14,0.5940446650124069,0.6133681563165021,0.6274695581991085,0.6382027257240204,0.6466411910877239,0.6534476959300368
Germany,2020-03-05,0.0,1576,503.0,1222.4880000000003,1275.175925925926,1314.2769679300293,1344.421875,1368.360768175583,1387.826,0.3592866038071518,0.3761716329915865,0.3885801765615471,0.3980729234368907,0.4055648552072413,0.4116260146062616
Germany,2020-03-06,0.0,2333,757.0,1734.9904000000001,1819.6466049382718,1883.5231153685966,1933.369140625,1973.3206828227403,2006.0434,0.41922898220677807,0.4269769119245226,0.4331249510787085,0.43806730355752355,0.4421055680029049,0.4454574276602399
Germany,2020-03-07,0.0,3317,984.0,2371.9923200000003,2500.372170781893,2598.4483846016547,2675.697998046875,2738.0628291757694,2789.43906,0.3671501121850589,0.3740976758872989,0.37956808886476057,0.38395609085903915,0.38754073426073976,0.39051780235661915
Germany,2020-03-08,0.0,4653,1336.0,3233.5938560000004,3419.643475651578,3563.241472515704,3677.2357482910156,3769.833625934017,3846.495154,0.3632395976728964,0.3676537899484853,0.3712958447169439,0.3743089657260321,0.3768250990313611,0.3789493411625202
Germany,2020-03-09,0.0,6674,2021.0,4607.8750848,4870.702896376315,5075.206976442032,5238.581279754639,5371.963223052459,5482.8456386,0.4250011875331814,0.42433061547395745,0.42432305404743076,0.4245976158012861,0.42498681801149707,0.42541337479610397
Germany,2020-03-10,0.0,9247,2573.0,6259.30006784,6631.919080313596,6923.177408378885,7156.758619785309,7348.078420491075,7507.56107474,0.35839187318414,0.36159384413440265,0.3641172548262004,0.3661635159587544,0.3678571716497616,0.36928186011397446
Germany,2020-03-11,0.0,12484,3237.0,8244.440054272,8763.599233594665,9171.152064324759,9499.163792312145,9768.625262658734,9993.804967266,0.3171504744806146,0.3214273466648314,0.32470273739124855,0.327299731201093,0.3294122223053102,0.3311653235684271
Germany,2020-03-12,0.0,16085,3601.0,10196.5520434176,10903.999361328888,11461.987483706936,11912.768318273127,12284.222455696652,12595.4244705394,0.23677920832647437,0.24423756389145956,0.24978709362953344,0.25408599943443,0.25751803610012236,0.26032322141514874
Germany,2020-03-13,0.0,20441,4356.0,12513.24163473408,13442.66613444074,14180.560700320231,14779.672278488986,15275.308849508134,15691.88202348546,0.22720323315684188,0.23281978373139411,0.23718165985416673,0.24065808077693274,0.24349008694680574,0.245839873057764
Germany,2020-03-14,0.0,24874,4433.0,14443.593307787265,15635.221778700618,16587.7663145602,17365.213243677863,18011.0523106739,18555.693821136912,0.1542647164820139,0.16310422518360745,0.16975390925026024,0.17493899164137705,0.17909578707168694,0.18250276119622177
Germany,2020-03-15,0.0,29552,4678.0,16232.874646229813,17707.351482250517,18896.08541248017,19872.56158821813,20687.824276154577,21378.12443902322,0.12388062307721293,0.1325296009790342,0.13915792241983804,0.14438914796817226,0.1486182994368599,0.15210590587948047
Germany,2020-03-16,0.0,35568,6016.0,19002.29971698385,20772.126235208765,22212.644639268718,23404.491389690862,24405.177134359623,25256.311995120897,0.17060595434322856,0.17307922960869182,0.17551567715703076,0.1777289649245175,0.17968795599688958,0.18140915809333147
Germany,2020-03-17,0.0,40803,5235.0,20436.839773587082,22545.105196007305,24274.40969080176,25713.929965979503,26928.49078609744,27965.68079560881,0.07549297074401329,0.08535375438809623,0.09281943168028461,0.09867501659557076,0.1033925563353233,0.10727491808825129
Germany,2020-03-18,0.0,46091,5288.0,21637.471818869664,24075.587663339422,26094.636877830082,27787.688720232065,29224.436254308835,30457.11271604793,0.058748419940851004,0.0678853548930507,0.07498543570013383,0.08064728950402467,0.08526082974530214,0.08908890645817302
Germany,2020-03-19,0.0,50816,4725.0,22034.977455095734,24787.98971944952,27091.831609568642,29039.22763020306,30702.27667049674,32136.401444443138,0.018371168293303652,0.02959022500600872,0.038214547165658086,0.045039330999118166,0.05056865437293112,0.055136176040428975
Germany,2020-03-20,0.0,56145,5329.0,22956.98196407659,25985.65809954127,28550.56995105884,30738.324176427675,32619.9125959971,34251.76129999882,0.041842770697622544,0.048316478812802544,0.053844212621452225,0.058510390422967795,0.0624590790474866,0.06582441594192434
Germany,2020-03-21,0.0,60587,4442.0,22807.585571261272,26096.715082951057,28913.917100907576,31338.033654374216,33437.477863108536,35268.58516999894,-0.006507666950694713,0.0042737799052219305,0.012726441204907069,0.01951015528707445,0.025063380065946772,0.02968676153889227
Germany,2020-03-22,0.0,64405,3818.0,22064.06845700902,25565.262569125884,28601.35751506364,31238.77944757744,33540.20254498537,35559.726652999045,-0.03259955386023505,-0.02036472836278047,-0.010810004910546178,-0.0031672123366592864,0.003072142052620741,0.00825498050451312
Germany,2020-03-23,0.0,69562,5157.0,22808.254765607217,26461.38547427157,29672.44929862598,32490.93201663026,34970.513373320326,37160.753987699136,0.033728426380121856,0.03505236461869532,0.037448984125953544,0.040083274417110015,0.04264466877970019,0.04502361197326765
Germany,2020-03-24,0.0,73638,4076.0,22322.603812485773,26127.154561892978,29509.52797025084,32505.56551455148,35160.90077628473,37520.67858892922,-0.02129277132828944,-0.012630892388592607,-0.0054906599295354575,0.0004503871392094183,0.005444226709856004,0.009685610828812141
Germany,2020-03-25,0.0,78056,4418.0,22276.083049988618,26190.62880157748,29711.881117357865,32860.36982523254,35672.134023364204,38186.6107300363,-0.00208402043453082,0.0024294356101479675,0.00685721395852279,0.010915186524665499,0.014539822239829636,0.017748403444482586
Germany,2020-03-26,0.0,82054,3998.0,21818.866439990896,25823.524001314567,29465.32667202103,32750.823597078474,35706.56357632374,38365.949657032674,-0.020525000242264557,-0.014016647062738863,-0.008298176893040798,-0.0033336882310420757,0.0009651666182062257,0.004696382411736533
Germany,2020-03-27,0.0,86176,4122.0,21577.093151992718,25641.603334428808,29377.99429030374,32778.97064744367,35861.16762339888,38651.354691329405,-0.011080927997021983,-0.007044765341728598,-0.0029639033936188497,0.0008594303065925235,0.004329849517573203,0.0074390191523492355
Germany,2020-03-28,0.0,90064,3888.0,21149.674521594174,25256.002778690676,29069.137963117493,32569.59931651321,35764.59344302122,38674.219222196465,-0.019808906945330107,-0.015038082865137747,-0.010513186303129807,-0.006387367473566052,-0.0026930015606809743,0.0005915583308697681
Germany,2020-03-29,0.0,93325,3261.0,20180.73961727534,24307.66898224223,28177.403968386425,31759.399401949056,35051.74972712997,38067.79729997682,-0.045813230048979525,-0.03754884748621368,-0.03067631368575452,-0.024875955847371123,-0.019931548139277,-0.015680262831824665
