Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-03-11,0.0,2578,734.0,1559.9188232421875,1692.2002073600001,1795.1490304926842,1877.2550337817388,1944.111266374588,1999.5225148507823,2046.14986406,0.4165303956131954,0.4128155634800301,0.4097525252565206,0.4074512647618769,0.40573631974697477,0.40444229610849414,0.4034485908156853
Germany,2020-03-12,0.0,3549,971.0,2140.9391174316406,2324.7601658880003,2466.9575254105703,2580.0757432414903,2672.0973580777645,2748.353346534029,2812.534877654,0.37246828843429247,0.373809172092501,0.3742354999537314,0.374387441670041,0.3744570098915878,0.37450482608800706,0.3745497957189352
Germany,2020-03-13,0.0,4983,1434.0,3039.7043380737305,3293.8081327104,3489.797937842142,3645.4934942069917,3772.085188318044,3876.980752474692,3965.2813898886,0.4197995231738705,0.41683782311894846,0.41461614231130417,0.4129404936100669,0.41165709285068175,0.4106558595764205,0.4098603439172752
Germany,2020-03-14,0.0,6272,1289.0,3568.778253555298,3924.0465061683203,4197.164948201786,4413.708709320279,4589.574539778288,4735.205113310837,4857.75325089974,0.17405440024369057,0.19134034165472524,0.20269569269017107,0.21073010179117002,0.2167208084249972,0.22136410150819996,0.2250715077338339
Germany,2020-03-15,0.0,7232,960.0,3636.5836901664734,4099.237204934656,4457.637456834822,4743.178893703096,4975.877722306002,5169.071211831855,5331.977925809766,0.01899962166145408,0.04464541857262616,0.062059154655008664,0.07464701594083145,0.08416971533626638,0.09162561877233255,0.09762222377643237
Germany,2020-03-16,0.0,9244,2012.0,4739.437767624855,5291.389763947725,5726.697880695685,6077.581908888368,6365.893007017752,6606.729966072759,6810.78013322879,0.30326651918957914,0.2908230237513354,0.28469350326259346,0.2813309481025028,0.2793507723231523,0.278127093886837,0.27734589827553324
Germany,2020-03-17,0.0,12236,2992.0,6546.578325718641,7225.111811158181,7764.248233913071,8201.355921904316,8562.156381140532,8864.648858731342,9121.70211990591,0.38129850980181246,0.3654469115818395,0.35579847159142663,0.34944391451309964,0.345004757651695,0.34176043280920676,0.33930356603386347
Germany,2020-03-18,0.0,15786,3550.0,8459.933744288981,9330.089448926545,10020.206861594226,10579.733647346558,11041.886833497965,11429.687874427858,11759.53190791532,0.292268009847771,0.291341877162028,0.29055725161226387,0.2899981110550307,0.2896151789307915,0.2893559639612855,0.2891817506573673
Germany,2020-03-19,0.0,19761,3975.0,10319.950308216736,11439.071559141237,12325.172384661855,13043.343126297052,13636.65097931072,14134.722555046985,14558.578717123788,0.21986183581915042,0.2260409315215448,0.2300317303729702,0.23286120058120519,0.2349928218736106,0.23666741474815067,0.238023658690397
Germany,2020-03-20,0.0,23749,3988.0,11727.962731162552,13139.25724731299,14258.976987218213,15168.008393968903,15920.06960689688,16552.19782670843,17090.720845411408,0.1364359692531425,0.14862969248698277,0.156898787473585,0.16289269147479946,0.16744717094032247,0.17103096733923895,0.1739278385265257
Germany,2020-03-21,0.0,27044,3295.0,12090.972048371914,13806.405797850392,15177.480822681844,16296.150051973347,17225.06090603477,18008.064734851938,18676.648760870266,0.030952461696079903,0.05077521034713239,0.06441582985139682,0.07437638671488433,0.08197145686929308,0.0879561085111209,0.09279467670227937
Germany,2020-03-22,0.0,29258,2214.0,11282.229036278935,13259.124638280315,14861.900685568204,16182.128615977155,17285.928292780423,18221.16865320172,19022.98388478324,-0.06688817150990589,-0.03963965477932618,-0.020792655961852646,-0.006996832726290703,0.00353365291871488,0.011833804547434212,0.018543750988056606
Germany,2020-03-23,0.0,32917,3659.0,12120.671777209202,14266.299710624253,16043.917237973503,17529.39595655185,18784.18725618287,19855.594358401526,20779.685496304915,0.07431534479881452,0.07596090238386699,0.07953333677926588,0.08325649687671444,0.08667506529158775,0.08969927979414294,0.09234627028869458
Germany,2020-03-24,0.0,37747,4830.0,13920.503832906901,16243.039768499402,18199.931031644584,19855.1965341873,21266.163849160013,22479.41720746802,23531.716946674424,0.148492764161964,0.13856011004753044,0.13438200669398404,0.1326800183759984,0.1321311675148571,0.1321452685679123,0.13243855162576357
Germany,2020-03-25,0.0,43364,5617.0,16057.377874680176,18611.43181479952,20783.609193037155,22635.73988644626,24224.89336801501,25598.704184416016,26795.54525200698,0.1535055101038718,0.14580965632388665,0.14196087649454703,0.14004108936777993,0.1391285019640185,0.13876191487347445,0.13869911459196826
Germany,2020-03-26,0.0,49168,5804.0,17847.03340601013,20693.14545183962,23123.674327530964,25206.06275981108,27000.781697013135,28558.403719480903,29919.990726806285,0.11145378437857811,0.11185134264547836,0.11259185605153554,0.1135515289652127,0.11458825790594518,0.11561911547330173,0.11660316837797069
