Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-03-11,0.0,48069,15869.0,33893.97265625,36234.0944,37919.675154321,39188.77842565598,40177.653564453125,40969.376162170396,41617.3079,0.41029226379287587,0.42338036596579687,0.43305042018522055,0.44042455698248073,0.4462111928858443,0.4508636452288779,0.4546811097439145
Germany,2020-03-12,0.0,69433,21364.0,46784.4794921875,50351.27552,52963.7292952675,54954.38150770513,56519.446868896484,57781.22325526257,58819.57711,0.3803185588975362,0.3896104305562553,0.396734784243852,0.4022989160521466,0.4067383695821809,0.4103515520115635,0.4133441127747717
Germany,2020-03-13,0.0,99533,30100.0,65188.359619140625,70381.02041600001,74236.44107938958,77203.75557803297,79554.51601028442,81461.08733801117,83037.619399,0.3933757589421589,0.3978001488372227,0.40164678860751746,0.4048698840729972,0.4075600597228153,0.4098193625658817,0.41173438298798404
Germany,2020-03-14,0.0,137655,38122.0,87013.26971435547,94426.81633280002,99985.70089949132,104296.64763831398,107732.20150899887,110531.85541156548,112855.8574591,0.33479765747636026,0.34165170914932586,0.34685471778698407,0.35092712598543385,0.35419341241510116,0.35686692902746686,0.3590931228028329
Germany,2020-03-15,0.0,181790,44135.0,109394.9522857666,119676.45306624002,127456.41741624277,133532.12654712627,138400.676320374,142385.53814361375,145705.27171319,0.25722148638805375,0.26739900500774705,0.27474645143874965,0.28031082082519854,0.28467323958671176,0.2881855426514017,0.2910740744315814
Germany,2020-03-16,0.0,237671,55881.0,137927.21421432495,151622.16245299202,162094.68118020231,170337.1084689654,176981.59178032726,182445.92279432333,187015.744541871,0.26081881597265144,0.2669339587551971,0.2717655530112626,0.2756264194508269,0.2787624777977602,0.2813514994079218,0.283520783722895
Germany,2020-03-17,0.0,310401,72730.0,176175.4106607437,194027.72996239364,207808.90098350192,218733.2358305418,227588.89280778635,234904.15359495406,241044.17008768392,0.277307104796483,0.27967921590980316,0.28202171391718056,0.28411969532988723,0.2859466937684332,0.2875275588359869,0.2888977378785158
Germany,2020-03-18,0.0,402829,92428.0,224559.55799555779,247650.1839699149,265602.0841529183,279913.63071189297,291568.28120681306,301231.6920844036,309367.7530789155,0.2746362114516998,0.2763648990683669,0.27810735197528724,0.2797032405662814,0.28111823740476405,0.28236000715346354,0.2834483944016475
Germany,2020-03-19,0.0,516278,113449.0,281868.66849666834,311569.14717593195,334784.07012743194,353374.96918162255,368571.2460559614,381210.5040750254,391879.977771024,0.25520673006599104,0.25810182000019055,0.26047230086749873,0.2624428766934228,0.2640992515730103,0.2655059679716971,0.26671242839928677
Germany,2020-03-20,0.0,647598,131320.0,342721.50137250125,380575.3177407456,410306.7251061933,434212.8307271051,453819.8402989662,470173.78140002256,484011.9799939216,0.21589073095774802,0.22147947314516458,0.2255861664804255,0.22875944420368577,0.2312947500795035,0.23337047739767547,0.23510260143152917
Germany,2020-03-21,0.0,792967,145369.0,402410.12602937594,449829.2541925965,487291.27092182776,517551.4263375187,542461.3602615955,563301.2501333533,580979.7819945294,0.17416072355495316,0.18197169712153483,0.18762681941347603,0.1919302925039319,0.19532314828773067,0.19807031446123569,0.200341739478898
Germany,2020-03-22,0.0,947107,154140.0,455947.59452203196,514003.4033540772,560216.0591015231,597755.5082893018,628793.690228896,654852.2223407584,677021.8037950764,0.13304205095660993,0.14266335184595236,0.14965338501085967,0.15496833332940785,0.1591492708820179,0.16252577494854092,0.1653104372596763
Germany,2020-03-23,0.0,1112783,165676.0,507636.69589152397,576878.7226832618,632522.715917936,678037.864247973,715870.478950284,747766.8643028963,774995.6234155688,0.11336632102133914,0.12232471403671275,0.12906923256069902,0.1343063423847466,0.13848228771139537,0.14188642687966468,0.14471294583320016
Germany,2020-03-24,0.0,1291339,178556.0,559283.521918643,640058.9781466095,705658.2632649466,759731.3122125483,804942.6690814984,843237.65715813,876052.061074012,0.10173974112808315,0.10952086284180229,0.1156251712491847,0.1204850824299959,0.12442500808501755,0.12767454324716043,0.13039613980407538
Germany,2020-03-25,0.0,1484357,193018.0,612480.6414389822,705065.1825172876,781066.5527207889,844216.2676107557,897342.8354463112,942562.5841405599,981464.8549666108,0.09511655079313708,0.101562834973292,0.10686233461922834,0.11120372958192792,0.11479099060588815,0.11778995653155921,0.12032708851043172
Germany,2020-03-26,0.0,1690178,205821.0,665181.4810792366,769873.1460138301,856709.7939339908,929434.9436663621,990995.9810155223,1043654.4081249421,1089139.3694699497,0.08604490668707054,0.09191769087952872,0.09684608942695627,0.10094412927718932,0.10436718483703156,0.10725210790810147,0.10970796759401225
Germany,2020-03-27,0.0,1909369,219191.0,718077.1108094275,835089.5168110641,933115.8282783256,1015849.5231425961,1086312.483388582,1146883.8072221708,1199416.432522955,0.07952059886629637,0.08471054112603427,0.08918543348673547,0.09297539334528637,0.09618253171459301,0.09891147710734383,0.10125156260458534
Germany,2020-03-28,0.0,2137912,228543.0,767100.8331070705,896614.6134488513,1006139.5235652714,1099271.1626936537,1179066.4229650092,1247995.273086374,1308017.7892706594,0.06827083269982359,0.07367485209577485,0.07825791083372846,0.08212007551373102,0.08538421586309664,0.08816190901596377,0.09054516330017526
