Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-03-18,0.0,15784,3548.0,8456.88313946873,9327.026995268945,10017.169608055985,10576.737188594874,11038.93663322431,11426.784589457588,11756.673953565421,0.29207849818319165,0.29115534541085974,0.2903729297267814,0.28981557992975326,0.2894341558344935,0.2891762354928018,0.2890031469227792
Germany,2020-03-19,0.0,19758,3974.0,10316.662354601547,11435.621596215156,12321.641340046655,13039.774733081322,13633.069554071271,14131.141857295634,14555.00655820888,0.2199130796135904,0.22607360330529525,0.2300521826182691,0.232873096926564,0.23499844296952488,0.23666826364549665,0.23802077149505485
Germany,2020-03-20,0.0,23745,3987.0,11724.49676595116,13135.497276972126,14255.03445003888,15163.949771212563,15915.935859812362,16548.014984262787,17086.50590238799,0.13646219707109797,0.14864742300668432,0.15691035444348556,0.16289967285572082,0.16745064614295568,0.17103169378484218,0.17392636231767078
Germany,2020-03-21,0.0,27040,3295.0,12088.37257446337,13803.397821577702,15174.195375032401,16292.671232467912,17221.443877335816,18004.346652678032,18672.855312149193,0.031035516131398877,0.05084699349574495,0.064479740698979,0.07443452914873983,0.08202521227921333,0.08800642674062242,0.09284223578675
Germany,2020-03-22,0.0,29254,2214.0,11280.279430847528,13256.718257262162,14859.162812527002,16179.146770686782,17282.76339266884,18217.863691269362,19019.569780934275,-0.06684879528969312,-0.039604709752041,-0.020761071985652246,-0.00696782376329419,0.003560648907826147,0.0118591939330146,0.018567833520323873
Germany,2020-03-23,0.0,32913,3659.0,12119.209573135646,14264.374605809731,16041.635677105834,17526.840089160098,18781.417968585236,19852.65661446165,20776.61280284085,0.07437139721857822,0.07601099525484489,0.07957870032771641,0.08329817001938888,0.08671382821523266,0.08973570946058507,0.09238079736524218
Germany,2020-03-24,0.0,37744,4831.0,13920.407179851734,16242.499684647786,18199.02973092153,19854.005790708656,21264.74072251208,22477.805879521467,23529.951522556767,0.14862335665097826,0.13867590648049766,0.1344871618605994,0.13277725418330544,0.13222232517696897,0.13223163609990252,0.13252105845373618
Germany,2020-03-25,0.0,43358,5614.0,16054.305384888801,18607.99974771823,20779.858109101275,22631.71924917885,24220.648132198072,25594.27189290797,26790.95637030109,0.1532928008115777,0.1456364543018145,0.14181131721515472,0.13990695317365698,0.13900509995669474,0.138646362108936,0.13858952682576464
Germany,2020-03-26,0.0,49161,5803.0,17843.7290386666,20689.399798174585,23119.548424251065,25201.616499296157,26996.06711567331,28553.463904807086,29914.86073327098,0.11146067119553504,0.1118551203071454,0.11259414298527082,0.11355289546597547,0.11458896427241738,0.11561930826870248,0.11660294316454012
Germany,2020-03-27,0.0,55058,5897.0,19279.79677899995,22448.51983853967,25163.290353542554,27498.385570825278,29518.55872621415,31277.856804272964,32820.37465994388,0.08048024811525956,0.08502518475766951,0.08839886886145765,0.09113578375392173,0.09343922578546016,0.09541374414496917,0.09712610573651848
Germany,2020-03-28,0.0,59689,4631.0,19090.84758424996,22589.815870831735,25600.40862795213,28201.044774993097,30459.73888543738,32433.539381575967,34169.3371939495,-0.009800372738150265,0.0062942248891388886,0.017371268553042718,0.02555274390047524,0.031884353431775425,0.036948905563923384,0.04110137522750401
Germany,2020-03-29,0.0,62687,2998.0,17316.13568818747,21069.852696665388,24331.673856626774,27170.324092851228,29650.271524757707,31827.81278362308,33750.40347455455,-0.09296139881849119,-0.06728532816989197,-0.0495591609401137,-0.036549024703363076,-0.02657499342736236,-0.018675932676560425,-0.012260516410284028
Germany,2020-03-30,0.0,66731,4044.0,17031.101766140604,20899.88215733231,24320.39488052231,27332.84922244391,29987.987584162995,32335.389140998293,34419.363127099095,-0.01646059647368714,-0.008067001785920236,-0.00046355117904850474,0.005981714794320192,0.011389982014947009,0.0159475726725522,0.01982078978845081
