"date","R_calc","lower","upper"
2019-12-28,NA,NA,NA
2019-12-29,NA,NA,NA
2019-12-30,NA,NA,NA
2019-12-31,NA,NA,NA
2020-01-01,NA,NA,NA
2020-01-02,NA,NA,NA
2020-01-03,NA,NA,NA
2020-01-04,NA,NA,NA
2020-01-05,NA,NA,NA
2020-01-06,NA,NA,NA
2020-01-07,NA,NA,NA
2020-01-08,NA,NA,NA
2020-01-09,NA,NA,NA
2020-01-10,NA,NA,NA
2020-01-11,0.617053045918784,0.609199571549688,0.636763272013282
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,2.72026475619071,2.62629889626284,2.76062778236923
2020-01-24,2.72026475619071,2.67548172838822,2.74268182990282
2020-01-25,2.53263165118658,2.50147521038272,2.54599448770153
2020-01-26,2.30196465813366,2.28429538533994,2.31522354698721
2020-01-27,2.0730851888853,2.05993477638191,2.08624150829943
2020-01-28,2.14332046298224,2.13453186817232,2.14771574468881
2020-01-29,2.20931862390204,2.19170466535013,2.22694310030972
2020-01-30,2.08624150829943,2.06431759079229,2.11257186331766
2020-01-31,2.1257458979464,2.09940373335682,2.16530343457613
2020-02-01,2.04241008479826,2.01614275677831,2.08624150829943
2020-02-02,1.88516222635842,1.85903778655871,1.92875623719963
2020-02-03,1.73744458465576,1.7114586410842,1.78080958339559
2020-02-04,1.69414858219334,1.66820452459134,1.74177799530898
2020-02-05,1.57760282979113,1.55177582075098,1.6207067708404
2020-02-06,1.45302628169388,1.43161409370385,1.49591048002063
2020-02-07,1.32912625416859,1.31209378627827,1.37603876336567
2020-02-08,1.18061004449156,1.16371596421945,1.22715621801422
2020-02-09,1.00834691507031,0.99165894854391,1.05854622523942
2020-02-10,0.813977221997539,0.797638550389006,0.875563974080304
2020-02-11,0.736731173648702,0.720595698363115,0.793559883242988
2020-02-12,0.613124058651343,0.593547946274673,0.676486564168091
2020-02-13,0.416882208568319,0.388571488488569,0.508978900986552
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0.871443660524972,0.805803142942949,0.892064584956547
2020-02-21,1.07951927956306,1.00834691507031,1.10893425763264
2020-02-22,1.10052385438722,1.03760589585848,1.12576938833084
2020-02-23,1.03342186983578,0.98332386280195,1.05854622523942
2020-02-24,1.07532210986907,1.02923921553555,1.10052385438722
2020-02-25,1.37176963908515,1.32486678264997,1.39312378723008
2020-02-26,1.80251767922191,1.7721311079166,1.81120566475819
2020-02-27,2.31080325660224,2.29754634968454,2.32848838499048
2020-02-28,2.63523512579311,2.59950645172988,2.6799569686646
2020-02-29,2.61289963002642,2.56382102342176,2.66206008499025
2020-03-01,2.53263165118658,2.48813251037972,2.5905810451858
