"values_r","values_R_consensus","values_R_hzi"
-1,5.44289503011212e-10,2.51975589326665e-16
-0.999,5.59492930021212e-10,2.63296264117388e-16
-0.998,5.75120855593308e-10,2.75124662748522e-16
-0.997,5.91185126500437e-10,2.87483514433339e-16
-0.996,6.07697919938123e-10,3.00396563933031e-16
-0.995,6.24671752733823e-10,3.13888616839186e-16
-0.994,6.42119490812772e-10,3.27985586871052e-16
-0.993,6.60054358927386e-10,3.42714545276989e-16
-0.992,6.78489950657587e-10,3.58103772433562e-16
-0.991,6.97440238689614e-10,3.74182811739751e-16
-0.99,7.16919585380996e-10,3.90982525908186e-16
-0.989,7.36942753619695e-10,4.08535155759743e-16
-0.988,7.57524917985622e-10,4.26874381632583e-16
-0.987,7.78681676222867e-10,4.4603538752163e-16
-0.986,8.00429061031313e-10,4.66054928069594e-16
-0.985,8.22783552186585e-10,4.86971398536046e-16
-0.984,8.45762088997318e-10,5.08824907876603e-16
-0.983,8.69382083109287e-10,5.31657355070153e-16
-0.982,8.93661431665907e-10,5.55512508838168e-16
-0.981,9.18618530835086e-10,5.80436090906446e-16
-0.98,9.44272289712636e-10,6.06475862966399e-16
-0.979,9.70642144612597e-10,6.3368171749981e-16
-0.978,9.97748073755402e-10,6.62105772638365e-16
-0.977,1.02561061236478e-09,6.91802471236721e-16
-0.976,1.05425086818485e-09,7.22828684345878e-16
-0.975,1.08369053742907e-09,7.55243819281782e-16
-0.974,1.11395192117305e-09,7.89109932492791e-16
-0.973,1.14505794220351e-09,8.24491847438574e-16
-0.972,1.1770321623362e-09,8.61457277702402e-16
-0.971,1.2098988002156e-09,9.00076955568698e-16
-0.97,1.24368274961001e-09,9.40424766307765e-16
-0.969,1.27840959821568e-09,9.82577888420528e-16
-0.968,1.31410564698407e-09,1.02661694010707e-15
-0.967,1.35079792998702e-09,1.0726261322346e-15
-0.966,1.3885142348344e-09,1.12069342809248e-15
-0.965,1.42728312365995e-09,1.17091071023474e-15
-0.964,1.46713395469092e-09,1.22337395472382e-15
-0.963,1.50809690441767e-09,1.27818341310292e-15
-0.962,1.55020299038014e-09,1.33544380243909e-15
-0.961,1.59348409458804e-09,1.39526450379397e-15
-0.96,1.63797298759248e-09,1.45775976949516e-15
-0.959,1.68370335322734e-09,1.52304893959736e-15
-0.958,1.73070981403855e-09,1.59125666793984e-15
-0.957,1.7790279574208e-09,1.66251315822446e-15
-0.956,1.82869436248109e-09,1.73695441055754e-15
-0.955,1.87974662764945e-09,1.81472247891805e-15
-0.954,1.9322233990573e-09,1.89596574003525e-15
-0.953,1.98616439970534e-09,1.98083917418006e-15
-0.952,2.04161045944209e-09,2.06950465839673e-15
-0.951,2.09860354577642e-09,2.1621312727247e-15
-0.95,2.15718679554657e-09,2.25889561998447e-15
-0.949,2.21740454746981e-09,2.35998215972696e-15
-0.948,2.27930237559712e-09,2.46558355697207e-15
-0.947,2.34292712369783e-09,2.57590104638955e-15
-0.946,2.40832694060038e-09,2.69114481260449e-15
-0.945,2.47555131651545e-09,2.81153438733939e-15
-0.944,2.5446511203687e-09,2.9372990641364e-15
-0.943,2.61567863817155e-09,3.06867833143579e-15
-0.942,2.68868761245828e-09,3.20592232482124e-15
-0.941,2.76373328281938e-09,3.34929229927798e-15
-0.94,2.8408724275615e-09,3.4990611223469e-15
-0.939,2.92016340652526e-09,3.65551378909733e-15
-0.938,3.00166620509295e-09,3.81894795988082e-15
-0.937,3.08544247941932e-09,3.98967452187111e-15
-0.936,3.17155560291925e-09,4.16801817544032e-15
-0.935,3.26007071404722e-09,4.35431804646588e-15
-0.934,3.35105476540447e-09,4.5489283257132e-15
-0.933,3.44457657421049e-09,4.75221893648687e-15
-0.932,3.54070687417711e-09,4.96457623179825e-15
-0.931,3.63951836882333e-09,5.18640372234976e-15
-0.93,3.74108578627198e-09,5.41812283669539e-15
-0.929,3.84548593556801e-09,5.66017371499497e-15
-0.928,3.95279776456173e-09,5.91301603784408e-15
-0.927,4.06310241939964e-09,6.17712989172356e-15
-0.926,4.17648330566803e-09,6.45301667268486e-15
-0.925,4.29302615123437e-09,6.74120002995313e-15
-0.924,4.41281907083467e-09,7.04222685120907e-15
-0.923,4.53595263245404e-09,7.35666829138389e-15
-0.922,4.6625199255512e-09,7.68512084688471e-15
-0.921,4.79261663117726e-09,8.02820747725096e-15
-0.92,4.9263410940417e-09,8.38657877633022e-15
-0.919,5.06379439657961e-09,8.76091419515408e-15
-0.918,5.20508043507508e-09,9.15192331878972e-15
-0.917,5.35030599789865e-09,9.56034719954356e-15
-0.916,5.49958084591643e-09,9.9869597489967e-15
-0.915,5.65301779513167e-09,1.04325691914617e-14
-0.914,5.81073280162063e-09,1.08980195815632e-14
-0.913,5.97284504882605e-09,1.1384192388763e-14
-0.912,6.13947703727355e-09,1.18920081517764e-14
-0.911,6.31075467677852e-09,1.24224282059511e-14
-0.91,6.48680738121196e-09,1.29764564868214e-14
-0.909,6.66776816589627e-09,1.35551414131835e-14
-0.908,6.85377374770437e-09,1.4159577853192e-14
-0.907,7.04496464793594e-09,1.47909091771246e-14
-0.906,7.24148529804906e-09,1.54503294006273e-14
-0.905,7.44348414832511e-09,1.61390854224155e-14
-0.904,7.65111377954863e-09,1.68584793605823e-14
-0.903,7.8645310177862e-09,1.76098709918479e-14
-0.902,8.08389705234877e-09,1.83946802982717e-14
-0.901,8.3093775570272e-09,1.92143901261497e-14
-0.9,8.54114281469022e-09,2.00705489620228e-14
-0.899,8.77936784533864e-09,2.09647738309424e-14
-0.898,9.02423253771165e-09,2.18987533223593e-14
-0.897,9.27592178454266e-09,2.28742507492417e-14
-0.896,9.53462562156645e-09,2.38931074462706e-14
-0.895,9.80053937038144e-09,2.49572462132181e-14
-0.894,1.00738637852732e-08,2.6068674909881e-14
-0.893,1.03548052041087e-08,2.72294902092201e-14
-0.892,1.06435757034159e-08,2.84418815156495e-14
-0.891,1.09403932577609e-08,2.97081350557193e-14
-0.89,1.12454819035447e-08,3.10306381487559e-14
-0.889,1.15590719073409e-08,3.24118836653537e-14
-0.888,1.18813999388986e-08,3.38544746819565e-14
-0.887,1.2212709248942e-08,3.53611293401274e-14
-0.886,1.25532498518961e-08,3.69346859194824e-14
-0.885,1.29032787136791e-08,3.85781081336558e-14
-0.884,1.32630599446966e-08,4.02944906590709e-14
-0.883,1.36328649981852e-08,4.20870649067244e-14
-0.882,1.4012972874052e-08,4.39592050476302e-14
-0.881,1.44036703283617e-08,4.59144343030382e-14
-0.88,1.48052520886277e-08,4.79564315110316e-14
-0.879,1.52180210750677e-08,5.00890379816026e-14
-0.878,1.56422886279889e-08,5.23162646528522e-14
-0.877,1.60783747414704e-08,5.46422995614903e-14
-0.876,1.65266083035208e-08,5.70715156414081e-14
-0.875,1.69873273428841e-08,5.96084788646803e-14
-0.874,1.74608792826836e-08,6.22579567399923e-14
-0.873,1.79476212010885e-08,6.50249271841327e-14
-0.872,1.8447920099198e-08,6.79145877828815e-14
-0.871,1.89621531763446e-08,7.09323654583326e-14
-0.87,1.94907081130178e-08,7.40839265604314e-14
-0.869,2.00339833616217e-08,7.73751874012899e-14
-0.868,2.05923884452814e-08,8.08123252516391e-14
-0.867,2.11663442649196e-08,8.44017898196419e-14
-0.866,2.17562834148346e-08,8.81503152331457e-14
-0.865,2.23626505070108e-08,9.20649325473987e-14
-0.864,2.29859025044054e-08,9.61529828011929e-14
-0.863,2.36265090634577e-08,1.0042213064541e-13
-0.862,2.42849528860761e-08,1.04880378568988e-13
-0.861,2.4961730081363e-08,1.09536081748409e-13
-0.86,2.56573505373499e-08,1.14397963547959e-13
-0.859,2.6372338303013e-08,1.1947513169918e-13
-0.858,2.7107231980859e-08,1.24777095189196e-13
-0.857,2.78625851303682e-08,1.30313781888855e-13
-0.856,2.86389666825963e-08,1.36095556953002e-13
-0.855,2.94369613662434e-08,1.42133242026604e-13
-0.854,3.02571701455026e-08,1.48438135291882e-13
-0.853,3.11002106700196e-08,1.55022032393191e-13
-0.852,3.19667177372901e-08,1.61897248277924e-13
-0.851,3.2857343767841e-08,1.69076639993444e-13
-0.85,3.37727592935505e-08,1.7657363048172e-13
-0.849,3.4713653459464e-08,1.84402233415227e-13
-0.848,3.568073453948e-08,1.92577079119502e-13
-0.847,3.66747304662902e-08,2.01113441629753e-13
-0.846,3.76963893759637e-08,2.10027266930985e-13
-0.845,3.87464801675778e-08,2.19335202433219e-13
-0.844,3.98257930783158e-08,2.29054627735666e-13
-0.843,4.09351402744486e-08,2.39203686736024e-13
-0.842,4.20753564586473e-08,2.49801321143523e-13
-0.841,4.3247299494069e-08,2.60867305456884e-13
-0.84,4.44518510456792e-08,2.72422283471006e-13
-0.839,4.56899172392912e-08,2.84487806378993e-13
-0.838,4.69624293387993e-08,2.97086372538975e-13
-0.837,4.82703444421183e-08,3.10241468978248e-13
-0.836,4.9614646196334e-08,3.23977614710352e-13
-0.835,5.09963455325997e-08,3.38320405944048e-13
-0.834,5.2416481421321e-08,3.53296563266499e-13
-0.833,5.38761216481838e-08,3.68933980886612e-13
-0.832,5.53763636116012e-08,3.85261778028172e-13
-0.831,5.6918335142171e-08,4.02310352566298e-13
-0.83,5.85031953447432e-08,4.20111437004832e-13
