date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive,R.HZI,lower.HZI,upper.HZI
2020-03-02,NA,NA,NA,NA,NA,NA,2.348476737054767,2.1313281096863728,2.579897476372141,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.055,1.654,2.588,2.43482191308906,2.39046977980193,2.49702697367335
2020-03-03,NA,NA,NA,NA,NA,NA,2.2287691225084547,2.0469875024112576,2.421007399370461,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.041,1.691,2.555,2.39046977980193,2.34175917730846,2.4525814235076
2020-03-04,NA,NA,NA,NA,NA,NA,2.1171404007600256,1.963090370033997,2.279046592532547,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.053,1.698,2.542,2.40820264640533,2.35503592928902,2.47479583712569
2020-03-05,NA,NA,NA,NA,NA,NA,2.02507406653347,1.8925625415907401,2.1636313712751654,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.048,1.687,2.491,2.39490199913044,2.34175917730846,2.47035161752699
2020-03-06,NA,NA,NA,NA,NA,NA,1.9653643841351405,1.8494215314442415,2.086054728698327,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.056,1.705,2.478,2.3373349179521,2.28429538533994,2.41263752600781
2020-03-07,NA,NA,NA,NA,NA,NA,1.9380637535716592,1.8351465487938827,2.044758758450729,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.048,1.727,2.423,2.23135086368987,2.1785010948237,2.30638362704573
2020-03-08,1.8460726177277902,1.7277371093953984,1.9696920812908323,NA,NA,NA,1.9379779048974421,1.845724897869377,2.033254910360825,1.8454585502248912,1.7244868939428573,1.9664302065069252,NA,NA,NA,NA,NA,NA,2.032,1.719,2.36,2.09062826051647,2.04241008479826,2.16090552753959
2020-03-09,2.007731542945257,1.8957041565846309,2.1240879623605804,NA,NA,NA,1.9515773453698997,1.86861664782461,2.0369579387051506,2.0072831815117644,1.8930923126846724,2.1214740503388563,NA,NA,NA,NA,NA,NA,2.012,1.718,2.333,2.02051900143103,1.97241651109876,2.09062826051647
2020-03-10,2.2677430999108625,2.161296742171376,2.377628497417965,NA,NA,NA,1.9794424145856744,1.904706878262371,2.0561078096747867,2.2674568069667913,2.1592882856752076,2.375625328258375,NA,NA,NA,NA,NA,NA,1.987,1.697,2.277,2.02051900143103,1.97241651109876,2.09062826051647
2020-03-11,2.2710871999214057,2.1788518900166185,2.365889531668658,NA,NA,NA,2.0204736901342146,1.9531569737467782,2.0893196716180076,2.270874190974593,2.1773536388108825,2.3643947431383037,NA,NA,NA,2.280216105957092,2.1147303278792324,2.4469360127064705,1.946,1.676,2.226,2.03365167995924,1.98552746846825,2.10379245393184
2020-03-12,2.2724291574463256,2.1927426339581118,2.35402329603241,NA,NA,NA,2.054846751336286,1.9920760213334774,2.1176174813390944,2.27227107643391,2.1916296294772644,2.3529125233905552,NA,NA,NA,2.26361740682015,2.12056700464775,2.405711346268909,1.908,1.662,2.169,2.04241008479826,1.99427140188172,2.11696255211723
2020-03-13,2.3829606975740747,2.3124334504138244,2.4549075941259795,NA,NA,NA,2.0671076162100883,2.0012195633647427,2.132995669055434,2.3828553157576233,2.3116171778824146,2.454093453632832,2.306988129301196,1.9099513736544502,2.7063671113052825,2.2248395055470365,2.0935408483773488,2.355644896186142,1.856,1.638,2.114,2.05993477638191,2.01176716979737,2.13453186817232
2020-03-14,2.1980602017291186,2.140196459097709,2.2569576288023585,NA,NA,NA,2.060593426551628,1.995373978147934,2.1258128749553222,2.1979685457328717,2.1395876677385326,2.256349423727211,2.3728487609449793,2.0386656246787567,2.7082959497816392,2.1207640004352393,1.996114302711086,2.2428645452426244,1.807,1.6,2.052,2.03365167995924,1.98552746846825,2.10379245393184
2020-03-15,1.9194235132273043,1.872433540967283,1.9671931519928434,NA,NA,NA,2.0326494663195547,1.9705703013671354,2.094728631271974,1.9193374155087977,1.8719578233203131,1.9667170076972822,2.4336385855793767,2.158400966814131,2.7039452830514374,2.0412316668271435,1.9207318786427796,2.1646462222935003,1.756,1.562,1.98,1.95494447083643,1.90695092670736,2.02489590360545
2020-03-16,1.951552016175592,1.9090563906157996,1.9946736483554957,1.9538759014528313,1.9933385014569018,1.9149376058639864,1.9843054813366592,1.9279497336125104,2.0406612290608077,1.9514844588936724,1.908675947766364,1.9942929700209808,2.479998209665715,2.2667091531279566,2.7025524263528555,2.0250978866430724,1.9014307832139752,2.1479895195033087,1.698,1.513,1.905,1.90695092670736,1.85903778655871,1.97241651109876
2020-03-17,2.0334902827233727,1.9946450386776542,2.072836618411436,1.8810184268421937,1.9155788181446665,1.8468762443478608,1.9196041155263512,1.8698854912805634,1.9693227397721391,2.033439413373586,1.9943436444560696,2.0725351822911025,2.509059860142827,2.332830081462694,2.6974279225345077,1.960734771735447,1.8378327883085488,2.085302921578066,1.633,1.468,1.835,1.88951863517447,1.84598459741363,1.95931149055279
2020-03-18,2.025858443114932,1.9915062475180367,2.060603421801821,1.8027044695640557,1.833150618783196,1.772597314867028,1.8457610871521561,1.8006161821363005,1.8909059921680118,2.0258183352749373,1.9912697666891637,2.060366903860711,2.5171464987851477,2.360117552343989,2.692127217535843,1.834181149256482,1.7138848405807052,1.957175877262304,1.572,1.405,1.771,1.88516222635842,1.84163487579535,1.95057811180311
2020-03-19,1.9491441337555038,1.9192949221382942,1.9793012332479933,1.7242150853585674,1.751252344071185,1.6974575518168986,1.7680630725104853,1.7244752325524437,1.811650912468527,1.9491108503844004,1.9191077363514677,1.979113964417333,2.496626902434877,2.3493600755020623,2.67876903809633,1.6972786391744343,1.577585922696032,1.817987753613031,1.509,1.358,1.683,1.86774326079215,1.82424271185517,1.93311928834549
2020-03-20,1.7989541925976604,1.7733388401690935,1.824815036436045,1.6489879815790682,1.6732182099868003,1.624992812459825,1.687395231226776,1.644967837209524,1.7298226252440279,1.7989247751179833,1.77318674895305,1.8246628012829167,2.4469401916580087,2.3016291707423013,2.625506894424735,1.5641542664870118,1.4392345931226869,1.6844708136944295,1.453,1.304,1.608,1.82858974325944,1.78514984328218,1.89387571004731
2020-03-21,1.642998510423108,1.620756825240405,1.6654427531421254,1.5785141213219023,1.6004333158277007,1.5567959804070683,1.6053517590761133,1.5644080984905824,1.6462954196616442,1.6429717707715688,1.6206288968117724,1.6653146447313651,2.3721081896996856,2.2306744620986967,2.550173066109003,1.4820767611898498,1.3588097050853962,1.603831838365609,1.403,1.251,1.558,1.75911851754431,1.72011784989631,1.82424271185517
2020-03-22,1.4926878726344648,1.473062031475602,1.512487263464454,1.5140682096272102,1.5340846756413389,1.4942266199678012,1.525098316392362,1.484977912255394,1.5652187205293298,1.4926629251185253,1.472950410904728,1.5123754393323225,2.272843324845014,2.1397558472127383,2.448453870509321,1.4199683750439789,1.2978498835699337,1.5369605416336063,1.343,1.199,1.496,1.65956215150312,1.6207067708404,1.72011784989631
2020-03-23,1.4263284130348906,1.4082363405270848,1.4445747826093103,1.4563269581023364,1.4747744792042756,1.438033918806896,1.4497127227944022,1.4101349865781263,1.4892904590106781,1.426305433459594,1.4081363098895343,1.4444745570296535,2.158140169473387,2.0290609958621473,2.3136697602310634,1.3622652599291083,1.2400023041507258,1.485019139443276,1.288,1.158,1.438,1.56899085269293,1.53457278490483,1.62933627933467
2020-03-24,1.3902792415484524,1.3732889034787208,1.4074091415465226,1.4052538816069258,1.4224023798571048,1.3882437688541873,1.3799363167271466,1.3416761028026842,1.4181965306516089,1.3902580636095134,1.3731980343242851,1.4073180928947417,2.0299496403129758,1.9059929608681943,2.1677922213556826,1.3155610949107532,1.195835135477051,1.437632645581243,1.239,1.108,1.375,1.50449672110765,1.47017048205227,1.56038184480216
