date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive
2019-12-28,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-29,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-30,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-31,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-04,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-05,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-06,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-07,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-08,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-09,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-10,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-11,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-12,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-13,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-14,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-15,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-16,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-17,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-18,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-19,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-20,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-21,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-23,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-24,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-25,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-26,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-27,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-28,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-29,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-30,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-31,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-02,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-03,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-04,NA,NA,NA,0.8420331866751014,NA,NA,NA,NA
2020-02-05,NA,NA,NA,0.7757924225849949,NA,NA,NA,NA
2020-02-06,NA,NA,NA,0.7201014643050521,NA,NA,NA,NA
2020-02-07,NA,NA,NA,0.6864685394562228,NA,NA,NA,NA
2020-02-08,NA,NA,NA,0.69107331066052,NA,NA,NA,NA
2020-02-09,NA,NA,NA,0.7509285709970188,NA,NA,NA,NA
2020-02-10,NA,NA,NA,0.8763751193026136,NA,NA,NA,NA
2020-02-11,NA,NA,NA,1.072127275776297,NA,NA,NA,NA
2020-02-12,NA,NA,NA,1.327645556281855,NA,NA,NA,NA
2020-02-13,NA,NA,NA,1.5935391333280169,NA,NA,NA,NA
2020-02-14,NA,NA,NA,1.8085195301919514,NA,NA,NA,NA
2020-02-15,NA,NA,NA,2.011938857569247,NA,NA,NA,2.03
2020-02-16,NA,NA,NA,2.224316228697264,NA,NA,NA,2.033
2020-02-17,NA,NA,NA,2.3863022371006473,NA,NA,NA,2.037
2020-02-18,NA,NA,NA,2.5270922717038156,NA,NA,NA,2.035
2020-02-19,NA,NA,NA,2.6311593405234257,NA,NA,NA,2.025
2020-02-20,NA,NA,NA,2.6633271874249287,NA,NA,NA,2.041
2020-02-21,NA,NA,NA,2.640829813908843,NA,NA,NA,2.041
2020-02-22,NA,NA,NA,2.570380595933123,NA,NA,NA,2.047
2020-02-23,NA,NA,NA,2.4645639944271824,NA,NA,NA,2.05
2020-02-24,NA,NA,NA,2.348476737054767,NA,NA,NA,2.055
2020-02-25,NA,NA,NA,2.2287691225084547,NA,NA,NA,2.041
2020-02-26,NA,NA,NA,2.1171404007600256,NA,NA,NA,2.053
2020-02-27,NA,NA,NA,2.02507406653347,NA,NA,NA,2.048
2020-02-28,NA,NA,NA,1.9653643841351405,NA,NA,NA,2.056
2020-02-29,NA,NA,NA,1.9380637535716592,NA,NA,NA,2.048
2020-03-01,1.8460726177277902,NA,NA,1.9379779048974421,1.8454585502248912,NA,NA,2.032
2020-03-02,2.007731542945257,NA,NA,1.9515773453698997,2.0072831815117644,NA,NA,2.012
2020-03-03,2.2677430999108625,NA,NA,1.9794424145856744,2.2674568069667913,NA,NA,1.987
2020-03-04,2.2710871999214057,NA,NA,2.0204736901342146,2.270874190974593,NA,2.280216105957092,1.946
2020-03-05,2.2724291574463256,NA,NA,2.054846751336286,2.27227107643391,NA,2.26361740682015,1.908
2020-03-06,2.3829606975740747,NA,NA,2.0671076162100883,2.3828553157576233,2.306988129301196,2.2248395055470365,1.856
2020-03-07,2.1980602017291186,NA,NA,2.060593426551628,2.1979685457328717,2.3728487609449793,2.1207640004352393,1.807
2020-03-08,1.9194235132273043,3.1182033096926713,NA,2.0326494663195547,1.9193374155087977,2.4336385855793767,2.0412316668271435,1.756
2020-03-09,1.951552016175592,2.842700156985871,1.9538759014528313,1.9843054813366592,1.9514844588936724,2.479998209665715,2.0250978866430724,1.698
2020-03-10,2.0334902827233727,2.500231964741359,1.8810184268421937,1.9196041155263512,2.033439413373586,2.509059860142827,1.960734771735447,1.633
2020-03-11,2.025858443114932,2.1820173516782053,1.8027044695640557,1.8457610871521561,2.0258183352749373,2.5171464987851477,1.834181149256482,1.572
2020-03-12,1.9491441337555038,1.9914535805362188,1.7242150853585674,1.7680630725104853,1.9491108503844004,2.496626902434877,1.6972786391744343,1.509
2020-03-13,1.7989541925976604,1.7426551800309256,1.6489879815790682,1.687395231226776,1.7989247751179833,2.4469401916580087,1.5641542664870118,1.453
2020-03-14,1.642998510423108,1.5589831609222062,1.5785141213219023,1.6053517590761133,1.6429717707715688,2.3721081896996856,1.4820767611898498,1.403
2020-03-15,1.4926878726344648,1.3948752961966344,1.5140682096272102,1.525098316392362,1.4926629251185253,2.272843324845014,1.4199683750439789,1.343
2020-03-16,1.4263284130348906,1.2356890703952377,1.4563269581023364,1.4497127227944022,1.426305433459594,2.158140169473387,1.3622652599291083,1.288
2020-03-17,1.3902792415484524,1.1317340600836607,1.4052538816069258,1.3799363167271466,1.3902580636095134,2.0299496403129758,1.3155610949107532,1.239
2020-03-18,1.369643197038321,1.0370756092480733,1.3599177338387922,1.3145013323032384,1.369623692205195,1.8983635890849757,1.2869373941666502,1.194
2020-03-19,1.3363894697975105,0.9787797644755406,1.3195071969054786,1.2527666516133074,1.3363713199488692,1.7689626162217955,1.2546557953342483,1.147
2020-03-20,1.3118093939741817,0.919644857719023,1.2828371824418834,1.1966881358105637,1.3117924569875774,1.645895970348199,1.2252864765629412,1.109
2020-03-21,1.268615384774689,0.8950522218799877,1.249709991750021,1.1471966228996218,1.268599341018312,1.5338804229863658,1.1980954077142618,1.069
