date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive,HZI
2019-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-11,NA,NA,NA,NA,NA,NA,NA,NA,0.305457
2020-01-12,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-13,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-14,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-15,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-16,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-17,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-18,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-19,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-20,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-21,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-23,NA,NA,NA,NA,NA,NA,NA,NA,8.921558999999998
2020-01-24,NA,NA,NA,NA,NA,NA,NA,NA,8.9354885
2020-01-25,NA,NA,NA,NA,NA,NA,NA,NA,7.696003
2020-01-26,NA,NA,NA,NA,NA,NA,NA,NA,6.3286605
2020-01-27,NA,NA,NA,NA,NA,NA,NA,NA,5.0697434999999995
2020-01-28,NA,NA,NA,NA,NA,NA,NA,NA,5.4313835
2020-01-29,NA,NA,NA,NA,NA,NA,NA,NA,5.794380500000001
2020-01-30,NA,NA,NA,NA,NA,NA,NA,NA,5.135161500000001
2020-01-31,NA,NA,NA,0.782111153706469,NA,NA,NA,NA,5.3514870000000005
2020-02-01,NA,NA,NA,0.7012140541007923,NA,NA,NA,NA,4.91814
2020-02-02,NA,NA,NA,0.6356935853775888,NA,NA,NA,NA,4.143936500000001
2020-02-03,NA,NA,NA,0.5954814331969664,NA,NA,NA,NA,3.475792
2020-02-04,NA,NA,NA,0.5955476273487254,NA,NA,NA,NA,3.2939855
2020-02-05,NA,NA,NA,0.6547562140628402,NA,NA,NA,NA,2.8060115000000003
2020-02-06,NA,NA,NA,0.7934009584759062,NA,NA,NA,NA,2.3440325
2020-02-07,NA,NA,NA,1.0374263509504362,NA,NA,NA,NA,1.928878
2020-02-08,NA,NA,NA,1.4081441989894516,NA,NA,NA,NA,1.4697795
2020-02-09,NA,NA,NA,1.8781918716106174,NA,NA,NA,NA,1.0229055
2020-02-10,NA,NA,NA,2.3529705785846313,NA,NA,NA,NA,0.6102989999999999
2020-02-11,NA,NA,NA,2.8133710154753633,NA,NA,NA,NA,0.4737875
2020-02-12,NA,NA,NA,3.2738415519722235,NA,NA,NA,NA,0.298221
2020-02-13,NA,NA,NA,3.673745791647645,NA,NA,NA,NA,0.1123295
2020-02-14,NA,NA,NA,4.0349977136111566,NA,NA,NA,NA,0
2020-02-15,NA,NA,NA,4.3315204841657184,NA,NA,NA,NA,0
2020-02-16,NA,NA,NA,4.491700633348191,NA,NA,NA,NA,0
2020-02-17,NA,NA,NA,4.502619438387934,NA,NA,NA,NA,0
2020-02-18,NA,NA,NA,4.367660388870132,NA,NA,NA,NA,0
2020-02-19,NA,NA,NA,4.1182748290485485,NA,NA,NA,NA,0
2020-02-20,NA,NA,NA,3.815230114311505,NA,NA,NA,2.304,0.7230544999999999
2020-02-21,NA,NA,NA,3.496431839815112,NA,NA,NA,2.293,1.1975305
2020-02-22,NA,NA,NA,3.19612288869569,NA,NA,NA,2.288,1.253002
2020-02-23,NA,NA,NA,2.9412449263067346,NA,NA,NA,2.277,1.08468
2020-02-24,NA,NA,NA,2.7562727580473863,NA,NA,NA,2.263,1.1886715
