date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive
2020-02-24,NA,NA,NA,NA,NA,NA,2.7562727580473863,2.590446145424339,2.9255317064460304,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.263,1.891,2.683
2020-02-25,NA,NA,NA,NA,NA,NA,2.6462783253811204,2.4854541963929226,2.807102454369318,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.241,1.889,2.651
2020-02-26,NA,NA,NA,NA,NA,NA,2.6047637161104467,2.4568765904190126,2.7526508418018807,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.214,1.861,2.577
2020-02-27,NA,NA,NA,NA,NA,NA,2.610562121517418,2.4765177349596543,2.744606508075182,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.173,1.858,2.498
2020-02-28,NA,NA,NA,NA,NA,NA,2.6560301106189574,2.5310225940040962,2.7810376272338186,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.141,1.829,2.438
2020-02-29,NA,NA,NA,NA,NA,NA,2.7353309758792097,2.6107969546984537,2.8598649970599657,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.088,1.815,2.385
2020-03-01,1.8460726177277902,1.7277371093953984,1.9696920812908323,NA,NA,NA,2.819967205392257,2.6855874235909627,2.9543469871935515,4.741867043847242,4.431032909916957,5.052701177777528,2.242117968441131,1.8862181360381027,2.6060294920773184,NA,NA,NA,2.032,1.761,2.329
2020-03-02,2.007731542945257,1.8957041565846309,2.1240879623605804,NA,NA,NA,2.876617855548555,2.732356612020668,3.020879099076442,4.001273455934678,3.7736479287762,4.228898983093155,2.286904118015488,1.9829877990851008,2.5865147360312424,NA,NA,NA,1.967,1.712,2.247
2020-03-03,2.2677430999108625,2.161296742171376,2.377628497417965,NA,NA,NA,2.8929381458558074,2.7456333162793958,3.040242975432219,4.0045338324063575,3.8134984390164544,4.195569225796261,2.319875990255731,2.0688571295202225,2.565662429022637,NA,NA,NA,1.897,1.669,2.173
2020-03-04,2.2710871999214057,2.1788518900166185,2.365889531668658,NA,NA,NA,2.8589910734076636,2.716182110027462,3.001800036787865,4.017065384463802,3.851632101402201,4.182498667525403,2.3462771546642474,2.1440211933226396,2.544723392599143,NA,NA,NA,1.822,1.62,2.074
2020-03-05,2.2724291574463256,2.1927426339581118,2.35402329603241,NA,NA,NA,2.7748998105181464,2.6438585997493944,2.9059410212868984,4.136341033407171,3.98954493610192,4.283137130712422,2.357827261654834,2.1912324406435673,2.527884561070135,NA,NA,NA,1.759,1.558,1.989
2020-03-06,2.3829606975740747,2.3124334504138244,2.4549075941259795,NA,NA,NA,2.6486479109386307,2.533663129505758,2.7636326923715036,4.45224557445731,4.319140688906743,4.585350460007876,2.3469599235238094,2.2017384468409777,2.5051967349727438,NA,NA,NA,1.687,1.491,1.912
2020-03-07,2.1980602017291186,2.140196459097709,2.2569576288023585,NA,NA,NA,2.4957820192200564,2.3956374212769806,2.595926617163132,4.281520571044148,4.1677978653331635,4.395243276755133,2.3165272334854077,2.178237176838423,2.4755627214458316,NA,NA,NA,1.619,1.439,1.813
2020-03-08,1.9194235132273043,1.872433540967283,1.9671931519928434,NA,NA,NA,2.331203837480116,2.240122868695794,2.4222848062644378,3.711437318470838,3.6198190416835563,3.8030555952581193,2.260857690822472,2.123850801707744,2.42246983698423,NA,NA,NA,1.55,1.38,1.729
2020-03-09,1.951552016175592,1.9090563906157996,1.9946736483554957,2.708060828558308,2.7627557665452223,2.6540925734933016,2.162945886840384,2.0770393510545313,2.2488524226262365,3.512321748950171,3.435274112732837,3.5893693851675046,2.1847863016359943,2.054598170505496,2.341455606110228,NA,NA,NA,1.482,1.324,1.662
2020-03-10,2.0334902827233727,1.9946450386776542,2.072836618411436,2.5511294639923614,2.5980019620395276,2.5048241612460616,1.996707111611807,1.9152611104476998,2.0781531127759143,3.4775366333394064,3.410676038563349,3.544397228115464,2.092069080095977,1.96511828153901,2.236611076812289,NA,NA,NA,1.421,1.269,1.596
