date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive,HZI
2019-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-17,NA,NA,NA,NA,NA,NA,NA,NA,0.04397087857142857
2020-01-18,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-19,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-20,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-21,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-01-23,NA,NA,NA,NA,NA,NA,NA,NA,1.2678659885714283
2020-01-24,NA,NA,NA,NA,NA,NA,NA,NA,2.541789037142857
2020-01-25,NA,NA,NA,NA,NA,NA,NA,NA,3.639887571428571
2020-01-26,NA,NA,NA,NA,NA,NA,NA,NA,4.543493451428572
2020-01-27,NA,NA,NA,0.9279413486490149,NA,NA,NA,NA,5.267596412857142
2020-01-28,NA,NA,NA,0.8133365815791614,NA,NA,NA,NA,6.043392297142857
2020-01-29,NA,NA,NA,0.7082202130552678,NA,NA,NA,NA,6.87044149
2020-01-30,NA,NA,NA,0.6164057943311825,NA,NA,NA,NA,6.336289085714285
2020-01-31,NA,NA,NA,0.5396446645109029,NA,NA,NA,NA,5.827452474285715
2020-02-01,NA,NA,NA,0.48207302075438946,NA,NA,NA,NA,5.433296995714286
2020-02-02,NA,NA,NA,0.4511318171193251,NA,NA,NA,NA,5.12333551
2020-02-03,NA,NA,NA,0.46723098474470937,NA,NA,NA,NA,4.897845808571429
2020-02-04,NA,NA,NA,0.5712606806215111,NA,NA,NA,NA,4.594854788571428
2020-02-05,NA,NA,NA,0.8098198023693397,NA,NA,NA,NA,4.171063768571429
2020-02-06,NA,NA,NA,1.1972615962865882,NA,NA,NA,NA,3.7746463071428575
2020-02-07,NA,NA,NA,1.7030391886051104,NA,NA,NA,NA,3.2876884614285715
2020-02-08,NA,NA,NA,2.252331479682324,NA,NA,NA,NA,2.796604208571429
2020-02-09,NA,NA,NA,2.723561167010039,NA,NA,NA,NA,2.352076327142857
2020-02-10,NA,NA,NA,3.0143670209546403,NA,NA,NA,NA,1.9436166714285712
2020-02-11,NA,NA,NA,3.2699367369649375,NA,NA,NA,NA,1.5410200971428571
2020-02-12,NA,NA,NA,3.629183964945867,NA,NA,NA,NA,1.1825332114285714
2020-02-13,NA,NA,NA,4.019552536789931,NA,NA,NA,NA,0.86311489
2020-02-14,NA,NA,NA,4.389414898884211,NA,NA,NA,NA,0.5849892214285715
2020-02-15,NA,NA,NA,4.642791998288408,NA,NA,NA,NA,0.37213041857142853
2020-02-16,NA,NA,NA,4.7105516133768734,NA,NA,NA,NA,0.2230139057142857
2020-02-17,NA,NA,NA,4.575351465914798,NA,NA,NA,NA,0.1328603014285714
2020-02-18,NA,NA,NA,4.282586623439275,NA,NA,NA,NA,0.06265201142857142
2020-02-19,NA,NA,NA,3.909687691747685,NA,NA,NA,NA,0.01788072428571428
2020-02-20,NA,NA,NA,3.520237480926549,NA,NA,NA,2.304,0.09986247428571428
2020-02-21,NA,NA,NA,3.1542204922596637,NA,NA,NA,2.293,0.26670226571428574
