date,3.1,3.1.lower,3.1.upper,0.001,0.001.lower,0.001.upper,4,4.lower,4.upper,2.9,2.9.lower,2.9.upper,2.3,2.3.lower,2.3.upper,4.2,4.2.lower,4.2.upper,7,7.lower,7.upper,8,8.lower,8.upper
2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,2.0364494069889916,1.9059105140683803,2.1728171645992584,2.856429252186696,2.6733286502238816,3.04770572119999,1.8460726177277904,1.7277371093953984,1.9696920812908325,2.08665407585809,1.9528970023771728,2.226383713263528,2.2559353621789895,2.111327151600009,2.407000665151045,1.8108004754011156,1.69472595444924,1.9320579932469248,1.4923453715172572,1.3966842114685538,1.5922780244942676,1.4280295156818965,1.3364910805038313,1.5236553545495293
2020-03-09,2.1242297980567213,2.005702043117652,2.247337777400728,2.379139990582839,2.2463887590411695,2.517021079100247,2.007731542945257,1.8957041565846309,2.1240879623605804,2.1516917039287313,2.03163162981575,2.276391215292453,2.2342641242829653,2.109596675010561,2.3637490519084547,1.9839780342420137,1.8732760459438276,2.09895783872544,1.7377514676935693,1.640788427114712,1.838461415358151,1.680843643076564,1.5870559447777606,1.7782555448781832
2020-03-10,2.4125874255625535,2.2993421711996085,2.5294913765828424,2.464550408277543,2.3488660459541295,2.583972269290157,2.2677430999108625,2.161296742171376,2.377628497417965,2.4440968538335865,2.3293725677963586,2.562527620678349,2.5262913069072384,2.4077088677324605,2.648704875044278,2.2369868822427734,2.1319842009711985,2.3453819613780964,1.9161221679577525,1.8261806636616933,2.0089694777374554,1.8436661773362697,1.7571257092062411,1.9330025712051164
2020-03-11,2.4672160570034305,2.3670153964441822,2.5702054248869186,2.7390578213642147,2.6278168936669415,2.853394720565998,2.2710871999214057,2.1788518900166185,2.365889531668658,2.5138717100281576,2.4117762307161574,2.6188086317951287,2.651145923075877,2.543475347579622,2.7618131027942567,2.2320130386390935,2.141364641546491,2.3251842918435406,1.8549211427993852,1.7795875200036757,1.9323513927478435,1.7754109501336797,1.7033064623801493,1.8495221942497584
2020-03-12,2.481278291107275,2.3942681239576373,2.5703713940063606,3.4112716502276608,3.2916497128001283,3.5337572163327193,2.2724291574463256,2.192742633958112,2.35402329603241,2.533837082383266,2.444983853441448,2.624817368117178,2.7025218054064455,2.6077533649390037,2.799558906871051,2.2322616982360453,2.1539837137869178,2.312413578777378,1.854626688106001,1.789591105958434,1.9212191565747767,1.7760247706760488,1.713745496032712,1.8397949484155864
2020-03-13,2.606828715936048,2.5296757635854585,2.6855346871024715,3.6205915048872335,3.5134347430524957,3.729905234955888,2.3829606975740747,2.3124334504138244,2.4549075941259795,2.6638735121203303,2.5850322346354693,2.744301792871663,2.850161515778794,2.7658067692340422,2.936214246711668,2.340265406389922,2.2710017895350267,2.4109232369067866,1.9417630083520012,1.8842936595053792,2.0003891629639674,1.8592079556042431,1.8041819456743715,1.9153415891075205
2020-03-14,2.424017169115303,2.3602051290731483,2.4889691546568913,3.225665720505616,3.1407503524372307,3.3120980263117437,2.198060201729118,2.140196459097709,2.2569576288023585,2.4821521792192747,2.416809740118949,2.5486619030408737,2.672450130148271,2.602098114127723,2.744058922538697,2.1554417896353444,2.0986999729761235,2.213197248523957,1.765652752748639,1.719172098405725,1.8129637427569527,1.6866922076408055,1.6422901827442375,1.731887435331284
