"days_after_transmission","gamma 4 (4)","gamma 3.4 (1.8)","gamma 5.6 (4.2)"
0,0,0,0
1,0.0612467589318707,0.0358719419121733,0.00128776500937229
2,0.180251387595349,0.232633576909654,0.0300218845039963
3,0.22379888161897,0.3170620877233,0.108918616413879
4,0.195154980752072,0.228168605237934,0.184493032795082
5,0.140221689962687,0.115714955412716,0.205875853039345
6,0.0891383217585212,0.0470320363539257,0.176435034578116
7,0.0520727291965341,0.0164081694320523,0.126022499960127
8,0.0285951052383426,0.00511883739750113,0.0787777135921136
9,0.01497803305361,0.00146621499506093,0.0444764765108792
10,0.00755845052072626,0.000392618642861195,0.0231723193052021
11,0.00370097667495709,9.95582452608018e-05,0.0113131329894233
12,0.00176761447266656,2.41346600923019e-05,0.00523467363865578
13,0.00082675986494864,5.63371704139391e-06,0.00231539587324872
14,0.000379873461212188,1.27342541829087e-06,0.000985583819155409
15,0.000171883481638039,2.79966938779358e-07,0.000405878861479593
16,7.67407131872265e-05,6.00828735489106e-08,0.000162401313274963
17,3.38624335065195e-05,1.26234490205882e-08,6.33564300562522e-05
18,1.47874889979986e-05,2.60281317525785e-09,2.41689192277916e-05
19,6.39798533311923e-06,5.27750550238627e-10,9.03737578045432e-06
20,2.74522498203351e-06,1.05410102549573e-10,3.31922773587796e-06
21,1.16909918484357e-06,2.07702298574386e-11,1.19950448357142e-06
22,4.94500840454494e-07,4.04254190405477e-12,4.27160542895938e-07
23,2.07868181991702e-07,7.78031804539326e-13,1.5009693507395e-07
24,8.68847894310371e-08,1.48212373517159e-13,5.21000977927807e-08
25,3.61273055263812e-08,2.79691813618472e-14,1.7882377374316e-08
26,1.49499970820408e-08,5.23244033180817e-15,6.07456066889288e-09
27,6.15910878059715e-09,9.71052570155422e-16,2.0438401327784e-09
28,2.52700554098568e-09,1.78874629492185e-16,6.81591043013484e-10
29,1.03283658242402e-09,3.2722706056427e-17,2.25432407520391e-10
30,4.20636447112073e-10,5.94768500896864e-18,7.39890470880536e-11
