"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality"
"1","AUT","Europe","Austria",2020-02-25,2,2,NA,NA,NA,NA,0.222,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
"2","AUT","Europe","Austria",2020-02-26,2,0,NA,NA,NA,NA,0.222,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
"3","AUT","Europe","Austria",2020-02-27,3,1,NA,NA,NA,NA,0.333,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
"4","AUT","Europe","Austria",2020-02-28,3,0,NA,NA,NA,NA,0.333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
"5","AUT","Europe","Austria",2020-02-29,9,6,NA,NA,NA,NA,0.999,0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
"6","AUT","Europe","Austria",2020-03-01,14,5,2,NA,NA,0,1.554,0.555,0.222,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
"7","AUT","Europe","Austria",2020-03-02,18,4,2.571,NA,NA,0,1.999,0.444,0.286,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
"8","AUT","Europe","Austria",2020-03-03,21,3,2.714,NA,NA,0,2.332,0.333,0.301,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
"9","AUT","Europe","Austria",2020-03-04,29,8,3.857,NA,NA,0,3.22,0.888,0.428,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
"10","AUT","Europe","Austria",2020-03-05,41,12,5.429,NA,NA,0,4.552,1.332,0.603,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,9006400,106.749,44.4,19.202,13.748,45436.686,NA,145.183,6.35,NA,NA,NA,7.37,81.54,0.922,NA
