date,I
2020-03-02,304
2020-03-03,321
2020-03-04,448
2020-03-05,503
2020-03-06,757
2020-03-07,984
2020-03-08,1336
2020-03-09,2021
2020-03-10,2573
2020-03-11,3237
2020-03-12,3601
2020-03-13,4356
2020-03-14,4433
2020-03-15,4678
2020-03-16,6016
2020-03-17,5235
2020-03-18,5288
2020-03-19,4725
2020-03-20,5329
2020-03-21,4442
2020-03-22,3818
2020-03-23,5157
2020-03-24,4076
2020-03-25,4418
2020-03-26,3998
2020-03-27,4122
2020-03-28,3888
2020-03-29,3261
2020-03-30,4394
2020-03-31,3574
2020-04-01,4040
2020-04-02,3724
2020-04-03,3730
2020-04-04,3006
2020-04-05,2700
2020-04-06,3342
2020-04-07,3054
2020-04-08,2872
2020-04-09,2700
2020-04-10,2326
2020-04-11,2016
2020-04-12,1952
2020-04-13,1887
2020-04-14,1952
2020-04-15,1940
2020-04-16,1751
2020-04-17,1642
2020-04-18,1433
2020-04-19,1310
2020-04-20,1578
2020-04-21,1350
2020-04-22,1293
2020-04-23,1268
2020-04-24,1146
2020-04-25,1007
2020-04-26,904
2020-04-27,1100
2020-04-28,942
2020-04-29,866
2020-04-30,936
2020-05-01,816
2020-05-02,741
2020-05-03,755
2020-05-04,890
2020-05-05,815
2020-05-06,744
2020-05-07,705
2020-05-08,679
2020-05-09,580
2020-05-10,556
2020-05-11,666
2020-05-12,621
2020-05-13,589
2020-05-14,528
2020-05-15,678
2020-05-16,560
2020-05-17,442
2020-05-18,615
2020-05-19,466
2020-05-20,562
2020-05-21,389
2020-05-22,387
2020-05-23,366
2020-05-24,371
2020-05-25,468
2020-05-26,435
2020-05-27,454
2020-05-28,378
2020-05-29,347
2020-05-30,291
2020-05-31,269
2020-06-01,327
2020-06-02,439
2020-06-03,400
2020-06-04,342
2020-06-05,319
2020-06-06,300
2020-06-07,231
2020-06-08,409
2020-06-09,450
2020-06-10,433
2020-06-11,367
2020-06-12,375
2020-06-13,366
2020-06-14,355
2020-06-15,645
2020-06-16,1115
2020-06-17,660
2020-06-18,536
2020-06-19,572
2020-06-20,475
2020-06-21,367
2020-06-22,471
2020-06-23,431
2020-06-24,469
2020-06-25,409
2020-06-26,431
2020-06-27,352
2020-06-28,312
2020-06-29,426
2020-06-30,436
2020-07-01,405
2020-07-02,342
2020-07-03,345
2020-07-04,298
2020-07-05,291
2020-07-06,371
2020-07-07,377
2020-07-08,357
2020-07-09,377
2020-07-10,430
2020-07-11,385
2020-07-12,359
2020-07-13,543
2020-07-14,519
2020-07-15,558
2020-07-16,469
2020-07-17,533
2020-07-18,486
2020-07-19,517
2020-07-20,691
2020-07-21,699
2020-07-22,736
2020-07-23,676
2020-07-24,691
2020-07-25,617
2020-07-26,607
2020-07-27,824
2020-07-28,765
2020-07-29,740
2020-07-30,763
2020-07-31,775
2020-08-01,823
2020-08-02,889
2020-08-03,1079
2020-08-04,993
2020-08-05,988
2020-08-06,1004
2020-08-07,1052
2020-08-08,1002
2020-08-09,1041
2020-08-10,1401
2020-08-11,1310
2020-08-12,1319
2020-08-13,1355
2020-08-14,1320
2020-08-15,1201
2020-08-16,1167
2020-08-17,1415
2020-08-18,1459
2020-08-19,1294
2020-08-20,1139
2020-08-21,1156
2020-08-22,1112
2020-08-23,1159
2020-08-24,1428
2020-08-25,1331
2020-08-26,1200
2020-08-27,1216
2020-08-28,1135
2020-08-29,959
2020-08-30,1023
2020-08-31,1363
2020-09-01,1484
2020-09-02,1330
2020-09-03,1256
2020-09-04,1275
2020-09-05,1155
2020-09-06,1302
2020-09-07,1591
2020-09-08,1583
2020-09-09,1599
2020-09-10,1627
2020-09-11,1642
2020-09-12,1536
2020-09-13,1576
2020-09-14,2124
2020-09-15,1966
2020-09-16,1887
2020-09-17,1721
2020-09-18,1706
2020-09-19,1499
2020-09-20,1630
2020-09-21,2191
2020-09-22,2155
2020-09-23,2080
2020-09-24,2070
2020-09-25,2159
2020-09-26,1927
2020-09-27,1904
2020-09-28,2664
2020-09-29,2767
2020-09-30,2784
2020-10-01,3008
2020-10-02,3373
2020-10-03,3357
2020-10-04,3420
2020-10-05,4758
2020-10-06,4794
2020-10-07,4912
2020-10-08,4979
2020-10-09,5379
2020-10-10,5310
2020-10-11,5499
2020-10-12,7498
2020-10-13,7855
2020-10-14,8437
2020-10-15,8692
2020-10-16,9559
2020-10-17,9358
2020-10-18,10457
2020-10-19,13826
2020-10-20,14820
2020-10-21,15394
2020-10-22,15032
2020-10-23,15853
2020-10-24,15088
2020-10-25,15654
2020-10-26,19202
2020-10-27,18417
2020-10-28,18090
2020-10-29,16811
2020-10-30,17247
2020-10-31,15614
2020-11-01,16655
2020-11-02,20970
2020-11-03,19021
2020-11-04,18020
2020-11-05,16540
2020-11-06,16122
2020-11-07,15047
2020-11-08,15142
2020-11-09,19033
2020-11-10,18429
2020-11-11,17921
2020-11-12,17646
2020-11-13,18348
2020-11-14,16313
2020-11-15,16482
2020-11-16,20446
2020-11-17,19429
2020-11-18,18591
2020-11-19,17260
2020-11-20,16785
2020-11-21,14448
2020-11-22,14505
2020-11-23,18471
2020-11-24,17425
2020-11-25,16895
2020-11-26,16012
2020-11-27,16412
2020-11-28,15492
2020-11-29,15343
2020-11-30,20712
2020-12-01,20739
2020-12-02,20604
2020-12-03,20867
2020-12-04,21540
2020-12-05,20433
2020-12-06,20792
2020-12-07,26076
2020-12-08,25860
2020-12-09,25170
2020-12-10,24654
2020-12-11,24453
2020-12-12,23004
2020-12-13,22264
2020-12-14,28019
2020-12-15,26532
2020-12-16,25421
2020-12-17,23733
2020-12-18,23107
2020-12-19,20616
2020-12-20,19976
2020-12-21,23036
2020-12-22,20566
2020-12-23,18525
2020-12-24,16484
2020-12-25,14918
2020-12-26,16300
2020-12-27,18083
2020-12-28,22344
2020-12-29,18571
2020-12-30,16289
2020-12-31,14568
2021-01-01,15010
2021-01-02,16110
2021-01-03,17560
2021-01-04,21342
2021-01-05,19162
2021-01-06,17011
2021-01-07,15612
2021-01-08,15393
2021-01-09,13360
2021-01-10,13925
2021-01-11,16614
