date,I
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,72.0
2020-03-05,148.0
2020-03-06,227.0
2020-03-07,308.0
2020-03-08,392.0
2020-03-09,474.0
2020-03-10,617.0
2020-03-11,802.0
2020-03-12,1029.0
2020-03-13,1297.0
2020-03-14,1603.0
2020-03-15,1930.0
2020-03-16,2265.0
2020-03-17,2590.0
2020-03-18,2901.0
2020-03-19,3195.0
2020-03-20,3477.0
2020-03-21,3744.0
2020-03-22,3997.0
2020-03-23,4234.0
2020-03-24,4453.0
2020-03-25,4644.0
2020-03-26,4806.0
2020-03-27,4937.0
2020-03-28,5052.0
2020-03-29,5144.0
2020-03-30,5194.0
2020-03-31,5190.0
2020-04-01,5145.0
2020-04-02,5080.0
2020-04-03,4999.0
2020-04-04,4886.0
2020-04-05,4713.0
2020-04-06,4489.0
2020-04-07,4244.0
2020-04-08,3989.0
2020-04-09,3734.0
2020-04-10,3485.0
2020-04-11,3243.0
2020-04-12,3025.0
2020-04-13,2848.0
2020-04-14,2716.0
2020-04-15,2612.0
2020-04-16,2519.0
2020-04-17,2426.0
2020-04-18,2338.0
2020-04-19,2252.0
2020-04-20,2150.0
2020-04-21,2029.0
2020-04-22,1899.0
2020-04-23,1771.0
2020-04-24,1646.0
2020-04-25,1527.0
2020-04-26,1414.0
2020-04-27,1312.0
2020-04-28,1221.0
2020-04-29,1140.0
2020-04-30,1067.0
2020-05-01,1003.0
2020-05-02,955.0
2020-05-03,922.0
2020-05-04,902.0
2020-05-05,890.0
2020-05-06,880.0
2020-05-07,866.0
2020-05-08,842.0
2020-05-09,815.0
2020-05-10,784.0
2020-05-11,753.0
2020-05-12,721.0
2020-05-13,692.0
2020-05-14,665.0
2020-05-15,642.0
2020-05-16,619.0
2020-05-17,594.0
2020-05-18,570.0
2020-05-19,547.0
2020-05-20,526.0
2020-05-21,508.0
2020-05-22,492.0
2020-05-23,477.0
2020-05-24,463.0
2020-05-25,453.0
2020-05-26,444.0
2020-05-27,433.0
2020-05-28,415.0
2020-05-29,393.0
2020-05-30,373.0
2020-05-31,356.0
2020-06-01,345.0
2020-06-02,337.0
2020-06-03,333.0
2020-06-04,335.0
2020-06-05,339.0
2020-06-06,343.0
2020-06-07,340.0
2020-06-08,334.0
2020-06-09,328.0
2020-06-10,326.0
2020-06-11,333.0
2020-06-12,350.0
2020-06-13,378.0
2020-06-14,418.0
2020-06-15,466.0
2020-06-16,514.0
2020-06-17,552.0
2020-06-18,578.0
2020-06-19,586.0
2020-06-20,585.0
2020-06-21,572.0
2020-06-22,546.0
2020-06-23,513.0
2020-06-24,483.0
2020-06-25,461.0
2020-06-26,446.0
2020-06-27,435.0
2020-06-28,423.0
2020-06-29,413.0
2020-06-30,405.0
2020-07-01,395.0
2020-07-02,386.0
2020-07-03,375.0
2020-07-04,364.0
2020-07-05,356.0
2020-07-06,352.0
2020-07-07,349.0
2020-07-08,349.0
2020-07-09,351.0
2020-07-10,356.0
2020-07-11,364.0
2020-07-12,372.0
2020-07-13,385.0
2020-07-14,400.0
2020-07-15,417.0
2020-07-16,433.0
2020-07-17,449.0
2020-07-18,464.0
2020-07-19,483.0
2020-07-20,504.0
2020-07-21,527.0
2020-07-22,547.0
2020-07-23,566.0
2020-07-24,586.0
2020-07-25,607.0
2020-07-26,627.0
2020-07-27,646.0
2020-07-28,666.0
2020-07-29,686.0
2020-07-30,709.0
2020-07-31,735.0
2020-08-01,762.0
2020-08-02,787.0
2020-08-03,813.0
2020-08-04,840.0
2020-08-05,868.0
2020-08-06,896.0
2020-08-07,929.0
2020-08-08,967.0
2020-08-09,1007.0
2020-08-10,1045.0
2020-08-11,1082.0
2020-08-12,1121.0
2020-08-13,1162.0
2020-08-14,1203.0
2020-08-15,1241.0
2020-08-16,1274.0
2020-08-17,1302.0
2020-08-18,1325.0
2020-08-19,1342.0
2020-08-20,1352.0
2020-08-21,1351.0
2020-08-22,1343.0
2020-08-23,1328.0
2020-08-24,1310.0
2020-08-25,1289.0
2020-08-26,1268.0
2020-08-27,1247.0
2020-08-28,1225.0
2020-08-29,1207.0
2020-08-30,1196.0
2020-08-31,1195.0
2020-09-01,1206.0
2020-09-02,1224.0
2020-09-03,1245.0
2020-09-04,1266.0
2020-09-05,1288.0
2020-09-06,1311.0
2020-09-07,1334.0
2020-09-08,1358.0
2020-09-09,1387.0
2020-09-10,1423.0
2020-09-11,1474.0
2020-09-12,1531.0
2020-09-13,1591.0
2020-09-14,1649.0
2020-09-15,1698.0
2020-09-16,1739.0
2020-09-17,1766.0
2020-09-18,1776.0
2020-09-19,1781.0
2020-09-20,1782.0
2020-09-21,1789.0
2020-09-22,1810.0
2020-09-23,1844.0
2020-09-24,1884.0
2020-09-25,1925.0
2020-09-26,1967.0
2020-09-27,2013.0
2020-09-28,2069.0
2020-09-29,2135.0
2020-09-30,2222.0
2020-10-01,2333.0
2020-10-02,2471.0
2020-10-03,2622.0
2020-10-04,2795.0
2020-10-05,2998.0
2020-10-06,3235.0
2020-10-07,3498.0
2020-10-08,3767.0
2020-10-09,4035.0
2020-10-10,4311.0
2020-10-11,4607.0
2020-10-12,4930.0
2020-10-13,5290.0
2020-10-14,5678.0
2020-10-15,6093.0
2020-10-16,6551.0
2020-10-17,7085.0
2020-10-18,7703.0
2020-10-19,8389.0
2020-10-20,9119.0
2020-10-21,9880.0
2020-10-22,10668.0
2020-10-23,11477.0
2020-10-24,12289.0
2020-10-25,13074.0
2020-10-26,13787.0
2020-10-27,14429.0
2020-10-28,15011.0
2020-10-29,15549.0
2020-10-30,16020.0
2020-10-31,16422.0
2020-11-01,16751.0
2020-11-02,17025.0
2020-11-03,17269.0
2020-11-04,17494.0
2020-11-05,17682.0
2020-11-06,17822.0
2020-11-07,17918.0
2020-11-08,17993.0
2020-11-09,18054.0
2020-11-10,18085.0
2020-11-11,18073.0
2020-11-12,18047.0
2020-11-13,18047.0
2020-11-14,18075.0
2020-11-15,18116.0
2020-11-16,18143.0
2020-11-17,18144.0
2020-11-18,18144.0
2020-11-19,18141.0
2020-11-20,18104.0
2020-11-21,18016.0
2020-11-22,17869.0
2020-11-23,17708.0
2020-11-24,17580.0
2020-11-25,17482.0
2020-11-26,17405.0
2020-11-27,17353.0
2020-11-28,17344.0
2020-11-29,17404.0
2020-11-30,17538.0
2020-12-01,17733.0
2020-12-02,17988.0
2020-12-03,18299.0
2020-12-04,18680.0
2020-12-05,19134.0
2020-12-06,19680.0
2020-12-07,20283.0
2020-12-08,20881.0
2020-12-09,21428.0
2020-12-10,21897.0
2020-12-11,22301.0
2020-12-12,22733.0
2020-12-13,23267.0
2020-12-14,23815.0
2020-12-15,24236.0
2020-12-16,24475.0
2020-12-17,24571.0
2020-12-18,24577.0
2020-12-19,24376.0
2020-12-20,23864.0
2020-12-21,23043.0
2020-12-22,22028.0
2020-12-23,20994.0
2020-12-24,20141.0
2020-12-25,19540.0
2020-12-26,18982.0
2020-12-27,18390.0
2020-12-28,17866.0
2020-12-29,17554.0
2020-12-30,17477.0
2020-12-31,17497.0
2021-01-01,17438.0
2021-01-02,17509.0
2021-01-03,17778.0
2021-01-04,18239.0
2021-01-05,18794.0
2021-01-06,19300.0
2021-01-07,19586.0
2021-01-08,19604.0
2021-01-09,19372.0
2021-01-10,18968.0
2021-01-11,18418.0
2021-01-12,17774.0
2021-01-13,17083.0
2021-01-14,16440.0
2021-01-15,15919.0
2021-01-16,15447.0
2021-01-17,14998.0
2021-01-18,14564.0
2021-01-19,14131.0
2021-01-20,13696.0
2021-01-21,13274.0
2021-01-22,12873.0
2021-01-23,12496.0
2021-01-24,12135.0
2021-01-25,11786.0
2021-01-26,11453.0
2021-01-27,11139.0
2021-01-28,10839.0
2021-01-29,10551.0
2021-01-30,10272.0
2021-01-31,9995.0
2021-02-01,9721.0
2021-02-02,9448.0
2021-02-03,9168.0
2021-02-04,8867.0
2021-02-05,8553.0
2021-02-06,8241.0
2021-02-07,7948.0
2021-02-08,7676.0
2021-02-09,7453.0
2021-02-10,7292.0
2021-02-11,7180.0
2021-02-12,7111.0
2021-02-13,7082.0
2021-02-14,7092.0
2021-02-15,7143.0
2021-02-16,7213.0
2021-02-17,7284.0
2021-02-18,7350.0
2021-02-19,7414.0
2021-02-20,7481.0
2021-02-21,7572.0
2021-02-22,7662.0
2021-02-23,7735.0
2021-02-24,7798.0
2021-02-25,7863.0
2021-02-26,7923.0
2021-02-27,7967.0
2021-02-28,7991.0
2021-03-01,8017.0
2021-03-02,8073.0
2021-03-03,8160.0
2021-03-04,8258.0
2021-03-05,8368.0
2021-03-06,8519.0
2021-03-07,8739.0
2021-03-08,9033.0
2021-03-09,9383.0
2021-03-10,9758.0
2021-03-11,10150.0
2021-03-12,10557.0
2021-03-13,10984.0
2021-03-14,11422.0
2021-03-15,11857.0
2021-03-16,12270.0
2021-03-17,12673.0
2021-03-18,13098.0
2021-03-19,13549.0
2021-03-20,14013.0
2021-03-21,14493.0
2021-03-22,14974.0
2021-03-23,15424.0
2021-03-24,15837.0
2021-03-25,16212.0
2021-03-26,16526.0
2021-03-27,16695.0
2021-03-28,16632.0
2021-03-29,16359.0
2021-03-30,16011.0
2021-03-31,15621.0
2021-04-01,15164.0
2021-04-02,14734.0
2021-04-03,14479.0
2021-04-04,14483.0
2021-04-05,14797.0
2021-04-06,15363.0
2021-04-07,16069.0
2021-04-08,16871.0
2021-04-09,17700.0
2021-04-10,18505.0
2021-04-11,19229.0
2021-04-12,19713.0
2021-04-13,19890.0
2021-04-14,19916.0
2021-04-15,19955.0
2021-04-16,20015.0
2021-04-17,20096.0
2021-04-18,20130.0
2021-04-19,20139.0
2021-04-20,20152.0
2021-04-21,20138.0
2021-04-22,20054.0
2021-04-23,19879.0
2021-04-24,19576.0
2021-04-25,19177.0
2021-04-26,18738.0
2021-04-27,18293.0
2021-04-28,17823.0
2021-04-29,17309.0
2021-04-30,16783.0
2021-05-01,16292.0
2021-05-02,15841.0
2021-05-03,15403.0
2021-05-04,14950.0
2021-05-05,14478.0
2021-05-06,14011.0
2021-05-07,13323.0
2021-05-08,12791.0
2021-05-09,12155.0
2021-05-10,11467.0
2021-05-11,10803.0
2021-05-12,10218.0
2021-05-13,9725.0
2021-05-14,9269.0
2021-05-15,8825.0
2021-05-16,8418.0
2021-05-17,8072.0
2021-05-18,7758.0
2021-05-19,7397.0
2021-05-20,6906.0
2021-05-21,6329.0
2021-05-22,5800.0
2021-05-23,5356.0
2021-05-24,4987.0
2021-05-25,4669.0
2021-05-26,4390.0
2021-05-27,4184.0
2021-05-28,4051.0
2021-05-29,3932.0
2021-05-30,3782.0
2021-05-31,3565.0
2021-06-01,3293.0
2021-06-02,3037.0
2021-06-03,2828.0
2021-06-04,2635.0
2021-06-05,2447.0
2021-06-06,2279.0
2021-06-07,2133.0
2021-06-08,1995.0
2021-06-09,1844.0
2021-06-10,1690.0
2021-06-11,1550.0
2021-06-12,1429.0
2021-06-13,1323.0
2021-06-14,1230.0
2021-06-15,1145.0
2021-06-16,1069.0
2021-06-17,1002.0
2021-06-18,942.0
2021-06-19,887.0
2021-06-20,838.0
2021-06-21,794.0
2021-06-22,757.0
2021-06-23,721.0
2021-06-24,690.0
2021-06-25,662.0
2021-06-26,638.0
2021-06-27,616.0
2021-06-28,600.0
2021-06-29,588.0
2021-06-30,579.0
2021-07-01,574.0
2021-07-02,577.0
2021-07-03,579.0
2021-07-04,583.0
2021-07-05,586.0
2021-07-06,590.0
2021-07-07,593.0
2021-07-08,597.0
