date,I
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,3
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,3
2020-02-02,2
2020-02-03,2
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,1
2020-02-08,0
2020-02-09,1
2020-02-10,0
2020-02-11,2
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,1
2020-02-26,10
2020-02-27,19
2020-02-28,2
2020-02-29,31
2020-03-01,51
2020-03-02,29
2020-03-03,37
2020-03-04,66
2020-03-05,220
2020-03-06,188
2020-03-07,129
2020-03-08,241
2020-03-09,136
2020-03-10,281
2020-03-11,451
2020-03-12,170
2020-03-13,1597
2020-03-14,910
2020-03-15,1210
2020-03-16,1477
2020-03-17,1985
2020-03-18,3070
2020-03-19,2993
2020-03-20,4528
2020-03-21,2365
2020-03-22,2660
2020-03-23,4183
2020-03-24,3930
2020-03-25,4337
2020-03-26,6615
2020-03-27,6933
2020-03-28,6824
2020-03-29,4400
2020-03-30,4790
2020-03-31,4923
2020-04-01,6064
2020-04-02,6922
2020-04-03,6365
2020-04-04,4933
2020-04-05,4031
2020-04-06,3251
2020-04-07,4289
2020-04-08,5633
2020-04-09,4885
2020-04-10,3990
2020-04-11,2737
2020-04-12,2946
2020-04-13,2218
2020-04-14,1287
2020-04-15,3394
2020-04-16,2945
2020-04-17,3699
2020-04-18,1945
2020-04-19,1842
2020-04-20,1881
2020-04-21,1226
2020-04-22,2357
2020-04-23,2481
2020-04-24,1870
2020-04-25,1514
2020-04-26,1257
2020-04-27,988
2020-04-28,1154
2020-04-29,1627
2020-04-30,1470
2020-05-01,1068
2020-05-02,890
2020-05-03,697
2020-05-04,488
2020-05-05,855
2020-05-06,1155
2020-05-07,1268
2020-05-08,1158
2020-05-09,736
2020-05-10,555
2020-05-11,697
2020-05-12,595
2020-05-13,927
2020-05-14,380
2020-05-15,755
2020-05-16,519
2020-05-17,617
2020-05-18,182
2020-05-19,1227
2020-05-20,695
2020-05-21,548
2020-05-22,689
2020-05-23,276
2020-05-24,342
2020-05-25,272
2020-05-26,600
2020-05-27,324
2020-05-28,672
2020-05-29,726
2020-05-30,267
2020-05-31,221
2020-06-01,184
2020-06-02,285
2020-06-03,242
2020-06-04,351
2020-06-05,452
2020-06-06,526
2020-06-07,300
2020-06-08,359
2020-06-09,397
2020-06-10,16
2020-06-11,169
2020-06-12,535
2020-06-13,41
2020-06-14,251
2020-06-15,164
2020-06-16,570
2020-06-17,352
2020-06-18,1213
2020-06-19,482
2020-06-20,371
2020-06-21,602
2020-06-22,496
2020-06-23,712
2020-06-24,391
2020-06-25,500
2020-06-26,665
2020-06-27,422
2020-06-28,235
2020-06-29,349
2020-06-30,376
2020-07-01,475
2020-07-02,477
2020-07-03,410
2020-07-04,418
2020-07-05,325
2020-07-06,541
2020-07-07,279
2020-07-08,356
2020-07-09,302
2020-07-10,331
2020-07-11,377
2020-07-12,210
2020-07-13,261
2020-07-14,276
2020-07-15,434
2020-07-16,560
2020-07-17,595
2020-07-18,381
2020-07-19,309
2020-07-20,590
2020-07-21,392
2020-07-22,559
2020-07-23,605
2020-07-24,742
2020-07-25,655
2020-07-26,389
2020-07-27,445
2020-07-28,595
2020-07-29,839
2020-07-30,989
2020-07-31,864
2020-08-01,606
2020-08-02,215
2020-08-03,891
2020-08-04,717
2020-08-05,1285
2020-08-06,926
2020-08-07,1157
2020-08-08,707
2020-08-09,385
2020-08-10,1220
2020-08-11,1032
2020-08-12,1319
2020-08-13,1422
2020-08-14,1510
2020-08-15,697
2020-08-16,519
2020-08-17,1693
2020-08-18,1420
2020-08-19,1586
2020-08-20,1586
2020-08-21,1737
2020-08-22,832
2020-08-23,633
2020-08-24,1628
2020-08-25,1461
2020-08-26,1427
2020-08-27,1561
2020-08-28,1555
2020-08-29,709
2020-08-30,470
2020-08-31,1497
2020-09-01,1213
2020-09-02,1396
2020-09-03,1429
2020-09-04,1443
2020-09-05,775
2020-09-06,670
2020-09-07,1898
2020-09-08,1331
2020-09-09,1476
2020-09-10,1716
2020-09-11,1586
2020-09-12,1082
2020-09-13,920
2020-09-14,1485
2020-09-15,1792
2020-09-16,1855
2020-09-17,2179
2020-09-18,2199
2020-09-19,1685
2020-09-20,1033
2020-09-21,1595
2020-09-22,1852
2020-09-23,1613
2020-09-24,2321
2020-09-25,2366
2020-09-26,1314
2020-09-27,1313
2020-09-28,2292
2020-09-29,1840
2020-09-30,2442
2020-10-01,2626
2020-10-02,2835
2020-10-03,1653
2020-10-04,1546
2020-10-05,3100
2020-10-06,2454
2020-10-07,4010
2020-10-08,4804
2020-10-09,4554
2020-10-10,2968
2020-10-11,2846
2020-10-12,6541
2020-10-13,4464
2020-10-14,7173
2020-10-15,7620
2020-10-16,7695
2020-10-17,4862
2020-10-18,4007
2020-10-19,8397
2020-10-20,8523
2020-10-21,12331
2020-10-22,5952
2020-10-23,13476
2020-10-24,10458
2020-10-25,9890
2020-10-26,12560
2020-10-27,13161
2020-10-28,16202
2020-10-29,18733
2020-10-30,19382
2020-10-31,14054
2020-11-01,12556
2020-11-02,25252
2020-11-03,7533
2020-11-04,31480
2020-11-05,22561
2020-11-06,22820
2020-11-07,14122
2020-11-08,14510
2020-11-09,6522
2020-11-10,26547
2020-11-11,22401
2020-11-12,24738
2020-11-13,22261
2020-11-14,14640
2020-11-15,3213
2020-11-16,14580
2020-11-17,26231
2020-11-18,23727
2020-11-19,24041
2020-11-20,22593
2020-11-21,13872
2020-11-22,4377
2020-11-23,14455
2020-11-24,16370
2020-11-25,32687
2020-11-26,21951
2020-11-27,20819
2020-11-28,13845
2020-11-29,3197
2020-11-30,14221
2020-12-01,24766
2020-12-02,23275
2020-12-03,23591
2020-12-04,15970
2020-12-05,26126
2020-12-06,10910
2020-12-07,5456
2020-12-08,29263
2020-12-09,25089
2020-12-10,32734
2020-12-11,27217
2020-12-12,21792
2020-12-13,14709
2020-12-14,6451
2020-12-15,33825
2020-12-16,32744
2020-12-17,30179
2020-12-18,32830
2020-12-19,21679
2020-12-20,6444
2020-12-21,19256
2020-12-22,36153
2020-12-23,33758
2020-12-24,26467
2020-12-25,2140
2020-12-26,13504
2020-12-27,12399
2020-12-28,14004
2020-12-29,19112
2020-12-30,31941
2020-12-31,23233
2021-01-01,15575
2021-01-02,11036
2021-01-03,10356
2021-01-04,12320
2021-01-05,18349
2021-01-06,26663
2021-01-07,45333
2021-01-08,19077
2021-01-09,22824
2021-01-10,948
2021-01-11,11706
2021-01-12,27210
2021-01-13,25566
2021-01-14,21343
2021-01-15,8593
2021-01-16,14817
2021-01-17,11484
2021-01-18,9253
2021-01-19,12233
2021-01-20,29003
2021-01-21,8277
2021-01-22,16366
2021-01-23,12430
2021-01-24,10078
2021-01-25,6887
2021-01-26,9387
2021-01-27,15636
2021-01-28,14883
2021-01-29,12831
2021-01-30,17518
2021-01-31,748
2021-02-01,6668
2021-02-02,7690
2021-02-03,12487
2021-02-04,13032
2021-02-05,10835
2021-02-06,8632
2021-02-07,6670
