"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","num_CIs","min_pub_date","max_pub_date"
"AGES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Braunschweig",0.828571428571429,0.828571428571429,0.814285714285714,0.771428571428571,0.8,0.785714285714286,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,"2020-11-17","2021-05-01"
"epiforecasts",NA,0.758620689655172,0.793103448275862,0.793103448275862,0.793103448275862,0.827586206896552,0.827586206896552,0.896551724137931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2021-04-01","2021-05-01"
"ETHZ_sliding_window",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.676056338028169,0.669014084507042,0.619718309859155,0.563380281690141,0.507042253521127,0.471830985915493,0.387323943661972,143,"2020-11-16","2021-05-01"
"globalrt_10d",NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"2021-02-18","2021-04-30"
"globalrt_5d",NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"2021-02-18","2021-04-30"
"globalrt_6d",NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"2021-02-18","2021-04-30"
"globalrt_7d",NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"2021-02-18","2021-04-30"
"globalrt_8d",NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"2021-02-18","2021-04-30"
"globalrt_9d",NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"2021-02-18","2021-04-30"
"ilmenau",NA,NA,NA,NA,NA,NA,NA,NA,0.987261146496815,0.968152866242038,0.917197452229299,0.834394904458599,0.496815286624204,0.0700636942675159,0,NA,NA,NA,NA,NA,NA,158,"2020-11-16","2021-05-01"
"RKI_4day",NA,NA,NA,NA,1,1,1,1,0.96875,0.9375,0.796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,"2020-11-16","2021-05-01"
"RKI_7day",NA,NA,NA,NA,NA,0.993865030674847,0.993865030674847,0.98159509202454,0.950920245398773,0.932515337423313,0.877300613496933,0.742331288343558,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,"2020-11-16","2021-05-01"
"rtlive",1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,"2020-11-16","2021-05-01"
"SDSC",0.0958083832335329,0.0538922155688623,0.0718562874251497,0.0958083832335329,0.0778443113772455,0.0718562874251497,0.0538922155688623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,"2020-11-16","2021-05-01"
