"days_after_transmission","gamma 4 (4)","gamma 3.4 (1.8)","gamma 5.6 (4.2)"
0,0,0,0
1,0.269710733978826,0.091842521571096,0.0748404941928568
2,0.22695998981629,0.279852738694255,0.163812062663854
3,0.128318916398589,0.245060254523711,0.147804608041618
4,0.0881504390487591,0.163230561269638,0.123911125248622
5,0.0641880045702583,0.0982153410113215,0.101252515300684
6,0.0481718400511211,0.0559922481016566,0.081623968681276
7,0.0368329059219732,0.0308675632863792,0.0652477813434516
8,0.0285235235082293,0.0166311695003811,0.0518569619677763
9,0.0222938121435539,0.00881269598404078,0.041041523366744
10,0.0175475502782881,0.00461102675186689,0.0323780830566669
11,0.0138882402834211,0.00238873059414899,0.025479224170543
12,0.0110411348112846,0.00122758877057433,0.0200096295020359
13,0.00880999432525949,0.000626713594382118,0.0156878899021598
14,0.00705139926878486,0.000318185692666518,0.012282307810836
15,0.00565865141012143,0.000160785837692501,0.00960453631655806
16,0.00455124741698043,8.0919924141933e-05,0.00750284294593385
17,0.00366775719306523,4.05819468278922e-05,0.00585580141237896
18,0.00296087038471992,2.02893046465484e-05,0.00456672909888273
19,0.00239387182924698,1.01160996760225e-05,0.00355894935360766
20,0.00193808621602281,5.03153106659111e-06,0.00277184437903892
21,0.00157099624276814,2.49711035896984e-06,0.00215761579762445
22,0.00127483845855256,1.23685591667875e-06,0.0016786543947411
23,0.00103554386272809,6.11539401608511e-07,0.00130542143068093
24,0.000841931046375293,3.01872220538748e-07,0.00101475239766272
25,0.000685086699566714,1.48790684290432e-07,0.000788505470604438
26,0.000557886661737267,7.32377848460437e-08,0.000612488724383389
27,0.000454623398091802,3.60038067492341e-08,0.000475611275531511
28,0.000370714733098619,1.7678952684889e-08,0.000369213342499222
29,0.000302475070845993,8.67155639714542e-09,0.000286538658426485
30,0.00024693497143994,4.249147895289e-09,0.000222319752322804
