,mean,std,2.5%,25%,median,75%,97.5%
2020-02-10,1.914,0.297,1.424,1.71,1.876,2.098,2.562
2020-02-11,1.915,0.289,1.401,1.718,1.884,2.104,2.559
2020-02-12,1.914,0.282,1.416,1.721,1.878,2.089,2.505
2020-02-13,1.917,0.276,1.444,1.729,1.881,2.086,2.509
2020-02-14,1.92,0.268,1.449,1.738,1.887,2.092,2.477
2020-02-15,1.92,0.257,1.465,1.744,1.894,2.077,2.464
2020-02-16,1.926,0.247,1.504,1.752,1.906,2.079,2.453
2020-02-17,1.929,0.241,1.506,1.756,1.911,2.086,2.427
2020-02-18,1.934,0.234,1.533,1.77,1.905,2.095,2.396
2020-02-19,1.934,0.224,1.556,1.773,1.918,2.081,2.403
2020-02-20,1.934,0.212,1.556,1.781,1.923,2.065,2.356
2020-02-21,1.937,0.197,1.571,1.793,1.927,2.072,2.343
2020-02-22,1.937,0.184,1.604,1.81,1.931,2.053,2.31
2020-02-23,1.931,0.168,1.61,1.817,1.924,2.044,2.272
2020-02-24,1.924,0.159,1.628,1.812,1.917,2.04,2.246
2020-02-25,1.914,0.152,1.644,1.807,1.907,2.01,2.213
2020-02-26,1.893,0.139,1.638,1.792,1.893,1.982,2.183
2020-02-27,1.871,0.132,1.622,1.783,1.868,1.963,2.142
2020-02-28,1.84,0.123,1.609,1.753,1.839,1.923,2.096
2020-02-29,1.806,0.115,1.588,1.725,1.802,1.882,2.04
2020-03-01,1.763,0.108,1.565,1.69,1.757,1.831,1.983
2020-03-02,1.718,0.105,1.522,1.647,1.709,1.786,1.934
2020-03-03,1.667,0.095,1.484,1.603,1.663,1.729,1.855
2020-03-04,1.614,0.087,1.442,1.558,1.613,1.67,1.786
2020-03-05,1.562,0.084,1.403,1.502,1.562,1.618,1.719
2020-03-06,1.508,0.081,1.362,1.452,1.504,1.564,1.661
2020-03-07,1.456,0.079,1.311,1.401,1.453,1.507,1.617
2020-03-08,1.402,0.074,1.263,1.353,1.401,1.452,1.546
2020-03-09,1.35,0.072,1.213,1.304,1.345,1.398,1.497
2020-03-10,1.302,0.071,1.167,1.254,1.299,1.346,1.46
2020-03-11,1.257,0.068,1.121,1.215,1.254,1.299,1.398
2020-03-12,1.212,0.069,1.081,1.164,1.212,1.256,1.355
2020-03-13,1.17,0.065,1.048,1.127,1.169,1.212,1.302
2020-03-14,1.13,0.062,1.008,1.086,1.129,1.171,1.258
2020-03-15,1.092,0.061,0.979,1.05,1.089,1.132,1.219
2020-03-16,1.058,0.06,0.945,1.018,1.056,1.098,1.186
2020-03-17,1.027,0.057,0.921,0.987,1.028,1.065,1.14
2020-03-18,0.999,0.055,0.897,0.963,0.999,1.036,1.102
2020-03-19,0.973,0.052,0.873,0.938,0.971,1.006,1.082
2020-03-20,0.947,0.051,0.844,0.913,0.946,0.982,1.046
2020-03-21,0.925,0.05,0.828,0.892,0.925,0.957,1.023
2020-03-22,0.906,0.048,0.818,0.871,0.906,0.937,1.003
2020-03-23,0.889,0.048,0.799,0.858,0.888,0.922,0.983
2020-03-24,0.874,0.048,0.774,0.844,0.874,0.906,0.974
2020-03-25,0.859,0.049,0.763,0.825,0.86,0.891,0.961
2020-03-26,0.848,0.049,0.759,0.813,0.848,0.88,0.945
2020-03-27,0.837,0.049,0.743,0.804,0.835,0.869,0.94
2020-03-28,0.827,0.048,0.733,0.794,0.826,0.858,0.926
2020-03-29,0.818,0.046,0.729,0.787,0.82,0.849,0.906
2020-03-30,0.812,0.047,0.724,0.783,0.811,0.843,0.906
2020-03-31,0.805,0.046,0.723,0.775,0.804,0.834,0.904
2020-04-01,0.799,0.044,0.713,0.769,0.797,0.827,0.891
2020-04-02,0.794,0.043,0.713,0.764,0.793,0.821,0.885
2020-04-03,0.79,0.044,0.709,0.759,0.788,0.82,0.885
2020-04-04,0.787,0.044,0.707,0.755,0.786,0.817,0.876
2020-04-05,0.787,0.044,0.708,0.758,0.785,0.816,0.876
2020-04-06,0.787,0.043,0.709,0.757,0.786,0.815,0.873
2020-04-07,0.787,0.044,0.709,0.755,0.786,0.818,0.876
2020-04-08,0.788,0.045,0.704,0.756,0.787,0.819,0.879
2020-04-09,0.791,0.047,0.704,0.757,0.789,0.822,0.887
2020-04-10,0.791,0.047,0.708,0.758,0.787,0.823,0.894
2020-04-11,0.793,0.046,0.713,0.76,0.79,0.827,0.886
2020-04-12,0.796,0.047,0.71,0.761,0.796,0.826,0.888
2020-04-13,0.799,0.047,0.716,0.766,0.798,0.831,0.891
2020-04-14,0.803,0.046,0.721,0.771,0.803,0.834,0.894
2020-04-15,0.807,0.044,0.728,0.775,0.807,0.838,0.896
2020-04-16,0.812,0.047,0.723,0.781,0.813,0.843,0.906
2020-04-17,0.817,0.047,0.727,0.785,0.816,0.847,0.913
2020-04-18,0.822,0.047,0.728,0.79,0.821,0.852,0.914
2020-04-19,0.826,0.047,0.736,0.791,0.827,0.857,0.918
2020-04-20,0.831,0.048,0.744,0.799,0.831,0.862,0.93
2020-04-21,0.835,0.05,0.739,0.801,0.836,0.867,0.937
2020-04-22,0.84,0.05,0.74,0.807,0.841,0.874,0.932
2020-04-23,0.847,0.051,0.751,0.813,0.846,0.88,0.947
2020-04-24,0.852,0.052,0.753,0.818,0.854,0.889,0.95
2020-04-25,0.858,0.051,0.761,0.826,0.858,0.892,0.953
2020-04-26,0.863,0.051,0.766,0.827,0.863,0.897,0.959
2020-04-27,0.866,0.05,0.776,0.833,0.864,0.901,0.964
2020-04-28,0.87,0.051,0.775,0.835,0.868,0.905,0.971
2020-04-29,0.874,0.052,0.779,0.839,0.873,0.909,0.978
2020-04-30,0.88,0.054,0.779,0.844,0.878,0.915,0.989
2020-05-01,0.883,0.054,0.781,0.848,0.881,0.917,0.995
2020-05-02,0.89,0.054,0.785,0.855,0.888,0.924,1.001
2020-05-03,0.895,0.054,0.795,0.856,0.894,0.93,1.001
2020-05-04,0.9,0.054,0.8,0.864,0.896,0.935,1.006
2020-05-05,0.906,0.053,0.808,0.869,0.906,0.939,1.013
2020-05-06,0.908,0.052,0.809,0.873,0.908,0.94,1.02
2020-05-07,0.914,0.053,0.814,0.875,0.914,0.951,1.018
2020-05-08,0.92,0.053,0.817,0.884,0.92,0.955,1.027
2020-05-09,0.926,0.052,0.824,0.894,0.924,0.959,1.031
2020-05-10,0.931,0.053,0.831,0.895,0.928,0.968,1.033
2020-05-11,0.939,0.054,0.838,0.904,0.936,0.973,1.048
2020-05-12,0.945,0.054,0.847,0.909,0.942,0.98,1.057
2020-05-13,0.951,0.052,0.856,0.913,0.949,0.985,1.057
2020-05-14,0.957,0.053,0.862,0.917,0.956,0.993,1.062
2020-05-15,0.963,0.054,0.866,0.925,0.96,0.999,1.07
2020-05-16,0.971,0.056,0.871,0.932,0.968,1.006,1.089
2020-05-17,0.977,0.057,0.877,0.936,0.974,1.013,1.096
2020-05-18,0.986,0.058,0.879,0.947,0.983,1.026,1.106
