,mean,std,2.5%,25%,median,75%,97.5%
2020-02-10,2.054,0.31,1.514,1.836,2.03,2.252,2.726
2020-02-11,2.054,0.302,1.528,1.837,2.033,2.245,2.718
2020-02-12,2.057,0.295,1.549,1.845,2.037,2.262,2.659
2020-02-13,2.054,0.287,1.552,1.843,2.035,2.248,2.675
2020-02-14,2.053,0.276,1.578,1.852,2.025,2.231,2.647
2020-02-15,2.057,0.271,1.58,1.866,2.041,2.236,2.623
2020-02-16,2.06,0.264,1.582,1.865,2.041,2.22,2.648
2020-02-17,2.064,0.255,1.621,1.879,2.047,2.225,2.634
2020-02-18,2.065,0.244,1.638,1.897,2.05,2.218,2.62
2020-02-19,2.068,0.235,1.654,1.899,2.055,2.218,2.588
2020-02-20,2.068,0.225,1.691,1.914,2.041,2.22,2.555
2020-02-21,2.069,0.212,1.698,1.927,2.053,2.203,2.542
2020-02-22,2.069,0.202,1.687,1.931,2.048,2.197,2.491
2020-02-23,2.063,0.19,1.705,1.933,2.056,2.184,2.478
2020-02-24,2.052,0.178,1.727,1.932,2.048,2.168,2.423
2020-02-25,2.036,0.165,1.719,1.927,2.032,2.14,2.36
2020-02-26,2.016,0.158,1.718,1.913,2.012,2.115,2.333
2020-02-27,1.984,0.146,1.697,1.888,1.987,2.075,2.277
2020-02-28,1.948,0.136,1.676,1.859,1.946,2.035,2.226
2020-02-29,1.91,0.13,1.662,1.825,1.908,1.994,2.169
2020-03-01,1.864,0.122,1.638,1.784,1.856,1.941,2.114
2020-03-02,1.812,0.114,1.6,1.734,1.807,1.884,2.052
2020-03-03,1.757,0.104,1.562,1.685,1.756,1.822,1.98
2020-03-04,1.697,0.098,1.513,1.63,1.698,1.757,1.905
2020-03-05,1.638,0.092,1.468,1.578,1.633,1.696,1.835
2020-03-06,1.575,0.089,1.405,1.516,1.572,1.634,1.771
2020-03-07,1.514,0.083,1.358,1.456,1.509,1.567,1.683
2020-03-08,1.457,0.082,1.304,1.401,1.453,1.517,1.608
2020-03-09,1.402,0.079,1.251,1.345,1.403,1.454,1.558
2020-03-10,1.344,0.077,1.199,1.291,1.343,1.396,1.496
2020-03-11,1.291,0.073,1.158,1.238,1.288,1.341,1.438
2020-03-12,1.241,0.068,1.108,1.194,1.239,1.287,1.375
2020-03-13,1.194,0.068,1.058,1.146,1.194,1.24,1.322
2020-03-14,1.15,0.067,1.018,1.107,1.147,1.195,1.279
2020-03-15,1.108,0.064,0.983,1.068,1.109,1.148,1.241
2020-03-16,1.069,0.062,0.954,1.028,1.069,1.109,1.193
2020-03-17,1.034,0.058,0.93,0.995,1.033,1.072,1.151
2020-03-18,1.002,0.057,0.897,0.963,1.0,1.038,1.115
2020-03-19,0.973,0.056,0.872,0.936,0.968,1.011,1.09
2020-03-20,0.946,0.055,0.848,0.908,0.943,0.982,1.058
2020-03-21,0.923,0.054,0.824,0.884,0.923,0.957,1.034
2020-03-22,0.901,0.051,0.799,0.866,0.901,0.937,1.002
2020-03-23,0.879,0.05,0.783,0.848,0.881,0.913,0.98
2020-03-24,0.863,0.049,0.767,0.829,0.864,0.898,0.957
2020-03-25,0.846,0.05,0.749,0.812,0.846,0.881,0.944
2020-03-26,0.832,0.05,0.737,0.799,0.83,0.865,0.931
2020-03-27,0.819,0.049,0.733,0.784,0.818,0.849,0.92
2020-03-28,0.806,0.05,0.715,0.771,0.805,0.838,0.908
2020-03-29,0.796,0.048,0.704,0.762,0.796,0.827,0.887
2020-03-30,0.789,0.048,0.698,0.756,0.788,0.821,0.879
2020-03-31,0.781,0.046,0.697,0.751,0.781,0.81,0.874
2020-04-01,0.776,0.046,0.69,0.746,0.778,0.805,0.872
2020-04-02,0.771,0.046,0.681,0.74,0.768,0.799,0.871
2020-04-03,0.765,0.046,0.679,0.734,0.763,0.797,0.856
2020-04-04,0.761,0.047,0.677,0.727,0.761,0.792,0.856
2020-04-05,0.757,0.046,0.671,0.723,0.754,0.787,0.85
2020-04-06,0.755,0.046,0.672,0.722,0.752,0.787,0.848
2020-04-07,0.753,0.046,0.67,0.722,0.751,0.782,0.849
2020-04-08,0.753,0.048,0.668,0.719,0.747,0.783,0.855
2020-04-09,0.754,0.048,0.669,0.72,0.751,0.786,0.857
2020-04-10,0.755,0.048,0.667,0.722,0.753,0.786,0.859
2020-04-11,0.757,0.048,0.673,0.724,0.754,0.787,0.857
2020-04-12,0.76,0.048,0.671,0.727,0.759,0.79,0.863
2020-04-13,0.764,0.048,0.669,0.733,0.763,0.795,0.864
2020-04-14,0.767,0.047,0.68,0.737,0.767,0.796,0.859
2020-04-15,0.772,0.047,0.682,0.74,0.771,0.801,0.866
2020-04-16,0.776,0.046,0.692,0.746,0.775,0.806,0.873
2020-04-17,0.78,0.046,0.689,0.749,0.779,0.81,0.871
2020-04-18,0.785,0.045,0.698,0.755,0.784,0.815,0.878
2020-04-19,0.791,0.046,0.701,0.761,0.79,0.823,0.886
2020-04-20,0.797,0.047,0.711,0.763,0.795,0.831,0.893
2020-04-21,0.802,0.048,0.717,0.768,0.798,0.833,0.905
